log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-3.584665779,-0.223981062,-4.014265759,1.776148903,0.5902583,1.106239029,-0.695407305,-0.515503026,-3.80890315,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-2.578524785,0.293593618,-3.012566987,2.293679478,1.102354918,1.434718231,-0.542285111,-0.400238021,-3.250613114,1.326701154,3.3
-2.472349699,-1.767588963,-0.767787177,-3.113736736,-0.040251637,-3.766274601,1.959960154,0.872041894,1.092159969,0.011438743,-0.201621918,-2.460910957,2.029192109,5.5
-2.940483231,-2.134441306,-0.882734423,-3.783331525,-0.154111292,-4.025015943,1.846109351,0.569142652,0.977687649,-0.294179121,-0.453527015,-3.234662352,1.943803867,4.8
-2.419457459,-1.492683515,-0.221768326,-2.234066847,0.457208869,-2.724344603,2.457283126,1.292764731,1.615806145,-0.49907418,-0.472735321,-2.918531639,1.235593834,3.3
-2.778891452,-2.838622842,-1.664509741,-4.741055235,-1.174664423,-6.01341924,0.825486619,0.072954972,0.49716808,0.721220974,-0.375933232,-2.057670478,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.700969323,0.106242661,-3.452432467,2.106433828,1.098679498,1.189340424,0.152900245,-0.182400311,-2.304825638,2.313294181,5.2
-1.519551478,-1.197945582,-0.214739592,-1.729556375,0.443430847,-2.761175676,2.443545067,1.572221419,1.614575539,0.482461447,-0.185026122,-1.037090031,2.253355318,6.7
-3.168855409,-2.825353913,-1.638198022,-5.580203095,-1.142443323,-5.940132484,0.857713287,-0.351800536,0.502430407,0.116398714,-0.388976022,-3.052456695,1.989474446,3.7
-2.909088679,-2.309651001,-1.102850393,-3.681631778,-0.459834752,-4.066804842,1.541163587,0.344126124,0.813582416,-0.130508595,-0.408620739,-3.039597275,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.669401769,-0.773373616,-5.259479951,1.226746157,0.115416392,0.647745383,0.120923729,-0.196392971,-2.889124192,2.012669095,4.5
-2.361121063,-1.543724562,-0.464879768,-1.90176994,0.452340661,-2.799877297,2.452649666,1.494724928,1.550470505,-0.148558415,-0.280664925,-2.509679477,2.088402273,5.5
-1.926056991,-1.311041285,-0.245424423,-1.260258805,0.731521023,-2.21758119,2.731722905,1.817854931,1.840201201,0.193861712,-0.267436994,-1.732195279,2.387351801,5.9
-2.171911425,-2.395052859,-1.707738031,-4.265983498,-0.958331048,-5.62629683,1.041946984,0.330256475,0.503165909,1.03731239,0.11086504,-1.134599035,1.954720982,3.6
