log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-3.70706626,-0.371598727,-4.115512373,1.628712519,0.420744541,0.99760428,-0.720217259,-0.515503026,-3.833713104,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-2.669133427,0.136355146,-3.124690212,2.13667354,0.96128581,1.280527865,-0.5571353,-0.400238021,-3.265463304,1.326701154,3.3
-2.472507888,-1.767588963,-0.767787177,-3.305969622,-0.217315092,-3.957136716,1.783328345,0.692673217,0.945866376,-0.044976779,-0.201621918,-2.517484667,2.029192109,5.5
-2.940483231,-2.134441306,-0.882734423,-3.998643008,-0.348996954,-4.257501399,1.651193303,0.383739093,0.757618432,-0.240690108,-0.453527015,-3.181173339,1.943803867,4.8
-2.419457459,-1.492683515,-0.221768326,-2.485302788,0.265861975,-2.910150305,2.266616241,1.078280131,1.458243277,-0.54332614,-0.472735321,-2.962783599,1.235593834,3.3
-2.778891452,-2.838622842,-1.664509741,-4.816064015,-1.270431314,-6.067363254,0.729995292,-0.048370859,0.38012552,0.729103289,-0.375933232,-2.049788163,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.750956057,0.021128113,-3.495239644,2.021392098,1.008483995,1.106462779,0.170960571,-0.182400311,-2.286765312,2.313294181,5.2
-1.5860579,-1.197945582,-0.214739592,-1.873854948,0.281406518,-2.900771736,2.281701007,1.411755976,1.461448863,0.2957466,-0.185026122,-1.2903113,2.253355318,6.7
-3.402721844,-2.825353913,-1.638198022,-5.66036773,-1.266408626,-6.025508554,0.733765944,-0.471627984,0.341623292,-0.072467443,-0.388976022,-3.475189287,1.989474446,3.7
-3.297209169,-2.660285929,-1.504018105,-4.904027794,-0.897542715,-5.341748054,1.102839672,-0.07678459,0.455534548,-0.167213349,-0.358087956,-3.464422518,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.755862778,-0.887889274,-5.341114066,1.112573913,-0.0091535,0.531403787,0.147708985,-0.196392971,-2.862338935,2.012669095,4.5
-2.361121063,-1.576722628,-0.464879768,-2.038651267,0.291294886,-2.957104356,2.291791541,1.342284286,1.400022264,-0.147728696,-0.313662991,-2.508849759,2.088402273,5.5
-1.948272389,-1.311041285,-0.245424423,-1.507526689,0.514063376,-2.487049679,2.514714309,1.620383073,1.657472636,0.118931243,-0.267436994,-1.829341146,2.387351801,5.9
-2.171911425,-2.395052859,-1.765125769,-4.367699739,-1.115175224,-5.789122293,0.88552884,0.195579777,0.365191486,1.050840691,0.168252778,-1.121070734,1.954720982,3.6
-2.499382192,-1.729455259,-0.665142662,-2.458537266,0.222858842,-3.05621274,2.223477851,1.123745231,1.233605944,-0.0508802,-0.266132729,-2.550262392,2.117688217,5.5
-1.973262195,-1.443465645,-0.469965358,-1.791644229,0.499109433,-2.559741964,2.499829808,1.489070105,1.514375063,0.235397741,-0.175320418,-1.737864454,2.384549194,5.9
-2.181251818,-1.197141211,0.065075898,-1.294981335,0.87379743,-1.764804636,2.874135332,1.70504462,1.80139606,-0.485315773,-0.464037241,-2.666567592,2.161211249,4.8
-3.441429425,-3.017676614,-1.761579554,-4.877541126,-0.894609298,-5.31042579,1.105836519,-0.067100251,0.378181242,-0.36013837,-0.457917192,-3.801567795,2.006798037,3.6
-3.548428407,-2.984386957,-1.791129558,-4.969747696,-0.938014196,-5.40323934,1.062198617,-0.116760508,0.22012462,-0.067945277,-0.39507753,-3.616373684,1.901416294,3.5
-3.524045194,-3.240310775,-2.16058689,-5.424558039,-1.176651767,-5.908174173,0.823820485,-0.332260835,0.038789296,0.167717172,-0.281544016,-3.356328022,1.949732545,3.3
-3.100783779,-3.083366148,-2.094365613,-5.384930359,-1.229940412,-5.989634778,0.770625185,-0.31922596,0.124131965,0.461187261,-0.190820667,-2.639596518,1.968385573,3.4
-1.60416813,-1.102728802,-0.178510336,-1.75951065,0.400413987,-2.568889842,2.400898723,1.42211834,1.453988745,0.326410602,-0.126038597,-1.277757528,2.290895729,6.7
-1.29147931,-0.823132004,0.031693943,-0.83065658,1.035403515,-1.484222275,3.035895279,1.973650107,2.006289792,0.278754873,-0.056646079,-1.012724437,2.334622343,6.7
-2.798977916,-1.689020202,-0.560577102,-2.280478768,0.380695189,-2.752373529,2.381001861,1.213191872,1.267308236,-0.240196188,-0.330263232,-3.039174103,2.119784057,4.5
-3.308976281,-2.770823181,-1.544537969,-4.361656099,-0.629995336,-4.45845345,1.370346352,0.042584804,0.733442251,-0.738465369,-0.428105344,-4.047441651,1.559118739,3.1
-2.814751846,-2.415820324,-1.189357135,-3.786337784,-0.337857984,-3.891865022,1.662403467,0.356249383,1.233712218,-0.746787654,-0.428283321,-3.5615395,1.542743896,3.8
-3.360505202,-2.910714393,-1.7257396,-4.503945544,-0.763289582,-4.823503175,1.237199462,0.026003537,0.701819368,-0.545142674,-0.386794925,-3.905647875,1.557161776,3.3
-3.243338061,-2.505976343,-1.331323551,-4.07789661,-0.521945947,-4.256205386,1.47855386,0.194124501,0.901196787,-0.624377925,-0.376472923,-3.867715986,1.541569033,3.8
-2.738819382,-1.969422138,-0.935855485,-3.21157349,-0.137758859,-3.632636782,1.862978537,0.700325205,1.114482268,-0.227290822,-0.235386784,-2.966110205,1.578078247,4.4
-3.308437236,-2.637230268,-1.415831292,-4.048369487,-0.527805283,-4.21871855,1.472419247,0.191276125,0.877287764,-0.740824345,-0.423219108,-4.049261581,1.56637976,3.4
-2.793602679,-1.95790077,-0.872212372,-3.289561597,-0.236807458,-3.748542753,1.763488862,0.582433685,1.097534185,-0.420602339,-0.287508529,-3.214205018,1.576770816,3.9
-3.220384455,-2.506149622,-1.35787872,-3.912311506,-0.437104256,-3.975735218,1.563314736,0.213629216,1.090527091,-0.902590577,-0.350091034,-4.122975032,1.598443343,3.6
-2.302203374,-1.814124198,-0.852518103,-3.175728179,-0.207517567,-3.687351289,1.793016033,0.701936511,1.226021317,-0.050558237,-0.163426226,-2.352761611,1.6489948,4.6
