log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-5.453806456,-1.393038919,-5.728705792,0.608583811,-0.598918756,0.37864947,-0.771907177,-0.515503026,-3.885403022,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-4.125775827,-0.701158902,-4.443167117,1.299843944,0.056362987,0.469206811,-0.550432057,-0.400238021,-3.258760061,1.326701154,3.3
-2.944477443,-2.12641203,-0.900001728,-4.082816195,-0.678866511,-4.501960808,1.321978572,0.141701126,0.538260924,-0.492393896,-0.428230434,-3.436871339,2.029192109,5.5
-2.999730512,-2.134441306,-0.882734423,-4.466708093,-0.80516298,-4.778173478,1.196291845,-0.053372317,0.288958942,-0.470645265,-0.453527015,-3.470375776,1.943803867,4.8
-2.504733556,-1.633149018,-0.348675066,-3.608068188,-0.496548247,-4.029992445,1.503901518,0.334339979,0.785139077,-0.609811607,-0.486294083,-3.114545163,1.235593834,3.3
-2.807341891,-2.838622842,-1.664509741,-4.900530021,-1.538244282,-6.245477011,0.462437838,-0.215342917,0.118992648,0.460205624,-0.375933232,-2.347136268,1.957893989,3.6
-2.457725883,-1.768809342,-0.883033809,-2.97710513,-0.278549995,-3.721320749,1.722463131,0.706431113,0.828271261,0.199797554,-0.087595664,-2.257928328,2.313294181,5.2
-1.900355043,-1.197945582,-0.455596708,-2.487666328,-0.331317726,-3.743062204,1.67001901,0.89106647,0.934056648,0.215326042,0.055830994,-1.685029001,2.253355318,6.7
-3.402721844,-2.825353913,-1.638198022,-5.93120618,-1.590493577,-6.264257586,0.410454832,-0.815767845,-0.002352852,-0.21875879,-0.388976022,-3.621480634,1.989474446,3.7
-3.611707966,-2.782607455,-1.617915492,-5.360933521,-1.351434979,-5.880422491,0.649998561,-0.485789595,-0.007601899,-0.287328612,-0.366512094,-3.899036578,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-5.102933195,-1.277300557,-5.728545931,0.72361546,-0.379463623,0.19888779,0.058870828,-0.196392971,-2.951177092,2.012669095,4.5
-2.436218843,-1.576722628,-0.464879768,-2.506882297,-0.170934995,-3.476876416,1.830373261,0.90566608,0.977174765,-0.240178695,-0.313662991,-2.676397538,2.088402273,5.5
-2.127818022,-1.494967341,-0.606919951,-2.274407633,-0.060139469,-3.266894512,1.941029344,1.083656709,1.156239074,0.218505073,-0.089867522,-1.909312949,2.387351801,5.9
-2.244308317,-2.395052859,-1.81002399,-4.494415124,-1.509281421,-6.188195088,0.492753071,-0.013668299,0.078899575,0.72928697,0.213150999,-1.515021346,1.954720982,3.6
