log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.308437236,-2.637230268,-1.415831292,-4.113465388,-0.626718047,-4.270824984,1.373986864,0.087325198,0.788410883,-0.742551114,-0.423219108,-4.05098835,1.56637976,3.4
-2.793602679,-1.95790077,-0.872212372,-3.356062568,-0.33521941,-3.815136843,1.665611115,0.487526491,0.980557554,-0.482488187,-0.287508529,-3.276090866,1.576770816,3.9
-3.220384455,-2.506149622,-1.35787872,-3.987688013,-0.567160439,-4.054272787,1.434938319,0.089756922,0.989302845,-0.946805083,-0.350091034,-4.167189538,1.598443343,3.6
-2.302203374,-1.814124198,-0.852518103,-3.3570711,-0.40692397,-4.000063349,1.594011029,0.55883986,0.960369353,-0.034679467,-0.163426226,-2.336882841,1.6489948,4.6
-3.206941867,-2.584181647,-1.471448265,-4.460454294,-0.820999746,-4.762493117,1.180750498,-0.068901272,0.457581418,-0.414675462,-0.314553513,-3.621617329,1.653859725,3.6
-1.544811732,-0.732083713,0.402304983,-0.350974809,1.163522743,-0.799218795,3.163743132,1.990875552,2.305617917,-0.29003918,-0.336208828,-1.834850912,1.186404644,4.6
-2.470162607,-1.625164727,-0.496577677,-1.92194892,0.433674103,-2.238228701,2.433897552,1.202125884,1.718170585,-0.664757082,-0.330407181,-3.134919689,1.18451082,3.9
-2.458463525,-1.980229581,-0.71499361,-3.146487533,-0.170549005,-3.476869697,1.830183027,0.615891635,1.32341855,-0.399957043,-0.467056103,-2.858420568,1.619843743,4.2
-1.481383224,-1.220513866,-0.522599022,-2.099553725,-0.055147598,-3.507943791,1.94557145,1.262707246,1.283676728,0.71975289,0.100265025,-0.761630334,2.567711278,7
-2.563569804,-2.117503555,-1.058090801,-3.643126656,-0.440827837,-4.27563912,1.559655002,0.492244853,0.670080203,0.197574517,-0.261232886,-2.365995288,1.878393432,4.9
-2.771526312,-2.098943661,-0.801079423,-2.875232047,-0.027000442,-3.274980828,1.973579361,0.784459858,1.12979959,-0.652646866,-0.49968437,-3.424173178,1.384459972,3.8
-2.977846198,-2.189940507,-0.883893855,-3.114792829,-0.149351065,-3.458200363,1.851048913,0.624963773,0.961791677,-0.645449345,-0.507866783,-3.623295543,1.378897739,3.8
-2.318927944,-1.616219511,-0.363238077,-1.977021707,0.341299353,-2.338460394,2.342390772,1.148303816,1.306670857,-0.16018587,-0.454801566,-2.479113814,1.550118719,4.4
-2.653135707,-1.891006956,-0.676299914,-2.064199276,0.352270495,-2.461062275,2.352616164,1.151720559,1.370710855,-0.574118036,-0.416527173,-3.227253742,1.424989117,3.9
-2.890850716,-2.166933972,-0.905790152,-3.202498402,-0.06485198,-3.529527286,1.93561319,0.697745655,1.012373728,-0.549209939,-0.462963952,-3.440060655,1.481911533,3.6
-1.776812311,-0.866501181,0.228395084,-0.442663282,1.146257002,-0.940971267,3.147176809,1.978382325,2.104097662,-0.254021005,-0.296716397,-2.030833317,1.475487225,4.6
-2.5707887,-1.658689797,-0.489289704,-2.019175955,0.4354975,-2.397459582,2.435636568,1.21910361,1.402879045,-0.509480671,-0.371220225,-3.080269371,1.472653282,3.9
-3.191477593,-2.488572025,-1.237639462,-3.923276467,-0.485933271,-4.1762291,1.514754909,0.242875708,0.716583932,-0.582877273,-0.452752695,-3.774354866,1.454274209,3.2
-2.119501672,-1.400839942,-0.206239152,-1.850477535,0.470199454,-2.28321902,2.470950189,1.286940948,1.581462676,-0.493853394,-0.396420921,-2.613355067,1.462549843,4.2
-2.364613267,-1.465281855,-0.238651387,-3.174576912,0.02143217,-3.416169975,2.021790235,0.747316295,1.23701665,-0.449389952,-0.4284506,-2.814003219,1.905670826,4.6
-3.336406272,-2.538075527,-1.381661497,-4.679887651,-0.947039013,-4.924370046,1.053848119,-0.207793873,0.42480942,0.011546288,-0.358234162,-3.324859983,1.551444525,3.1
-2.83962056,-1.851844584,-0.726454609,-3.261236824,-0.409623295,-3.826289165,1.591639173,0.481293139,0.930574451,-0.241233002,-0.327210107,-3.080853562,1.547853496,3.8
