log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-4.00724941,-0.787846375,-4.480559002,1.213177833,0.045620812,0.673072834,-0.779619686,-0.515503026,-3.893115531,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-3.068544304,-0.297806084,-3.576025066,1.702849673,0.53978157,0.868758632,-0.580780197,-0.400238021,-3.2891082,1.326701154,3.3
-2.570831796,-1.829044291,-0.767787177,-3.643275628,-0.482687163,-4.236295951,1.518519548,0.399982954,0.701008045,-0.201203654,-0.263077246,-2.77203545,2.029192109,5.5
-2.999730512,-2.134441306,-0.882734423,-4.33627603,-0.665986208,-4.636555731,1.334444505,0.085470978,0.44304363,-0.433392275,-0.453527015,-3.433122786,1.943803867,4.8
-2.504733556,-1.633149018,-0.348675066,-3.181304559,-0.194041228,-3.4923395,1.807832164,0.579455155,1.089762398,-0.636509288,-0.486294083,-3.141242844,1.235593834,3.3
-2.807341891,-2.838622842,-1.664509741,-4.849675927,-1.444155719,-6.184736719,0.556154866,-0.138303617,0.212712021,0.548007099,-0.375933232,-2.259334792,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.896408365,-0.165952995,-3.627203943,1.834805414,0.814608122,0.927735228,0.177767602,-0.182400311,-2.279958281,2.313294181,5.2
-1.900355043,-1.197945582,-0.346411373,-2.332025737,-0.114934904,-3.453780819,1.886465955,1.051342899,1.095261043,0.18163772,-0.053354341,-1.718717323,2.253355318,6.7
-3.402721844,-2.825353913,-1.638198022,-5.82229846,-1.454339839,-6.14250397,0.546088497,-0.686622199,0.134790155,-0.124468888,-0.388976022,-3.527190733,1.989474446,3.7
-3.297209169,-2.660285929,-1.549971521,-5.192594625,-1.206133551,-5.722096255,0.795116828,-0.343618235,0.127825209,-0.193166641,-0.312134539,-3.49037581,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.959823533,-1.14705278,-5.603155766,0.853397674,-0.242228046,0.322042568,0.081962057,-0.196392971,-2.928085863,2.012669095,4.5
-2.361121063,-1.576722628,-0.464879768,-2.310971411,-0.000308103,-3.291589036,2.000262955,1.07745997,1.147404809,-0.181363665,-0.313662991,-2.542484728,2.088402273,5.5
-1.948272389,-1.434862532,-0.365589368,-2.053966119,0.146708215,-2.957171414,2.148125327,1.250029503,1.321962397,0.192922022,-0.271093295,-1.755350367,2.387351801,5.9
-2.240437058,-2.395052859,-1.81002399,-4.427982555,-1.379197076,-6.057147122,0.621864575,0.076055891,0.202897481,0.819838058,0.213150999,-1.420599,1.954720982,3.6
-2.499382192,-1.729455259,-0.689657296,-2.634660923,0.002857802,-3.242458232,2.003421186,0.90735603,0.988351862,-0.027169008,-0.241618094,-2.5265512,2.117688217,5.5
-1.973262195,-1.443465645,-0.469965358,-1.921661381,0.290896498,-2.730785461,2.292019242,1.312214941,1.322645242,0.259092953,-0.175320418,-1.714169242,2.384549194,5.9
-2.181251818,-1.197141211,0.065075898,-1.429936745,0.690647277,-1.895412759,2.691415499,1.515680801,1.631921643,-0.475955003,-0.464037241,-2.657206821,2.161211249,4.8
-3.441429425,-3.017676614,-1.761579554,-5.196244517,-1.186878138,-5.623415523,0.813533405,-0.353539598,0.209963151,-0.337065286,-0.457917192,-3.778494711,2.006798037,3.6
-3.565352843,-2.984386957,-1.791129558,-5.162009536,-1.168282492,-5.592480198,0.832071689,-0.350195402,-0.025915788,-0.147314491,-0.39507753,-3.712667335,1.901416294,3.5
-3.524045194,-3.240310775,-2.16058689,-5.624461054,-1.391771683,-6.078598771,0.608607761,-0.558999643,-0.201809438,0.11917534,-0.281544016,-3.404869854,1.949732545,3.3
-3.240868866,-3.083366148,-2.094365613,-5.51372407,-1.408206886,-6.110620088,0.592698133,-0.496018167,-0.113169084,0.337713039,-0.190820667,-2.903155827,1.968385573,3.4
-2.032135251,-1.473843412,-0.599844598,-2.576719807,-0.207507825,-3.631182497,1.793821141,0.913300899,0.943709762,0.322665063,-0.075818945,-1.709470189,2.290895729,6.7
-1.29147931,-0.823132004,0.031693943,-1.012373693,0.794506261,-1.693267346,2.795304899,1.756428845,1.796689973,0.285766964,-0.056646079,-1.005712346,2.334622343,6.7
-2.798977916,-1.689020202,-0.560577102,-2.355750964,0.232100892,-2.836774286,2.232656555,1.070672526,1.129150966,-0.264555182,-0.330263232,-3.063533098,2.119784057,4.5
-3.697969864,-3.037148065,-1.884565908,-5.915507404,-1.474581613,-6.247904513,0.525932914,-0.689457836,-0.07279437,-0.586276074,-0.354402288,-4.284245938,1.559118739,3.1
-3.27999242,-2.902872805,-1.750578821,-5.27649345,-1.206080666,-5.720858378,0.794629731,-0.367391217,0.527784769,-0.57907121,-0.354114117,-3.85906363,1.542743896,3.8
-3.360505202,-2.937112399,-1.7257396,-5.681114108,-1.427501183,-6.169462078,0.572843688,-0.575754907,0.107425487,-0.309287723,-0.41319293,-3.669792925,1.557161776,3.3
-3.471979441,-2.812597428,-1.614368383,-5.548000433,-1.319210784,-5.930689802,0.681448819,-0.516148364,0.183199515,-0.635181928,-0.400049177,-4.107161369,1.541569033,3.8
-3.102729483,-2.195592141,-1.203929674,-4.14298605,-0.709845108,-4.755563614,1.290897473,0.194136144,0.542567339,-0.376191812,-0.193482598,-3.478921296,1.578078247,4.4
-3.465142721,-2.840549639,-1.581216523,-5.522978319,-1.297503116,-5.898107264,0.702815349,-0.496258396,0.057493591,-0.387052566,-0.461153247,-3.852195287,1.56637976,3.4
-3.176652998,-2.387269422,-1.156438348,-4.620726085,-0.859046815,-5.03077647,1.141572536,-0.043288237,0.52334105,-0.584784238,-0.432651205,-3.761437236,1.576770816,3.9
-3.802084526,-3.087236809,-1.858928957,-5.749884577,-1.356939431,-6.027844836,0.643586366,-0.61441828,0.258393723,-0.799417895,-0.430127984,-4.601502422,1.598443343,3.6
-2.818792414,-2.003968923,-1.008079841,-4.119697506,-0.763618561,-4.81639797,1.237072789,0.17593457,0.656719927,-0.328652526,-0.197709214,-3.14744494,1.6489948,4.6
-3.772826424,-2.937954542,-1.641149642,-5.455242465,-1.203753238,-5.713998656,0.79731771,-0.469842244,0.086304799,-0.679226648,-0.498625032,-4.452053071,1.653859725,3.6
-1.544811732,-0.732083713,0.402304983,-0.42054701,1.041615762,-0.838223724,3.042025249,1.833689803,2.205397625,-0.355095509,-0.336208828,-1.899907241,1.186404644,4.6
-2.470162607,-1.625164727,-0.496577677,-1.975154566,0.31153479,-2.273146875,2.311722094,1.057386036,1.62299837,-0.756553708,-0.330407181,-3.226716315,1.18451082,3.9
