log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.51488702,-3.248369092,-2.043912472,-6.181470809,-1.82422636,-6.661006562,0.179099245,-0.962648671,0.110839201,-0.906377791,-0.406276752,-4.421264811,1.307218344,3
-3.132249485,-2.255064135,-0.944393727,-4.546413323,-0.959764262,-4.841431573,1.041312771,-0.21811711,0.188297652,-0.44655518,-0.51249054,-3.578804665,1.326701154,3.3
-3.064467534,-2.208040797,-0.900001728,-4.363499799,-0.899395066,-4.732984966,1.101429122,-0.089698286,0.313588875,-0.559578658,-0.509859202,-3.624046192,2.029192109,5.5
-3.037722129,-2.4634501,-1.086745571,-4.852382644,-1.086093067,-5.175406934,0.916400726,-0.330663348,-0.015724112,-0.41889408,-0.578524661,-3.456616208,1.943803867,4.8
-2.555426843,-1.94584224,-0.684676212,-4.029292962,-0.888018517,-4.711737595,1.113831303,0.018172096,0.415474986,-0.431824088,-0.46298616,-2.987250931,1.235593834,3.3
-2.807341891,-2.838622842,-1.664509741,-5.044203158,-1.668522203,-6.332939859,0.332474696,-0.373600245,-0.023269461,0.44948867,-0.375933232,-2.357853221,1.957893989,3.6
-2.457725883,-1.768809342,-0.938311995,-3.151982756,-0.447654101,-3.864238399,1.553604231,0.52217968,0.645555329,0.181979768,-0.032317479,-2.275746115,2.313294181,5.2
-1.900355043,-1.540955131,-0.624804195,-3.046680698,-0.728484443,-4.375853165,1.274391099,0.56073613,0.606107342,0.318328998,-0.117971067,-1.582026045,2.253355318,6.7
-3.52530765,-2.825353913,-1.638198022,-6.086450551,-1.806343717,-6.440488751,0.194009281,-1.014250235,-0.252218957,-0.384599306,-0.388976022,-3.909906956,1.989474446,3.7
-3.611707966,-2.842556824,-1.638935159,-5.665914993,-1.579633327,-6.144025793,0.422067772,-0.7215803,-0.251541279,-0.295047421,-0.405441797,-3.906755387,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-5.200784978,-1.45509841,-5.882324154,0.546468947,-0.528601793,-0.055247547,0.148639292,-0.196392971,-2.861408628,2.012669095,4.5
-2.605152014,-1.576722628,-0.53125507,-3.027121998,-0.443414953,-3.816820384,1.558291105,0.556013479,0.675241831,-0.285246374,-0.247287689,-2.890398388,2.088402273,5.5
-2.127818022,-1.494967341,-0.670916912,-2.541129571,-0.329349399,-3.675321703,1.672408063,0.862845684,0.916416149,0.258718053,-0.02587056,-1.869099969,2.387351801,5.9
-2.244308317,-2.415896316,-1.926415903,-4.67236348,-1.786912955,-6.595779705,0.215391069,-0.190070609,-0.118874677,0.76342931,0.308699455,-1.480879006,1.954720982,3.6
-2.499382192,-1.729455259,-0.689657296,-2.889531011,-0.297846476,-3.503323025,1.703057297,0.618884643,0.702236445,-0.064296724,-0.241618094,-2.563678916,2.117688217,5.5
-2.077406989,-1.443465645,-0.623070453,-2.201205741,-0.020726148,-3.03560981,1.980838959,1.020356773,1.034322311,0.196567735,-0.022215323,-1.880839254,2.384549194,5.9
-2.181251818,-1.197141211,0.065075898,-1.58105277,0.457808622,-2.06007383,2.459154723,1.287895583,1.406509449,-0.446284182,-0.464037241,-2.627536001,2.161211249,4.8
-3.441429425,-3.086212631,-1.801052719,-5.847274804,-1.674538848,-6.306027392,0.328583262,-0.801129314,-0.045516122,-0.290451587,-0.486980043,-3.731881012,2.006798037,3.6
-3.785060593,-2.984386957,-1.791129558,-5.373170595,-1.430693882,-5.778623189,0.569878136,-0.628958223,-0.268153078,-0.499478487,-0.39507753,-4.284539081,1.901416294,3.5
-3.524045194,-3.240310775,-2.16058689,-5.977289508,-1.745410598,-6.453308664,0.256223952,-0.897324943,-0.456445047,0.025426998,-0.281544016,-3.498618196,1.949732545,3.3
-3.240868866,-3.237922023,-2.209104044,-5.859711347,-1.763358706,-6.488182759,0.237640857,-0.840714909,-0.447040508,0.50763135,-0.23063811,-2.733237516,1.968385573,3.4
-2.099276342,-1.752826094,-0.802796363,-3.335184839,-0.814766076,-4.54730039,1.188830225,0.376112875,0.425121285,0.387227292,-0.151849862,-1.71204905,2.290895729,6.7
-1.29147931,-0.823132004,-0.064431333,-1.385955007,0.302104143,-2.344772302,2.303539088,1.408634537,1.444233479,0.360583606,0.039479197,-0.930895704,2.334622343,6.7
-2.798977916,-1.689020202,-0.560577102,-2.514689104,-0.027816622,-3.044230942,1.973792262,0.843121739,0.918274516,-0.341314827,-0.330263232,-3.140292742,2.119784057,4.5
-3.697969864,-3.037148065,-1.884565908,-6.170623688,-1.684999503,-6.391002764,0.316189201,-0.971762166,-0.332207595,-0.440903295,-0.354402288,-4.138873158,1.559118739,3.1
-3.568434877,-2.908048978,-1.750578821,-5.688097817,-1.502744909,-5.997461776,0.498721399,-0.720713005,0.206300394,-0.843347454,-0.359290289,-4.411782331,1.542743896,3.8
-3.36205795,-2.937112399,-1.7257396,-5.940536675,-1.70395689,-6.400839499,0.296871026,-0.861963715,-0.150320452,-0.484625829,-0.41319293,-3.846683779,1.557161776,3.3
-3.471979441,-2.812597428,-1.614368383,-5.756899665,-1.539828409,-6.080555741,0.46126698,-0.775857825,-0.105276842,-0.574593753,-0.400049177,-4.046573193,1.541569033,3.8
-3.102729483,-2.195592141,-1.242481988,-4.488298237,-1.06383568,-5.158800565,0.937468158,-0.140028825,0.162134174,-0.381964509,-0.154930285,-3.484693992,1.578078247,4.4
-3.465142721,-2.840549639,-1.581216523,-5.724401414,-1.513690674,-6.053606305,0.487581662,-0.748200241,-0.243309213,-0.402464605,-0.461153247,-3.867607326,1.56637976,3.4
-3.176652998,-2.387269422,-1.156438348,-4.813267666,-1.081309846,-5.190704825,0.919543114,-0.294088463,0.249838628,-0.53932988,-0.432651205,-3.715982878,1.576770816,3.9
