log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-3.889428711,-0.602860833,-4.318131102,1.397721523,0.203107508,0.838440368,-0.741980869,-0.515503026,-3.855476713,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-2.844301064,-0.080710332,-3.320778831,1.92006801,0.757762233,1.082595904,-0.536759377,-0.400238021,-3.24508738,1.326701154,3.3
-2.570831796,-1.829044291,-0.767787177,-3.54864136,-0.386997852,-4.137096462,1.613799165,0.503131649,0.792746021,-0.18599697,-0.263077246,-2.756828766,2.029192109,5.5
-2.999730512,-2.134441306,-0.882734423,-4.239897408,-0.549929817,-4.512171038,1.450782786,0.187216286,0.572056135,-0.379876122,-0.453527015,-3.379606634,1.943803867,4.8
-2.419457459,-1.492683515,-0.221768326,-2.838239752,0.05062001,-3.117215486,2.050992821,0.806011176,1.277869296,-0.570369363,-0.472735321,-2.989826823,1.235593834,3.3
-2.778891452,-2.838622842,-1.664509741,-4.838533014,-1.366466552,-6.126655092,0.633866839,-0.10721335,0.28376907,0.640100997,-0.375933232,-2.138790454,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.837558137,-0.100662301,-3.585555186,1.899771288,0.893591902,1.004844359,0.167721524,-0.182400311,-2.290004359,2.313294181,5.2
-1.807526937,-1.197945582,-0.24185955,-2.224106853,0.045224362,-3.230519883,2.045808581,1.166103407,1.22823911,0.157469373,-0.157906164,-1.650057564,2.253355318,6.7
-3.402721844,-2.825353913,-1.638198022,-5.744687426,-1.382891319,-6.100575696,0.617842608,-0.591236387,0.219299198,-0.145445008,-0.388976022,-3.548166852,1.989474446,3.7
-3.297209169,-2.660285929,-1.504018105,-5.090506399,-1.095128874,-5.595642369,0.905610799,-0.248589065,0.256587252,-0.133779999,-0.358087956,-3.430989167,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.880390949,-1.041224671,-5.497557834,0.959094869,-0.147886446,0.407273333,0.10979409,-0.196392971,-2.90025383,2.012669095,4.5
-2.361121063,-1.576722628,-0.464879768,-2.11654181,0.149036824,-3.087434692,2.149667006,1.227071289,1.269960246,-0.18308298,-0.313662991,-2.544204042,2.088402273,5.5
-1.948272389,-1.311041285,-0.245424423,-1.786150133,0.316702748,-2.71836672,2.317168367,1.412803519,1.457817295,0.135373539,-0.267436994,-1.812898851,2.387351801,5.9
-2.179667444,-2.395052859,-1.81002399,-4.397494506,-1.270131243,-5.944984889,0.730488866,0.129051398,0.268267617,0.934306386,0.213150999,-1.245361058,1.954720982,3.6
-2.499382192,-1.729455259,-0.689657296,-2.558735126,0.0850969,-3.180470543,2.085880574,0.997283527,1.085128561,-0.025074991,-0.241618094,-2.524457183,2.117688217,5.5
-1.973262195,-1.443465645,-0.469965358,-1.871442563,0.374269103,-2.662342276,2.375139571,1.381754319,1.401994489,0.248438984,-0.175320418,-1.724823211,2.384549194,5.9
-2.181251818,-1.197141211,0.065075898,-1.352555285,0.785149384,-1.815613341,2.785724743,1.609735993,1.715615276,-0.48341397,-0.464037241,-2.664665788,2.161211249,4.8
-3.441429425,-3.017676614,-1.761579554,-5.059630145,-1.056215397,-5.466037902,0.944455651,-0.237937677,0.279288271,-0.350236259,-0.457917192,-3.791665683,2.006798037,3.6
-3.548428407,-2.984386957,-1.791129558,-5.078640757,-1.066111659,-5.499349878,0.934141349,-0.253885898,0.073423269,-0.087837714,-0.39507753,-3.636266122,1.901416294,3.5
-3.524045194,-3.240310775,-2.16058689,-5.5689052,-1.319639634,-6.029824349,0.681017188,-0.486327589,-0.115778832,0.128604928,-0.281544016,-3.395440266,1.949732545,3.3
-3.240868866,-3.083366148,-2.094365613,-5.463226175,-1.338811871,-6.066034085,0.661584845,-0.425182032,-0.023412262,0.371595009,-0.190820667,-2.869273857,1.968385573,3.4
-1.983085896,-1.318428247,-0.341530498,-2.295470201,0.076198361,-3.061881117,2.078232669,1.103685172,1.175045321,0.193367498,-0.17871788,-1.789718398,2.290895729,6.7
-1.29147931,-0.823132004,0.031693943,-0.935013539,0.893181522,-1.605168894,2.893633713,1.847704449,1.877317216,0.268811764,-0.056646079,-1.022667547,2.334622343,6.7
-2.798977916,-1.689020202,-0.560577102,-2.319792356,0.29825355,-2.796532605,2.298843929,1.133675588,1.198378895,-0.262792265,-0.330263232,-3.061770181,2.119784057,4.5
-3.308976281,-2.84779013,-1.544537969,-4.557871606,-0.91442168,-4.654871229,1.087585087,-0.226186883,0.453644352,-0.913731329,-0.505072293,-4.222707611,1.559118739,3.1
-2.846090494,-2.575100342,-1.282493635,-4.032906736,-0.668499275,-4.203671709,1.333606421,0.077043453,0.895438089,-0.841401167,-0.494426839,-3.687491661,1.542743896,3.8
-3.360505202,-2.910714393,-1.7257396,-4.671034663,-1.000133719,-5.020474598,1.001415208,-0.182045381,0.446506813,-0.467649649,-0.386794925,-3.828154851,1.557161776,3.3
-3.446005813,-2.602922634,-1.499194618,-4.372234405,-0.843178286,-4.558318224,1.157243288,-0.106518912,0.579447352,-0.691125091,-0.305548147,-4.137130904,1.541569033,3.8
-3.022710931,-2.195592141,-1.203929674,-3.811297727,-0.531581958,-4.332975716,1.470951242,0.358013086,0.700328222,-0.351159633,-0.193482598,-3.373870565,1.578078247,4.4
-3.362266714,-2.840549639,-1.581216523,-4.178991445,-0.764651932,-4.339859373,1.236707447,-0.03873823,0.592831372,-0.739240076,-0.461153247,-4.10150679,1.56637976,3.4
-2.793602679,-1.95790077,-0.872212372,-3.459913935,-0.488081266,-3.926346606,1.512935476,0.336756367,0.810814626,-0.543753412,-0.287508529,-3.337356091,1.576770816,3.9
-3.220384455,-2.683325661,-1.409554868,-4.17413208,-0.895729429,-4.359848598,1.111248703,-0.159957079,0.637820005,-0.878032825,-0.475590925,-4.09841728,1.598443343,3.6
-2.794995529,-2.003968923,-1.008079841,-3.925243115,-0.651909142,-4.700564366,1.348667625,0.322158596,0.777353643,-0.273531984,-0.197709214,-3.068527513,1.6489948,4.6
-3.759338364,-2.937954542,-1.641149642,-5.335113088,-1.103448977,-5.61609574,0.896841155,-0.358183122,0.197943528,-0.700632937,-0.498625032,-4.459971301,1.653859725,3.6
-1.544811732,-0.732083713,0.402304983,-0.366182688,1.121808248,-0.808450495,3.121965154,1.934919034,2.269830292,-0.309012721,-0.336208828,-1.853824453,1.186404644,4.6
-2.470162607,-1.625164727,-0.496577677,-1.936592333,0.391106015,-2.247835433,2.391158563,1.148749955,1.676489331,-0.680616213,-0.330407181,-3.15077882,1.18451082,3.9
-2.555186051,-1.980229581,-0.71499361,-3.895253604,-0.470467545,-4.310772776,1.531428926,0.342088072,0.92210028,-0.174251118,-0.467056103,-2.729437169,1.619843743,4.2
-1.482433885,-1.220513866,-0.522599022,-2.146839715,-0.198479212,-3.692848554,1.802248815,1.193789765,1.205573689,0.691394944,0.100265025,-0.791038941,2.567711278,7
-2.631884078,-2.117503555,-1.058090801,-3.7945573,-0.578582957,-4.469714735,1.421906893,0.368087338,0.552034543,0.134895825,-0.261232886,-2.496988253,1.878393432,4.9
-2.847094351,-2.098943661,-0.801079423,-3.06586765,-0.221701735,-3.512325861,1.778643123,0.613660697,0.988977289,-0.716414999,-0.49968437,-3.56350935,1.384459972,3.8
-2.977846198,-2.213492564,-0.883893855,-3.421468276,-0.398737932,-3.822082755,1.601901495,0.40412645,0.797006436,-0.673249156,-0.53141884,-3.651095353,1.378897739,3.8
-2.606968021,-1.795093588,-0.592398908,-3.093754364,-0.127566066,-3.621306516,1.873461361,0.743224533,0.905078596,-0.139365659,-0.404514812,-2.74633368,1.550118719,4.4
-2.691125835,-2.043664741,-0.741460881,-2.240753167,0.154019231,-2.670734021,2.156274344,0.965409314,1.215821562,-0.615214815,-0.504023992,-3.306340651,1.424989117,3.9
-2.919756344,-2.166933972,-0.905790152,-3.398027503,-0.206547055,-3.725380773,1.794506001,0.552756624,0.899499442,-0.605767494,-0.462963952,-3.525523838,1.481911533,3.6
-1.776812311,-1.020568818,0.228395084,-0.592159858,0.994321784,-1.085892633,2.995041256,1.818561841,1.931089664,-0.227635163,-0.450784034,-2.004447474,1.475487225,4.6
-2.5707887,-1.677081329,-0.516075129,-2.1606304,0.301539314,-2.532061456,2.302066085,1.075730281,1.252718622,-0.488484311,-0.362826332,-3.059273011,1.472653282,3.9
-3.191477593,-2.628585127,-1.240454897,-4.060596456,-0.637560839,-4.310292702,1.362638813,0.087134711,0.596099764,-0.574429042,-0.589950362,-3.765906635,1.454274209,3.2
