log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-3.636912278,-0.27136414,-4.052234126,1.729009173,0.533212473,1.075378753,-0.713731538,-0.515503026,-3.827227383,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-2.609640046,0.252124093,-3.041986799,2.25227837,1.058738854,1.392392064,-0.554802807,-0.400238021,-3.263130811,1.326701154,3.3
-2.472349699,-1.767588963,-0.767787177,-3.158083697,-0.081605196,-3.806276162,1.918727108,0.824555557,1.055787215,0.008679842,-0.201621918,-2.463669857,2.029192109,5.5
-2.940483231,-2.134441306,-0.882734423,-3.874776273,-0.224099678,-4.124515995,1.776246366,0.503068549,0.91086955,-0.281700466,-0.453527015,-3.222183697,1.943803867,4.8
-2.419457459,-1.492683515,-0.221768326,-2.339602262,0.406474035,-2.771898316,2.406547404,1.219437579,1.567101711,-0.517530453,-0.472735321,-2.936987912,1.235593834,3.3
-2.778891452,-2.838622842,-1.664509741,-4.757138297,-1.203855274,-6.030144582,0.796331431,0.042674725,0.456494435,0.736122981,-0.375933232,-2.042768471,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.717081894,0.077865037,-3.469296964,2.078017075,1.070791011,1.16276165,0.156611978,-0.182400311,-2.301113904,2.313294181,5.2
-1.5860579,-1.197945582,-0.214739592,-1.753924137,0.409510972,-2.780016108,2.40971591,1.536622511,1.579977372,0.363770323,-0.185026122,-1.222287578,2.253355318,6.7
-3.223054175,-2.825353913,-1.638198022,-5.602838369,-1.180855584,-5.967243227,0.819316197,-0.386567444,0.457645558,0.047003364,-0.388976022,-3.176050811,1.989474446,3.7
-3.297209169,-2.660285929,-1.477046211,-4.772909961,-0.768644122,-5.19957153,1.231708392,0.042280628,0.578354796,-0.200220558,-0.385059849,-3.497429727,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.6995024,-0.805948113,-5.280462019,1.194341478,0.076226238,0.611121103,0.129213764,-0.196392971,-2.880834157,2.012669095,4.5
-2.361121063,-1.576722628,-0.464879768,-1.964269512,0.390335856,-2.875078407,2.390650451,1.435946388,1.49833368,-0.135527711,-0.313662991,-2.496648774,2.088402273,5.5
-1.926056991,-1.311041285,-0.245424423,-1.381210794,0.647016366,-2.342106816,2.647488526,1.736400275,1.763836296,0.194245476,-0.267436994,-1.731811515,2.387351801,5.9
-2.171911425,-2.395052859,-1.765125769,-4.299120982,-1.015672764,-5.701365084,0.984686329,0.288850747,0.458692899,1.053248402,0.168252778,-1.118663023,1.954720982,3.6
-2.499382192,-1.729455259,-0.665142662,-2.204844058,0.405558974,-2.800117697,2.405803219,1.306764055,1.390824007,-0.060905935,-0.266132729,-2.560288127,2.117688217,5.5
-1.973262195,-1.443465645,-0.469965358,-1.723037313,0.597102255,-2.469519756,2.597562047,1.57639638,1.596732041,0.240546247,-0.175320418,-1.732715948,2.384549194,5.9
-2.181251818,-1.197141211,0.065075898,-1.270141454,0.924500276,-1.744880691,2.924811479,1.762997928,1.856907611,-0.48199702,-0.464037241,-2.663248839,2.161211249,4.8
