log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-3.669289049,-0.327391163,-4.092831252,1.672965044,0.482371979,1.040856286,-0.719422061,-0.515503026,-3.832917906,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-2.640818426,0.192297008,-3.08917171,2.192606014,1.010342852,1.340173667,-0.563496386,-0.400238021,-3.271824389,1.326701154,3.3
-2.472349699,-1.767588963,-0.767787177,-3.230236982,-0.1502903,-3.887452137,1.850190417,0.757168347,1.000514741,0.000312789,-0.201621918,-2.47203691,2.029192109,5.5
-2.940483231,-2.134441306,-0.882734423,-3.931164685,-0.28508585,-4.193193695,1.715127569,0.448181832,0.836955817,-0.276630375,-0.453527015,-3.217113607,1.943803867,4.8
-2.419457459,-1.492683515,-0.221768326,-2.381115101,0.348535123,-2.822361437,2.349031496,1.166824301,1.52136979,-0.523476802,-0.472735321,-2.942934262,1.235593834,3.3
-2.778891452,-2.838622842,-1.664509741,-4.784625491,-1.232957468,-6.0445536,0.767152186,0.000291261,0.420835035,0.735694799,-0.375933232,-2.043196653,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.739499025,0.049043633,-3.483250629,2.049205812,1.034387749,1.131464558,0.166368594,-0.182400311,-2.291357289,2.313294181,5.2
-1.5860579,-1.197945582,-0.214739592,-1.820431785,0.358857703,-2.821240715,2.359294669,1.471932699,1.516497332,0.321966737,-0.185026122,-1.264091163,2.253355318,6.7
-3.343605724,-2.825353913,-1.638198022,-5.624105058,-1.212021585,-5.983644175,0.788364425,-0.420833179,0.413584328,-0.032817367,-0.388976022,-3.376423091,1.989474446,3.7
-3.297209169,-2.660285929,-1.504018105,-4.874896171,-0.847557729,-5.304723516,1.152906713,-0.034111309,0.520129512,-0.177545392,-0.358087956,-3.47475456,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.726454343,-0.845363537,-5.310710896,1.154872159,0.036171695,0.574931281,0.144919295,-0.196392971,-2.865128626,2.012669095,4.5
-2.361121063,-1.576722628,-0.464879768,-2.006325637,0.342281919,-2.914502747,2.342480443,1.384964012,1.44250107,-0.145927819,-0.313662991,-2.507048881,2.088402273,5.5
-1.948272389,-1.311041285,-0.245424423,-1.420625666,0.593804837,-2.388558434,2.594025751,1.689795654,1.710972184,0.114734825,-0.267436994,-1.833537564,2.387351801,5.9
