log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.51488702,-3.415001421,-2.043912472,-6.600565511,-2.129909576,-7.014410286,-0.126092872,-1.321583895,-0.256144554,-0.723799228,-0.572909081,-4.238686249,1.307218344,3
-3.132249485,-2.255064135,-0.944393727,-4.903135273,-1.39356393,-5.376546854,0.612390765,-0.572585846,-0.105958333,-0.462524391,-0.51249054,-3.594773876,1.326701154,3.3
-3.228050681,-2.208040797,-0.92706321,-4.978981051,-1.428136966,-5.468455529,0.579396202,-0.564306034,-0.175377577,-0.581413973,-0.482797719,-3.809464655,2.029192109,5.5
-3.417543603,-2.503137067,-1.382340869,-5.268469389,-1.463876307,-5.630712625,0.539433468,-0.707163191,-0.385437097,-0.288619486,-0.322616329,-3.706163089,1.943803867,4.8
-2.555426843,-1.94584224,-0.684676212,-4.58347556,-1.216923769,-5.015653492,0.78448183,-0.409664736,0.06550937,-0.404833246,-0.46298616,-2.960260089,1.235593834,3.3
-2.807341891,-2.838622842,-1.664509741,-5.393996778,-1.895836269,-6.486267799,0.106208555,-0.697367342,-0.337119765,0.552554354,-0.375933232,-2.254787538,1.957893989,3.6
-2.457725883,-1.970958832,-1.145011323,-3.70754613,-0.955774876,-4.583166786,1.048245503,0.083180479,0.217704985,0.289989607,-0.02776764,-2.167736276,2.313294181,5.2
-2.419066535,-1.646202079,-0.879751544,-3.852116514,-1.188325469,-4.916929097,0.815241426,-0.019911042,0.139744437,0.051075545,0.031729333,-2.36799099,2.253355318,6.7
-4.130924359,-3.566632563,-2.402157889,-7.242453702,-2.523612792,-7.758212566,-0.518526147,-1.652693211,-0.764085225,-0.709577691,-0.366294805,-4.84050205,1.989474446,3.7
-3.611707966,-2.842556824,-1.716611365,-6.021598611,-1.979088883,-6.610644225,0.022928663,-1.062141644,-0.689431806,-0.118091011,-0.327765591,-3.729798977,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-5.392407981,-1.725557413,-6.083199639,0.2769877,-0.796099394,-0.541109523,0.308836572,-0.196392971,-2.701211349,2.012669095,4.5
-2.644348993,-1.576722628,-0.53125507,-3.32298482,-0.814109868,-4.154240485,1.19051098,0.209008404,0.316510349,-0.243442422,-0.247287689,-2.887791415,2.088402273,5.5
-2.228798658,-1.55581914,-0.701199534,-2.801444681,-0.733788139,-4.185893931,1.2706329,0.581574414,0.622355987,0.097610996,-0.056439738,-2.131187662,2.387351801,5.9
