log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.69671576,-0.938360209,-1.804837239,-1.713135644,-8.394170821,-7.793407381,-3.643374389,-1.702150663,-0.084237731,-3.581059007,-6.060202401,-0.723799228,-4.238686249,-0.572909081,20.28702403
-7.107957142,-1.205207208,-1.842828354,-1.973934347,-8.823218845,-7.921200475,-3.802772171,-1.823425529,-0.444783921,-3.850422175,-6.291593519,-0.462524391,-3.594773876,-0.51249054,21.21783921
-6.937057411,-1.411792758,-2.158907933,-1.89027416,-8.600894563,-7.821636397,-3.771484573,-1.725934286,-0.582011978,-3.864527697,-6.229238611,-0.581413973,-3.809464655,-0.482797719,106.9527878
-8.310768625,-1.899997924,-3.391521207,-2.525843173,-10.02682096,-8.588345972,-4.507066116,-2.472997259,-0.844988371,-4.416696359,-6.88613612,-0.288619486,-3.706163089,-0.322616329,87.86256276
-6.470144519,-1.320105501,-1.066831074,-1.505082996,-8.652259004,-7.26997851,-3.473781238,-1.344121547,0.293936584,-3.207169597,-5.863391013,-0.404833246,-2.960260089,-0.46298616,17.20258982
-8.137902074,-1.756969682,-2.157964265,-2.389981701,-9.6741324,-8.284545146,-4.378620491,-2.463476266,-0.724043409,-4.192841312,-6.74838271,0.552554354,-2.254787538,-0.375933232,90.75989586
-8.797474652,-1.882729769,-3.646466427,-2.965821536,-9.667960568,-8.962006139,-4.654886932,-2.898972539,-1.43458343,-4.876637565,-7.214016819,0.289989607,-2.167736276,-0.02776764,205.7283678
-9.952064515,-1.873655696,-3.852921282,-3.417166219,-12.26242446,-9.250213215,-5.497277404,-3.399009473,-1.445264348,-4.538307772,-7.376206364,0.051075545,-2.36799099,0.031729333,179.2071437
-8.892502621,-1.887902612,-2.811463675,-2.94160765,-10.25798553,-8.685821709,-4.535315122,-2.469893038,-1.183069946,-4.487906043,-7.173303572,-0.709577691,-4.84050205,-0.366294805,97.60553487
-8.510835636,-1.78715362,-2.68797036,-2.669895478,-10.16408886,-8.688734806,-4.704027268,-2.714695443,-1.0344581,-4.316374322,-6.950634448,-0.118091011,-3.729798977,-0.327765591,75.94292818
-8.234600799,-1.95432769,-2.504205012,-2.664881476,-9.736377406,-8.48768178,-4.315616873,-2.387873971,-1.081606123,-4.375911681,-6.923985325,0.308836572,-2.701211349,-0.196392971,102.9601331
-7.417348813,-2.140926557,-1.867560702,-2.2855487,-9.049001195,-7.777956421,-3.76817789,-1.67233083,-0.785278128,-4.103376035,-6.59264678,-0.243442422,-2.887791415,-0.247287689,122.5751046
-9.51192098,-1.868287845,-3.859265143,-3.098251229,-10.32209477,-9.224648007,-4.885133929,-3.212096525,-1.235436576,-4.652911129,-7.347468039,0.097610996,-2.131187662,-0.056439738,243.9786372
-7.306954336,-1.584123159,-1.32061768,-1.806930598,-9.36009091,-7.864884325,-3.949402636,-1.911704021,0.12710474,-3.663029226,-6.279262434,0.918376944,-1.325931372,0.308400522,90.09920972
-7.834853493,-2.013305955,-2.659341685,-2.522871347,-9.062350003,-8.465082719,-4.126937811,-2.327887097,-0.942990488,-4.472331667,-6.812013898,-0.023663706,-2.523045898,-0.241618094,131.1258199
-9.362779177,-1.864939315,-4.154181271,-3.039576524,-10.21310244,-9.285975236,-4.845182229,-3.255969059,-1.158141252,-4.768941392,-7.371182374,0.254669773,-1.882785828,-0.15026006,242.4092536
