log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.234099257,-1.327059028,-2.574131273,-1.490988637,-7.890467513,-7.515168378,-3.418791384,-1.41591278,0.221699307,-3.368086568,-5.840760422,-0.779619686,-3.893115531,-0.515503026,20.28702403
-6.62542155,-1.583596324,-2.149064229,-1.659996655,-8.294925134,-7.67226378,-3.450763319,-1.555020528,0.109190638,-3.499786482,-6.02342927,-0.580780197,-3.2891082,-0.400238021,21.21783921
-6.430142065,-1.474944185,-2.334560932,-1.641302042,-8.059282288,-7.437447738,-3.374609612,-1.347137202,-0.120803856,-3.528996413,-5.966652838,-0.201203654,-2.77203545,-0.263077246,106.9527878
-7.288377888,-2.151016849,-2.630488089,-2.045384609,-8.928679181,-7.988795115,-3.951281901,-1.902398974,-0.505716688,-3.935974357,-6.395650106,-0.433392275,-3.433122786,-0.453527015,87.86256276
-6.038429281,-1.291902723,-1.514388825,-1.188376951,-7.819427484,-7.26997851,-3.272647036,-1.31486235,0.73007889,-2.977813392,-5.617982957,-0.636509288,-3.141242844,-0.486294083,17.20258982
-7.946424676,-2.016293631,-2.724235624,-2.248869948,-9.536227888,-8.284545146,-4.378620491,-2.310495532,-0.469854792,-3.975616636,-6.605601065,0.548007099,-2.259334792,-0.375933232,90.75989586
-8.128558245,-2.282929387,-3.912647352,-2.614657153,-8.969158557,-8.71427707,-4.332022944,-2.584212502,-1.378915576,-4.715315824,-6.874997662,0.177767602,-2.279958281,-0.182400311,205.7283678
-8.496782818,-2.540886244,-3.858398997,-2.840675467,-9.570227472,-8.480263541,-4.278399124,-2.368932838,-1.343360366,-4.495896803,-7.049400923,0.18163772,-1.718717323,-0.053354341,179.2071437
-7.736507665,-2.186016814,-2.492404995,-2.191417887,-9.256058998,-8.20430518,-4.215888448,-2.184427604,-0.36745118,-4.043782068,-6.579338617,-0.124468888,-3.527190733,-0.388976022,97.60553487
-8.007760841,-2.147940089,-3.015077987,-2.349416538,-9.637812329,-8.345719083,-4.354261725,-2.332998805,-0.601951081,-4.098609942,-6.685350808,-0.193166641,-3.49037581,-0.312134539,75.94292818
