log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.438718491,-1.135894936,-2.307382721,-1.568522019,-8.166018891,-7.61236607,-3.49608854,-1.459874548,0.143443311,-3.411323298,-5.919987481,-0.906377791,-4.421264811,-0.406276752,20.28702403
-6.810621532,-1.34436401,-2.030349462,-1.769277168,-8.594743795,-7.840679612,-3.802772171,-1.822516435,-0.110379234,-3.633651329,-6.122666425,-0.44655518,-3.578804665,-0.51249054,21.21783921
-6.437242998,-1.534307077,-2.031196228,-1.658094349,-8.146314921,-7.437447738,-3.374609612,-1.347137202,-0.245674011,-3.599808001,-5.998377416,-0.559578658,-3.624046192,-0.509859202,106.9527878
-7.93470247,-2.023542333,-2.770063852,-2.365646994,-9.587448133,-8.219107383,-4.15573276,-2.194092312,-0.836026655,-4.260305107,-6.716043504,-0.41889408,-3.456616208,-0.578524661,87.86256276
-6.155678593,-1.303461886,-1.055300196,-1.213545185,-8.375840882,-7.26997851,-3.441919362,-1.344121547,0.687864793,-3.008006876,-5.65894827,-0.431824088,-2.987250931,-0.46298616,17.20258982
-7.950970488,-1.904671119,-2.496322514,-2.255421824,-9.495374771,-8.284545146,-4.378620491,-2.310495532,-0.497071647,-3.967786345,-6.603603865,0.44948867,-2.357853221,-0.375933232,90.75989586
-8.171846212,-2.147033364,-3.640294501,-2.657690258,-8.980211778,-8.71427707,-4.332022944,-2.584212502,-1.381155915,-4.772316671,-6.913379202,0.181979768,-2.275746115,-0.032317479,205.7283678
-9.431634347,-2.205341795,-4.083909786,-3.285412385,-10.83072616,-8.994062843,-4.757248915,-2.918439687,-1.461489689,-4.490558204,-7.2937885,0.318328998,-1.582026045,-0.117971067,179.2071437
-7.851662316,-2.173371552,-2.482145362,-2.395235212,-9.292898246,-8.20430518,-4.215888448,-2.184427604,-0.723753899,-4.189557518,-6.707094278,-0.384599306,-3.909906956,-0.388976022,97.60553487
-8.062207165,-2.040137293,-2.660969655,-2.403882993,-9.755583975,-8.345719083,-4.354261725,-2.332998805,-0.672176561,-4.11013821,-6.717687592,-0.295047421,-3.906755387,-0.405441797,75.94292818
-7.690425028,-2.058979557,-2.543126259,-2.299970771,-9.13138485,-8.326637282,-4.211211956,-2.286725557,-0.739541408,-4.142042426,-6.602298295,0.148639292,-2.861408628,-0.196392971,102.9601331
-6.691477556,-2.042475002,-1.349108931,-1.620301817,-8.578696054,-7.519374899,-3.59299717,-1.49498558,0.221981071,-3.47346795,-6.047977141,-0.285246374,-2.890398388,-0.247287689,122.5751046
-9.142465353,-2.129419478,-4.027132049,-2.985169986,-9.739790776,-8.967730191,-4.758276802,-3.06949329,-1.143331862,-4.500045759,-7.192353874,0.258718053,-1.869099969,-0.02587056,243.9786372
-7.199141176,-1.571349085,-1.775047719,-1.71318635,-9.342498424,-7.757348721,-3.893035683,-1.806768623,0.265291048,-3.505509251,-6.168904274,0.76342931,-1.480879006,0.308699455,90.09920972
-7.177022039,-2.159282461,-2.230184333,-2.092751916,-8.472779716,-8.009369816,-3.980909879,-1.974652967,-0.522782422,-4.03808855,-6.395315652,-0.064296724,-2.563678916,-0.241618094,131.1258199
-9.016781126,-2.161187147,-4.430974178,-2.968524968,-9.781943263,-9.131914683,-4.764843185,-2.955300351,-1.213185976,-4.76601908,-7.261951325,0.196567735,-1.880839254,-0.022215323,242.4092536
-7.472088088,-1.74615666,-3.125497088,-2.186163702,-8.416414127,-8.392706413,-4.06179514,-2.303707382,-0.50647676,-4.132934749,-6.495664472,-0.446284182,-2.627536001,-0.464037241,144.9476734
-7.428825009,-1.936061532,-2.069551581,-1.855233763,-9.224954983,-8.087370599,-4.132267424,-2.134080872,0.076717763,-3.757958619,-6.356194651,-0.290451587,-3.731881012,-0.486980043,101.577621
-6.933711677,-1.60928199,-1.7452179,-1.680742592,-8.822342934,-7.886146907,-3.993692052,-1.940782627,0.162766615,-3.531453667,-6.120205006,-0.499478487,-4.284539081,-0.39507753,79.69228775
-7.598306064,-1.910885962,-2.215934494,-2.089149259,-9.419846922,-8.088889253,-4.360501762,-2.149495295,-0.283677683,-3.835346195,-6.454059865,0.025426998,-3.498618196,-0.281544016,89.07022413
-7.942016865,-1.891247385,-2.331980016,-2.233608213,-9.708281884,-8.26932101,-4.507824692,-2.416278865,-0.405179886,-3.9475293,-6.59602142,0.50763135,-2.733237516,-0.23063811,92.97915029
-9.722754262,-2.109263671,-3.61131512,-3.236388814,-11.47383857,-9.02199363,-5.199759206,-3.313914484,-1.315999012,-4.504655639,-7.332105247,0.387227292,-1.71204905,-0.151849862,195.3870288
-8.94631363,-2.067699162,-4.294961153,-3.009755775,-9.458045588,-8.994351763,-4.854995502,-3.122774038,-1.398693139,-4.47562914,-7.163645092,0.360583606,-0.930895704,0.039479197,216.083867
-7.527540196,-1.778942642,-2.937985807,-2.228599073,-8.702274432,-8.530165774,-4.417636632,-2.507547256,-0.60659156,-4.095595947,-6.518762816,-0.341314827,-3.140292742,-0.330263232,131.7601427
-7.887089324,-1.765081793,-1.940890278,-2.114835209,-9.848643405,-8.115755125,-4.162875884,-2.192782802,-0.205233256,-3.91528971,-6.554840427,-0.440903295,-4.138873158,-0.354402288,36.23420519
-7.121482431,-1.606071059,-1.743457484,-1.897701844,-8.678716636,-7.730968481,-3.783227192,-1.776946056,-0.096955164,-3.636673229,-6.245901744,-0.843347454,-4.411782331,-0.359290289,34.89344879
-7.367373636,-1.38578704,-1.889240342,-1.972439624,-9.006712913,-7.88675775,-3.885726919,-1.940834275,-0.152372634,-3.738667725,-6.33237062,-0.484625829,-3.846683779,-0.41319293,36.07129847
-7.355228751,-1.631364073,-1.931954864,-2.008077801,-8.96753669,-7.892647028,-3.791255226,-1.841496128,-0.166345865,-3.813932462,-6.380642464,-0.574593753,-4.046573193,-0.400049177,34.79918184
