log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.328868162,-1.44468281,-2.851138679,-1.551506635,-7.941410787,-7.515168378,-3.418791384,-1.41591278,0.178862474,-3.441139462,-5.903721336,-0.720217259,-3.833713104,-0.515503026,20.28702403
-6.493619296,-1.681354464,-2.480569725,-1.602778288,-8.060718711,-7.583888414,-3.450763319,-1.555020528,0.16708482,-3.408940537,-5.952596939,-0.5571353,-3.265463304,-0.400238021,21.21783921
-6.587961901,-1.483951287,-2.673245099,-1.708379657,-8.232613599,-7.437447738,-3.374609612,-1.347137202,-0.146557981,-3.588853861,-6.043055524,-0.044976779,-2.517484667,-0.201621918,106.9527878
-7.177725693,-2.15029246,-2.769608503,-1.965214331,-8.843796008,-7.958520315,-3.951281901,-1.902398974,-0.385178113,-3.852493112,-6.317778511,-0.240690108,-3.181173339,-0.453527015,87.86256276
-6.047500711,-1.356029227,-1.951162807,-1.228780627,-7.653997835,-7.26997851,-3.272647036,-1.31486235,0.671965298,-3.026471213,-5.647892297,-0.54332614,-2.962783599,-0.472735321,17.20258982
-8.068402712,-2.153700723,-3.10294123,-2.329570377,-9.639261226,-8.284545146,-4.378620491,-2.310495532,-0.539436856,-4.079668497,-6.688987637,0.729103289,-2.049788163,-0.375933232,90.75989586
-8.332336939,-2.40697417,-4.29456591,-2.723132668,-9.170890839,-8.71427707,-4.332022944,-2.584212502,-1.424335436,-4.740024687,-6.983206875,0.170960571,-2.286765312,-0.182400311,205.7283678
-7.940348952,-2.661422605,-3.634800347,-2.522993308,-9.010017801,-8.356844539,-4.135593878,-2.257233035,-1.189826285,-4.417027233,-6.778145053,0.2957466,-1.2903113,-0.185026122,179.2071437
-7.76897612,-2.226487937,-2.820052452,-2.203229553,-9.298079025,-8.20430518,-4.215888448,-2.184427604,-0.395054177,-4.037080112,-6.582323038,-0.072467443,-3.475189287,-0.388976022,97.60553487
-8.155436024,-2.250225879,-3.421950798,-2.438759344,-9.662981519,-8.345719083,-4.354261725,-2.332998805,-0.699146808,-4.198302965,-6.773070307,-0.167213349,-3.464422518,-0.358087956,75.94292818
-7.73255603,-2.213637969,-3.296528536,-2.276932721,-9.143870008,-8.302464023,-4.211211956,-2.253857642,-0.617194795,-4.128862721,-6.604217983,0.147708985,-2.862338935,-0.196392971,102.9601331
-6.724667561,-1.732912796,-2.053060301,-1.555169422,-8.54056542,-7.508928363,-3.589075769,-1.49498558,0.373052585,-3.367346312,-5.9900394,-0.147728696,-2.508849759,-0.313662991,122.5751046
-8.875195469,-2.576066131,-4.030229381,-2.843069975,-9.49487968,-8.967730191,-4.642075038,-3.004155505,-0.987070107,-4.432639582,-7.086067718,0.118931243,-1.829341146,-0.267436994,243.9786372
-7.48585354,-1.752613472,-2.697581487,-1.911609974,-9.560565015,-7.757348721,-3.893035683,-1.806768623,0.059825643,-3.590140194,-6.288887557,1.050840691,-1.121070734,0.168252778,90.09920972
-6.989963469,-2.119223567,-2.574220705,-1.854518508,-8.421466999,-7.845802423,-3.867175249,-1.796644899,-0.065432634,-3.730162319,-6.21787389,-0.0508802,-2.550262392,-0.266132729,131.1258199
-8.797087329,-2.581077654,-4.41678104,-2.878642946,-9.633182991,-8.946392943,-4.66071554,-2.878195402,-1.26316353,-4.734723654,-7.161471118,0.235397741,-1.737864454,-0.175320418,242.4092536
-7.263031037,-2.137904947,-3.620877076,-2.098019198,-8.362567098,-8.374127214,-4.06179514,-2.250376031,-0.560461602,-4.09714951,-6.402778178,-0.485315773,-2.666567592,-0.464037241,144.9476734
-7.595599177,-2.096113307,-2.987719255,-1.997227053,-9.37500249,-8.087370599,-4.132267424,-2.134080872,-0.065711409,-3.792186689,-6.422791178,-0.36013837,-3.801567795,-0.457917192,101.577621
-7.059522156,-1.86090595,-2.545908417,-1.746656892,-9.030704316,-7.689308124,-3.876829616,-1.818711989,0.12256011,-3.496934913,-6.135448392,-0.067945277,-3.616373684,-0.39507753,79.69228775
-7.714673896,-2.086546501,-3.005619333,-2.093752698,-9.595786968,-8.088889253,-4.324629548,-2.149495295,-0.210928327,-3.89189743,-6.498575331,0.167717172,-3.356328022,-0.281544016,89.07022413
-7.928609775,-2.197893314,-3.240627291,-2.259455685,-9.674341271,-8.26932101,-4.406349356,-2.324023849,-0.468401394,-3.99470525,-6.610846479,0.461187261,-2.639596518,-0.190820667,92.97915029
-8.408050358,-2.68201619,-4.156103732,-2.74340856,-9.47101236,-8.718821428,-4.440710969,-2.643511437,-1.165139545,-4.44103271,-6.986913652,0.326410602,-1.277757528,-0.126038597,195.3870288
-8.848586807,-2.548026369,-4.858366114,-2.941027985,-9.150046503,-8.994351763,-4.683866891,-3.082982382,-1.332826031,-4.484017218,-7.135237259,0.278754873,-1.012724437,-0.056646079,216.083867
-7.939750468,-2.206049874,-3.618451007,-2.40863697,-9.19362078,-8.462285547,-4.417636632,-2.507547256,-0.664474492,-4.148139406,-6.703469287,-0.240196188,-3.039174103,-0.330263232,131.7601427
-7.339842066,-2.151097474,-2.582610569,-2.026408325,-8.753054737,-7.783165558,-3.668490913,-1.763653516,-0.183578994,-3.812261724,-6.391527501,-0.738465369,-4.047441651,-0.428105344,36.23420519
-6.398477527,-1.94807045,-1.856439195,-1.613601145,-7.818544363,-7.112474998,-3.101171298,-1.070108209,0.206826931,-3.31959235,-5.928922714,-0.746787654,-3.5615395,-0.428283321,34.89344879
-7.0029402,-1.852933872,-2.044578455,-1.806567081,-8.634651552,-7.538312101,-3.589700502,-1.590868706,0.084815198,-3.459325599,-6.133261275,-0.545142674,-3.905647875,-0.386794925,36.07129847
-6.890744559,-1.863485722,-2.063361283,-1.719507636,-8.567436774,-7.60639862,-3.54577058,-1.579718759,0.157981857,-3.488481099,-6.108267614,-0.624377925,-3.867715986,-0.376472923,34.79918184
-7.107260991,-1.730392283,-2.544812804,-1.897249764,-8.612125312,-7.689164989,-3.62744817,-1.632476541,-0.07494966,-3.692668706,-6.256555647,-0.227290822,-2.966110205,-0.235386784,37.8510775
-6.963086349,-2.228746814,-2.216613162,-1.818284086,-8.473349547,-7.616366628,-3.515085828,-1.655797414,0.058802689,-3.610842636,-6.200289912,-0.740824345,-4.049261581,-0.423219108,36.8451017
-6.501542389,-1.817090854,-2.128163579,-1.58829656,-8.07475844,-7.404306901,-3.324743443,-1.426158773,0.215829478,-3.335609763,-5.9382294,-0.420602339,-3.214205018,-0.287508529,37.73729931
-7.103919493,-1.96755949,-2.559333425,-1.8914516,-8.389345751,-7.743634919,-3.60998928,-1.641472248,-0.029167211,-3.688994494,-6.261383845,-0.902590577,-4.122975032,-0.350091034,39.66827749
-6.234088964,-1.541960667,-1.893346703,-1.431209067,-7.906709223,-7.196124015,-3.3432531,-1.266114763,0.430393946,-3.102777851,-5.757538633,-0.050558237,-2.352761611,-0.163426226,44.56509126
-7.173007465,-1.907175552,-2.34709863,-1.841952061,-8.941846034,-7.666278342,-3.784265592,-1.698500989,0.072740955,-3.517174436,-6.190748785,-0.443879449,-3.650821317,-0.317758323,45.0671116
-4.650904182,-0.327295592,-1.434510927,-0.606601435,-6.131922599,-6.380679208,-2.405431498,-0.377118694,1.257233989,-2.237630617,-4.915958383,-0.28716814,-1.831979872,-0.336208828,15.36047493
-5.243748567,-0.608396635,-1.909986711,-0.898910069,-6.820073979,-6.681139219,-2.796051696,-0.707835025,0.977695947,-2.587526504,-5.251513554,-0.63862515,-3.108787757,-0.330407181,15.29363847
-5.967802801,-1.475582239,-2.124207114,-1.465643173,-7.20173642,-7.141971715,-3.045615796,-1.07121667,0.29891074,-3.312625501,-5.793410462,-0.379490261,-2.837953785,-0.467056103,41.67194228
