log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.917200323,-2.233018357,-2.211979018,-1.7719014,-8.441402026,-7.616366628,-3.515085828,-1.655797414,0.11587637,-3.567647792,-6.160795825,-0.679930776,-3.988368012,-0.423219108,36.8451017
-6.444547699,-1.826597471,-2.153321824,-1.552839958,-8.022101073,-7.404306901,-3.324743443,-1.426158773,0.251399532,-3.309541187,-5.908478872,-0.404156653,-3.197759332,-0.287508529,37.73729931
-7.052204448,-1.997091051,-2.580057971,-1.868204617,-8.323532703,-7.718140875,-3.60998928,-1.641472248,-0.00792716,-3.662789759,-6.233198825,-0.895048895,-4.115433351,-0.350091034,39.66827749
-6.212075897,-1.540096398,-1.997404502,-1.43254487,-7.821349139,-7.196124015,-3.3432531,-1.266114763,0.417081561,-3.10010265,-5.749440466,-0.04926962,-2.351472994,-0.163426226,44.56509126
-7.1476747,-1.917312536,-2.450810286,-1.835238985,-8.873917213,-7.666278342,-3.784265592,-1.698500989,0.078212596,-3.511079446,-6.179936866,-0.438923999,-3.645865867,-0.317758323,45.0671116
-4.713273223,-0.362582029,-1.546905646,-0.644137151,-6.19974992,-6.380679208,-2.405431498,-0.377118694,1.222866866,-2.276165952,-4.954515749,-0.286386548,-1.831198279,-0.336208828,15.36047493
-5.307280646,-0.648879678,-2.023352413,-0.939244786,-6.887787083,-6.681139219,-2.796051696,-0.707835025,0.939871857,-2.624863521,-5.289486047,-0.616224449,-3.086387056,-0.330407181,15.29363847
-5.91039773,-1.513980891,-2.204722298,-1.432689051,-7.134192358,-7.141971715,-3.045615796,-1.07121667,0.32577692,-3.291198695,-5.759345702,-0.381599441,-2.840062966,-0.467056103,41.67194228
-9.73619227,-2.778535073,-3.843240356,-3.16036742,-10.5373454,-8.778329667,-4.675359881,-2.790010613,-1.250260466,-4.742291232,-7.471383051,0.642269469,-0.839113755,-0.0479041,369.5823975
-7.315642242,-1.798145661,-2.909060329,-2.027902171,-9.051353745,-7.799153278,-3.758527649,-1.746984132,-0.319151961,-3.906466929,-6.410383283,0.199611687,-2.363958117,-0.284884226,75.57765835
-6.103546451,-1.525540106,-1.829788089,-1.353276451,-7.835115578,-7.175345758,-3.206254618,-1.181852189,0.444628455,-3.223654115,-5.756892591,-0.411980184,-3.027062507,-0.304600074,24.23594576
-6.282633242,-1.118246325,-2.662872139,-1.433814348,-8.055753587,-7.150408614,-3.249129721,-1.127292415,0.313553384,-3.275145459,-5.842596141,-0.605544006,-3.583390203,-0.507866783,23.92752281
-7.472141161,-1.907995571,-3.061558884,-2.069053253,-9.020577316,-7.978393071,-3.964263025,-1.905412208,-0.369541747,-3.904411227,-6.444365832,-0.143190772,-2.325762928,-0.260665066,35.49103946
