log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.502338455,-1.529109217,-3.099176434,-1.663239205,-8.102528912,-7.515168378,-3.418791384,-1.41591278,0.078562421,-3.550566742,-6.018205963,-0.695407305,-3.80890315,-0.515503026,20.28702403
-6.519758952,-1.744281378,-2.741238496,-1.621003556,-8.076413446,-7.583888414,-3.450763319,-1.555020528,0.14627757,-3.414594952,-5.964114533,-0.542285111,-3.250613114,-0.400238021,21.21783921
-6.721447923,-1.531849302,-2.935728958,-1.774411672,-8.379975719,-7.437447738,-3.374609612,-1.347137202,-0.194981139,-3.646093225,-6.111167768,0.011438743,-2.460910957,-0.201621918,106.9527878
-7.19363087,-2.184640946,-2.987461175,-1.9661631,-8.858827177,-7.906056046,-3.915045951,-1.79989535,-0.399454119,-3.857280556,-6.321207231,-0.294179121,-3.234662352,-0.453527015,87.86256276
-6.173056599,-1.430088863,-2.242712938,-1.314856192,-7.751710509,-7.26997851,-3.272647036,-1.31486235,0.575228585,-3.118488728,-5.731518975,-0.49907418,-2.918531639,-0.472735321,17.20258982
-8.15319115,-2.262181905,-3.375036223,-2.371044581,-9.725984835,-8.284545146,-4.378620491,-2.310495532,-0.550877814,-4.128337718,-6.733873358,0.721220974,-2.057670478,-0.375933232,90.75989586
-8.523213504,-2.506133855,-4.568821604,-2.834540577,-9.363398461,-8.71427707,-4.332022944,-2.584212502,-1.45795614,-4.775711461,-7.094006098,0.152900245,-2.304825638,-0.182400311,205.7283678
-7.916193346,-2.679654944,-3.808964168,-2.490085917,-8.957735081,-8.356844539,-4.135593878,-2.257233035,-1.14608488,-4.4077171,-6.750968947,0.482461447,-1.037090031,-0.185026122,179.2071437
-7.794259938,-2.287072522,-3.079761135,-2.21017381,-9.337302938,-8.20430518,-4.215888448,-2.184427604,-0.396866164,-4.044086647,-6.59144832,0.116398714,-3.052456695,-0.388976022,97.60553487
-8.234844527,-2.339055706,-3.703718987,-2.488614452,-9.660539737,-8.345719083,-4.354261725,-2.332998805,-0.75645662,-4.24686592,-6.817686365,-0.130508595,-3.039597275,-0.408620739,75.94292818
-7.865451292,-2.294787321,-3.578221755,-2.34680272,-9.26751923,-8.302464023,-4.211211956,-2.253857642,-0.66902792,-4.1751777,-6.673569149,0.120923729,-2.889124192,-0.196392971,102.9601331
-6.836414854,-1.749406772,-2.331523387,-1.622484281,-8.617150204,-7.508928363,-3.589075769,-1.49498558,0.298900969,-3.421024816,-6.047792683,-0.148558415,-2.509679477,-0.280664925,122.5751046
