log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.444866353,-1.5027394,-3.022850847,-1.6251904,-8.047760702,-7.515168378,-3.418791384,-1.41591278,0.113133193,-3.513137447,-5.979324757,-0.713731538,-3.827227383,-0.515503026,20.28702403
-6.505938451,-1.724228131,-2.661938244,-1.612393894,-8.068160074,-7.583888414,-3.450763319,-1.555020528,0.153066729,-3.405772964,-5.956348642,-0.554802807,-3.263130811,-0.400238021,21.21783921
-6.682459204,-1.514570733,-2.855995791,-1.755810824,-8.336449798,-7.437447738,-3.374609612,-1.347137202,-0.181999558,-3.629467495,-6.091965151,0.008679842,-2.463669857,-0.201621918,106.9527878
-7.192916405,-2.162959441,-2.917980412,-1.966548648,-8.856299069,-7.958520315,-3.951281901,-1.902398974,-0.393598748,-3.85602454,-6.32103729,-0.281700466,-3.222183697,-0.453527015,87.86256276
-6.128901631,-1.405802239,-2.155857261,-1.28530786,-7.713492814,-7.26997851,-3.272647036,-1.31486235,0.606695339,-3.086861589,-5.702168856,-0.517530453,-2.936987912,-0.472735321,17.20258982
-8.125961226,-2.22869122,-3.293008773,-2.354954083,-9.700549043,-8.284545146,-4.378620491,-2.310495532,-0.538778155,-4.111094241,-6.718519636,0.736122981,-2.042768471,-0.375933232,90.75989586
-8.463828095,-2.475277744,-4.486247134,-2.800149089,-9.303904393,-8.71427707,-4.332022944,-2.584212502,-1.449994595,-4.765538379,-7.060109153,0.156611978,-2.301113904,-0.182400311,205.7283678
-7.90949898,-2.675780456,-3.748754985,-2.49065518,-8.957866587,-8.356844539,-4.135593878,-2.257233035,-1.152462948,-4.408529861,-6.750877446,0.363770323,-1.222287578,-0.185026122,179.2071437
-7.789260487,-2.26649931,-3.000689316,-2.211121895,-9.326180713,-8.20430518,-4.215888448,-2.184427604,-0.401874429,-4.043207436,-6.589898282,0.047003364,-3.176050811,-0.388976022,97.60553487
-8.212640259,-2.310966815,-3.619300564,-2.47402868,-9.670353363,-8.345719083,-4.354261725,-2.332998805,-0.739696193,-4.232775244,-6.805066258,-0.200220558,-3.497429727,-0.385059849,75.94292818
-7.824823126,-2.268787122,-3.493821852,-2.324633689,-9.229493301,-8.302464023,-4.211211956,-2.253857642,-0.65080532,-4.159961808,-6.652367888,0.129213764,-2.880834157,-0.196392971,102.9601331
-6.799291535,-1.740276124,-2.247919171,-1.600404238,-8.590087956,-7.508928363,-3.589075769,-1.49498558,0.321758469,-3.4042406,-6.028766037,-0.135527711,-2.496648774,-0.313662991,122.5751046
-8.924477244,-2.664898279,-4.182232725,-2.848095717,-9.567384214,-8.967730191,-4.642075038,-3.004155505,-0.971981368,-4.456101391,-7.110739861,0.194245476,-1.731811515,-0.267436994,243.9786372
-7.570478188,-1.817819134,-2.903800615,-1.957167069,-9.633959488,-7.757348721,-3.893035683,-1.806768623,0.010196404,-3.639236153,-6.334911775,1.053248402,-1.118663023,0.168252778,90.09920972
-7.021657234,-2.117655208,-2.751754826,-1.874006918,-8.442097497,-7.845802423,-3.867175249,-1.796644899,-0.087324482,-3.734866572,-6.230836938,-0.060905935,-2.560288127,-0.266132729,131.1258199
-8.875845899,-2.656955985,-4.576992552,-2.910983332,-9.713073891,-8.946392943,-4.66071554,-2.878195402,-1.259518369,-4.731564078,-7.197616209,0.240546247,-1.732715948,-0.175320418,242.4092536
-7.323107712,-2.212113436,-3.80688353,-2.131496484,-8.442281901,-8.374127214,-4.06179514,-2.250376031,-0.605858798,-4.12622106,-6.437968269,-0.48199702,-2.663248839,-0.464037241,144.9476734
-7.671346316,-2.153175063,-3.193681965,-2.053846977,-9.446987018,-8.087370599,-4.132267424,-2.134080872,-0.131718302,-3.835849369,-6.465978024,-0.296433826,-3.737863251,-0.457917192,101.577621
-7.052015839,-1.943177347,-2.745899517,-1.745596517,-9.008041818,-7.689308124,-3.876829616,-1.818711989,0.120020493,-3.505004626,-6.137489794,-0.117559237,-3.665987645,-0.39507753,79.69228775
-7.725347602,-2.147913225,-3.205132925,-2.102077814,-9.600646782,-8.088889253,-4.324629548,-2.149495295,-0.233762113,-3.901738124,-6.505848348,0.178644236,-3.345400958,-0.281544016,89.07022413
-7.943032896,-2.269913234,-3.446040243,-2.27048393,-9.66439279,-8.26932101,-4.406349356,-2.324023849,-0.476843578,-3.99838028,-6.615910625,0.436979306,-2.663804472,-0.193989349,92.97915029
-8.276734443,-2.736327706,-4.076376048,-2.66919641,-9.345583074,-8.718821428,-4.440710969,-2.643511437,-1.138549124,-4.432913733,-6.923576049,0.346727466,-1.257440664,-0.126038597,195.3870288
-8.883822522,-2.647629085,-5.000147599,-2.952285558,-9.199721509,-8.994351763,-4.683866891,-3.082982382,-1.309218709,-4.473223256,-7.142108827,0.33525665,-0.956222661,-0.056646079,216.083867
-8.061344456,-2.305172756,-3.684088086,-2.454578495,-9.338215623,-8.322349793,-4.417636632,-2.442272015,-0.673718318,-4.151354716,-6.747072759,-0.217172649,-3.016150565,-0.330263232,131.7601427
