log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.275129279,-1.411870989,-2.755779804,-1.518922045,-7.896747675,-7.515168378,-3.418791384,-1.41591278,0.205174343,-3.408886559,-5.87033889,-0.733761277,-3.847257122,-0.515503026,20.28702403
-6.507488755,-1.657143121,-2.37658411,-1.605364396,-8.079606391,-7.583888414,-3.450763319,-1.555020528,0.166194188,-3.425046581,-5.961763972,-0.543129994,-3.251457998,-0.400238021,21.21783921
-6.540494723,-1.473139809,-2.568054008,-1.687877874,-8.176732642,-7.437447738,-3.374609612,-1.347137202,-0.129858254,-3.569128066,-6.020067395,-0.111362089,-2.682193886,-0.263077246,106.9527878
-7.181239307,-2.148428385,-2.694990937,-1.971402276,-8.846221392,-7.958520315,-3.951281901,-1.902398974,-0.393322334,-3.856973783,-6.32318615,-0.33432399,-3.334054501,-0.453527015,87.86256276
-6.017548843,-1.331698435,-1.827751804,-1.203836999,-7.645873312,-7.26997851,-3.272647036,-1.31486235,0.701209175,-3.001864678,-5.626631631,-0.538424894,-2.957882353,-0.472735321,17.20258982
-8.024282482,-2.111507355,-2.990718877,-2.301609601,-9.600390921,-8.284545146,-4.378620491,-2.310495532,-0.520146214,-4.047175811,-6.660768217,0.697233271,-2.081658181,-0.375933232,90.75989586
-8.262343544,-2.368978362,-4.181755655,-2.683464298,-9.101070698,-8.71427707,-4.332022944,-2.584212502,-1.413452131,-4.729166361,-6.944058194,0.162481822,-2.295244061,-0.182400311,205.7283678
-8.022324628,-2.641369341,-3.599810728,-2.577314939,-9.108869047,-8.356844539,-4.135593878,-2.257233035,-1.231353174,-4.432642682,-6.826852609,0.299163786,-1.286894115,-0.185026122,179.2071437
-7.746141796,-2.208653272,-2.716707874,-2.194412375,-9.26915145,-8.20430518,-4.215888448,-2.184427604,-0.378183184,-4.030794641,-6.573504754,-0.110944549,-3.513666394,-0.388976022,97.60553487
-8.118080219,-2.21756767,-3.304451904,-2.416201698,-9.668762707,-8.345719083,-4.354261725,-2.332998805,-0.671394893,-4.1725775,-6.75165098,-0.141690776,-3.438899945,-0.358087956,75.94292818
-7.686843663,-2.184807885,-3.179075786,-2.25106391,-9.101724454,-8.302464023,-4.211211956,-2.253857642,-0.601089295,-4.113062222,-6.579527813,0.124101862,-2.885946058,-0.196392971,102.9601331
-6.680910422,-1.739520389,-1.937607947,-1.526297016,-8.515102926,-7.508928363,-3.589075769,-1.49498558,0.404890857,-3.345090927,-5.966647598,-0.167689912,-2.528810975,-0.313662991,122.5751046
-8.864376925,-2.52237864,-3.953667588,-2.843045129,-9.472300431,-8.967730191,-4.642075038,-3.004155505,-0.98932961,-4.419973175,-7.077971062,0.129079032,-1.819193358,-0.267436994,243.9786372
-7.43514364,-1.717357084,-2.572965583,-1.884251969,-9.518078603,-7.757348721,-3.893035683,-1.806768623,0.090879138,-3.558676136,-6.260477066,1.01015931,-1.161752115,0.213150999,90.09920972
-6.976021687,-2.1277332,-2.473617265,-1.848253463,-8.415396239,-7.845802423,-3.867175249,-1.796644899,-0.059990146,-3.727586324,-6.212792571,-0.055603291,-2.554985483,-0.266132729,131.1258199
-8.765324582,-2.535941023,-4.332187576,-2.867098258,-9.602409574,-8.946392943,-4.66071554,-2.878195402,-1.266661841,-4.739618734,-7.148083342,0.240373016,-1.732889179,-0.175320418,242.4092536
-7.249366604,-2.093696239,-3.512874589,-2.09030849,-8.334973044,-8.374127214,-4.06179514,-2.250376031,-0.53977974,-4.085943997,-6.394931303,-0.485822486,-2.667074305,-0.464037241,144.9476734
-7.547087644,-2.066296549,-2.863305461,-1.963214055,-9.324377222,-8.087370599,-4.132267424,-2.134080872,-0.032073834,-3.769910268,-6.397550257,-0.359855965,-3.80128539,-0.457917192,101.577621
-7.069446714,-1.80389316,-2.426262558,-1.750312215,-9.04093226,-7.803360933,-3.966414998,-1.845454426,0.126177842,-3.501991017,-6.140563991,-0.058762716,-3.607191123,-0.39507753,79.69228775
-7.698822493,-2.053812566,-2.886359859,-2.081435027,-9.584361477,-8.088889253,-4.330269965,-2.149495295,-0.19150421,-3.878522633,-6.488325006,0.150556168,-3.373489026,-0.281544016,89.07022413
-7.92968464,-2.156289936,-3.116647538,-2.253086127,-9.68437809,-8.26932101,-4.406349356,-2.324023849,-0.453494998,-3.988917055,-6.609019741,0.406127114,-2.776114799,-0.190820667,92.97915029
-8.539360212,-2.640319422,-4.170942582,-2.812642204,-9.605389365,-8.718821428,-4.485883665,-2.643511437,-1.1859366,-4.446512337,-7.045324034,0.353303311,-1.250864819,-0.126038597,195.3870288
-8.824959538,-2.487680958,-4.79224041,-2.930981619,-9.129114355,-8.994351763,-4.683866891,-3.082982382,-1.335303401,-4.488209731,-7.127866311,0.267906908,-1.023572402,-0.056646079,216.083867
-7.864887682,-2.148302032,-3.517690732,-2.378075058,-9.108424164,-8.462285547,-4.417636632,-2.507547256,-0.659313376,-4.142420523,-6.6729544,-0.253718867,-3.052696783,-0.330263232,131.7601427
-7.430330677,-2.110870712,-2.55756743,-2.078563415,-8.848301124,-7.783165558,-3.668490913,-1.763653516,-0.229064974,-3.861000682,-6.44505128,-0.861148588,-4.170124869,-0.428105344,36.23420519
-6.502405845,-1.913085369,-1.977967942,-1.688738339,-7.916247618,-7.112474998,-3.101171298,-1.070108209,0.113664342,-3.389794593,-5.996448444,-0.791344416,-3.606096262,-0.428283321,34.89344879
-7.081892388,-1.793535173,-2.046097825,-1.853438954,-8.722117487,-7.538312101,-3.589700502,-1.590868706,0.026112597,-3.518462348,-6.186409527,-0.533290879,-3.893796081,-0.386794925,36.07129847
-6.991910625,-1.817034277,-2.077108225,-1.78257929,-8.67243493,-7.60639862,-3.54577058,-1.579718759,0.092137709,-3.539011905,-6.160329793,-0.609596477,-3.852934538,-0.408041836,34.79918184
-7.087883398,-1.716995341,-2.432226002,-1.893795217,-8.633505887,-7.689164989,-3.62744817,-1.632476541,-0.080744525,-3.684563444,-6.24963409,-0.326691799,-3.325361765,-0.32954696,37.8510775
-7.068998897,-2.211032688,-2.260385507,-1.885324237,-8.580097088,-7.616366628,-3.515085828,-1.655797414,-0.00654942,-3.660869981,-6.259472476,-0.742551114,-4.05098835,-0.423219108,36.8451017
-6.59833642,-1.800628696,-2.155513318,-1.638654297,-8.177398618,-7.452139856,-3.324743443,-1.426158773,0.166542176,-3.370325932,-5.981264217,-0.482488187,-3.276090866,-0.287508529,37.73729931
-7.222448105,-1.918691367,-2.582030235,-1.930122908,-8.593746142,-7.745068556,-3.60998928,-1.641472248,-0.059850873,-3.708460177,-6.301642876,-0.946805083,-4.167189538,-0.350091034,39.66827749
-6.236236147,-1.55232056,-1.775881759,-1.418236534,-7.975324745,-7.196124015,-3.3432531,-1.266114763,0.451584305,-3.103139496,-5.759701045,-0.034679467,-2.336882841,-0.163426226,44.56509126
-7.189079925,-1.899192993,-2.230126825,-1.843225073,-8.995117224,-7.666278342,-3.784265592,-1.698500989,0.074209667,-3.525966524,-6.201499876,-0.414675462,-3.621617329,-0.314553513,45.0671116
-4.584898742,-0.290089575,-1.305449489,-0.567399343,-6.061454411,-6.380679208,-2.405431498,-0.377118694,1.292641727,-2.197301466,-4.875374812,-0.29003918,-1.834850912,-0.336208828,15.36047493
-5.178439035,-0.564643864,-1.77960875,-0.859749564,-6.748119981,-6.681139219,-2.796051696,-0.707835025,1.012015814,-2.554508195,-5.215533921,-0.664757082,-3.134919689,-0.330407181,15.29363847
-6.158102122,-1.4073407,-2.042616765,-1.531168516,-7.458975693,-7.141971715,-3.045615796,-1.07121667,0.265459971,-3.348187995,-5.869340026,-0.399957043,-2.858420568,-0.467056103,41.67194228
-9.936892012,-2.635690085,-3.982193912,-3.236752147,-10.80603183,-9.043670204,-4.904447161,-3.014800114,-1.293751501,-4.774077609,-7.526358677,0.71975289,-0.761630334,0.100265025,369.5823975
-7.188263929,-1.746990379,-2.695558567,-1.944403195,-8.953411362,-7.799153278,-3.758527649,-1.746984132,-0.227177466,-3.833758991,-6.333761354,0.197574517,-2.365995288,-0.261232886,75.57765835
-6.042689937,-1.517173008,-1.652688635,-1.318646491,-7.782872113,-7.175345758,-3.206254618,-1.181852189,0.492123001,-3.185399721,-5.722186974,-0.652646866,-3.424173178,-0.49968437,24.23594576
-6.216454919,-1.048624648,-2.419945387,-1.397175804,-7.994049899,-7.150408614,-3.249129721,-1.127292415,0.339469654,-3.24900026,-5.813704424,-0.645449345,-3.623295543,-0.507866783,23.92752281
-7.41349668,-1.844313294,-2.848647448,-2.031705358,-9.096775375,-7.978393071,-3.964263025,-1.905412208,-0.318014944,-3.860132167,-6.4122354,-0.16018587,-2.479113814,-0.454801566,35.49103946
-5.685282051,-1.013544522,-2.018233298,-1.146398478,-7.562507462,-7.062767054,-3.07401661,-1.02361828,0.49357499,-3.070316991,-5.563763407,-0.574118036,-3.227253742,-0.416527173,26.60658388
-6.576512576,-0.884014235,-2.673583738,-1.608085921,-8.419514146,-7.214208458,-3.222207009,-1.091661631,0.13536168,-3.53090257,-6.027774257,-0.549209939,-3.440060655,-0.462963952,30.33273232
-5.68271772,-0.873604512,-2.086066937,-1.167753762,-7.452228362,-6.990192108,-2.942818943,-0.851501208,0.539474715,-3.100184912,-5.590522381,-0.254021005,-2.030833317,-0.296716397,29.88733731
-6.451213028,-1.226015984,-1.816330954,-1.516596024,-8.288973187,-7.307561772,-3.332866136,-1.328835342,0.222374051,-3.444649459,-5.955632424,-0.509480671,-3.080269371,-0.371220225,29.69294555
-7.42594028,-1.752289074,-2.567272787,-2.042213462,-8.907978973,-7.859529362,-3.872574771,-1.79340188,-0.278785518,-3.934681678,-6.440404262,-0.582877273,-3.774354866,-0.452752695,28.4625764
-5.625253606,-1.091887398,-2.09767812,-1.175105924,-7.110276948,-6.973934984,-2.871999955,-0.826215578,0.489657687,-3.112615214,-5.568232288,-0.493853394,-2.613355067,-0.396420921,29.01014122
-7.373738804,-1.754672237,-2.718519036,-2.105911221,-8.507681437,-7.805718702,-3.548242991,-1.758283353,-0.384323418,-3.991863375,-6.450286852,-0.449389952,-2.814003219,-0.4284506,80.47682345
-7.364286079,-1.929835355,-2.222032898,-2.030479911,-9.10500887,-7.712785489,-3.749437431,-1.611518941,-0.20203813,-3.840058053,-6.423338974,0.011546288,-3.324859983,-0.358234162,35.59955141
-6.742699397,-1.669226467,-1.902628266,-1.627539055,-8.450565401,-7.41956359,-3.507800606,-1.493176875,0.284570494,-3.399680284,-6.022290652,-0.241233002,-3.080853562,-0.327210107,35.30640475
-6.952273064,-1.423326368,-2.36822916,-1.814656921,-8.808688624,-7.448161899,-3.512350378,-1.477784419,0.051335881,-3.551188047,-6.167237307,-0.269614093,-3.523151736,-0.343135262,34.89791922
-6.788109312,-1.756528432,-2.35764695,-1.714011205,-8.45273945,-7.410225506,-3.580163592,-1.394074642,0.103566351,-3.512429271,-6.096351699,-0.404609501,-3.526752404,-0.282325866,34.77094176
-6.515690849,-1.480564837,-1.9002973,-1.524552921,-8.300067072,-7.346689819,-3.395681183,-1.321208249,0.333985454,-3.381254527,-5.949985526,-0.269929281,-3.075505706,-0.387236942,35.72405568
-6.792909621,-1.208265612,-2.408703342,-1.739309929,-8.675404274,-7.328771466,-3.313845639,-1.270063242,0.041200384,-3.607122737,-6.138683121,-0.172582489,-3.28312165,-0.344123362,41.16624909
-6.450759302,-1.250516341,-1.946478332,-1.523585146,-8.289935392,-7.127122155,-3.231036577,-1.089426043,0.304385424,-3.383758315,-5.939361269,-0.051507872,-2.320472325,-0.24707506,55.48235705
-7.398200295,-1.702276986,-2.67871241,-1.997658074,-9.193504183,-7.841678253,-3.753610193,-1.77432026,-0.176316764,-3.792977285,-6.388326319,-0.164352259,-3.125108967,-0.285210004,55.30707541
-6.255924894,-1.515705096,-1.88005712,-1.406607076,-8.173750775,-7.184242183,-3.2731899,-1.161902896,0.392507339,-3.249708881,-5.829851022,-0.279078955,-3.148060845,-0.268627247,33.72625037
-8.234867314,-2.218041713,-2.868116284,-2.410638629,-9.477655955,-8.251633231,-4.189586967,-2.18912747,-0.622273351,-4.304556202,-6.82287707,-0.158239199,-2.716487812,-0.512076636,83.47806214
-7.792994493,-2.013042616,-2.744148,-2.177500268,-9.308169985,-7.987990217,-3.972426635,-1.943924166,-0.356874948,-4.098915611,-6.608110564,-0.027860124,-2.59972478,-0.371213158,75.99824077
-6.579808554,-1.125118304,-2.218917144,-1.619336027,-8.188999908,-7.312238013,-3.302899706,-1.275273034,0.197406591,-3.366032131,-5.968031108,-0.153636739,-2.679160156,-0.167895237,28.75328173
-7.213065346,-1.905427359,-2.896066336,-1.97799771,-8.470562848,-7.804453978,-3.797246756,-1.803951676,-0.255703537,-3.704090946,-6.289917166,-0.058409674,-2.413748575,-0.374967823,25.32242522
-7.243534399,-1.783451931,-2.339588723,-1.902781721,-8.894912254,-7.704452449,-3.838498062,-1.747179929,-0.045004467,-3.591085504,-6.247528603,-0.03185308,-2.678218974,-0.147681352,29.04487148
-6.389336999,-1.509047264,-1.914214857,-1.496935635,-8.055707696,-7.287117754,-3.324587941,-1.236033404,0.316028923,-3.251665008,-5.86310233,-0.051274103,-2.295007546,-0.187560511,30.04508492
-7.170885866,-1.94827173,-2.452600081,-1.998086436,-8.350987916,-7.817334721,-3.732716247,-1.792893985,-0.207518261,-3.808599576,-6.324196578,-0.659843386,-3.552161411,-0.410136968,30.42262508
-6.865185698,-1.603964043,-2.728900923,-1.800243248,-8.314562362,-7.664654816,-3.541881441,-1.5810813,-0.068720656,-3.571107232,-6.12894833,0.029308656,-2.19659198,-0.175181922,44.63548713
-7.772599572,-1.776529291,-2.650398412,-2.200115829,-9.295985819,-8.104288756,-4.078466671,-1.987781555,-0.386814879,-3.974583947,-6.559704159,-0.188406282,-3.315795737,-0.38012157,45.2564321
-7.587935329,-2.50534346,-2.124367026,-2.081243842,-9.57772347,-7.698009534,-3.809871439,-1.739812204,-0.176519358,-3.721257013,-6.413366157,0.138519182,-2.819949629,-0.289832327,32.76097267
-4.795119858,-0.177535644,-1.555272913,-0.734264203,-6.175016755,-6.437898945,-2.258635863,-0.326861862,1.084647862,-2.503621022,-5.090864579,-0.150635365,-1.544747366,-0.200361971,13.79604256
-5.588124641,-0.611057375,-1.870184347,-1.132307655,-7.168680188,-6.867916619,-2.849246578,-0.843475864,0.61742065,-2.811274665,-5.435253249,-0.364758391,-2.4894194,-0.321886037,13.46070606
-6.512954489,-1.094291842,-2.50513889,-1.661919969,-7.776637476,-7.390865457,-3.288220786,-1.244640571,0.05621849,-3.4306276,-5.9645177,-0.253377065,-2.643793191,-0.420786807,34.96642821
-6.989434089,-1.890198473,-2.410041257,-1.603047105,-9.186472955,-7.691368241,-3.930400905,-1.74264065,0.393159631,-3.373875426,-6.061744879,-0.581805051,-4.25040868,-0.486630993,110.1878695
-7.639399145,-2.001834568,-2.632073149,-2.128084476,-9.36258378,-7.702669613,-4.095746936,-1.979659343,-0.225417925,-3.580884533,-6.318966364,-0.098681252,-2.814425121,-0.400594939,67.3817756
