log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.322282478,-1.256193828,-2.527823939,-1.530527702,-7.990540551,-7.580788168,-3.49608854,-1.459874548,0.183242357,-3.398826742,-5.880989953,-0.771907177,-3.885403022,-0.515503026,20.28702403
-6.712454122,-1.487987515,-2.074727242,-1.706149065,-8.477449343,-7.67226378,-3.450763319,-1.555020528,0.029563412,-3.563205707,-6.068905226,-0.550432057,-3.258760061,-0.400238021,21.21783921
-6.39880538,-1.499029252,-2.203252171,-1.636572572,-8.040209627,-7.437447738,-3.374609612,-1.347137202,-0.180442445,-3.545462209,-5.96232877,-0.492393896,-3.436871339,-0.428230434,106.9527878
-7.453929288,-2.128301283,-2.662362431,-2.146344899,-9.09010862,-8.033714705,-4.001854717,-1.902398974,-0.638395613,-4.048206997,-6.499432185,-0.470645265,-3.470375776,-0.453527015,87.86256276
-6.095317445,-1.283298602,-1.307144158,-1.197095448,-8.043028911,-7.26997851,-3.272647036,-1.31486235,0.7192747,-2.985840053,-5.63329521,-0.609811607,-3.114545163,-0.486294083,17.20258982
-7.923828484,-1.963338617,-2.581232606,-2.231877522,-9.511993133,-8.284545146,-4.378620491,-2.310495532,-0.450012562,-3.95687395,-6.591612377,0.460205624,-2.347136268,-0.375933232,90.75989586
-8.077958987,-2.23052559,-3.765585769,-2.596252699,-8.904709951,-8.71427707,-4.332022944,-2.584212502,-1.36921548,-4.724187293,-6.854536023,0.199797554,-2.257928328,-0.087595664,205.7283678
-9.037473198,-2.366519945,-4.161591389,-3.079730934,-10.16873213,-8.743255784,-4.447396833,-2.565938412,-1.41105842,-4.50955563,-7.210808456,0.215326042,-1.685029001,0.055830994,179.2071437
-7.757172624,-2.185879739,-2.424561982,-2.241086127,-9.264059914,-8.20430518,-4.215888448,-2.184427604,-0.450771995,-4.077909587,-6.610105375,-0.21875879,-3.621480634,-0.388976022,97.60553487
-7.965905484,-2.108435094,-2.838653702,-2.330677999,-9.625305354,-8.345719083,-4.354261725,-2.332998805,-0.589146295,-4.082214174,-6.666609263,-0.287328612,-3.899036578,-0.366512094,75.94292818
-7.641776091,-2.093675537,-2.713736908,-2.23650732,-9.07625598,-8.302464023,-4.211211956,-2.253857642,-0.662275562,-4.080149618,-6.554431102,0.058870828,-2.951177092,-0.196392971,102.9601331
-6.598535274,-1.886789684,-1.492712907,-1.501624327,-8.482178177,-7.508928363,-3.589075769,-1.49498558,0.396753335,-3.367381377,-5.958926744,-0.240178695,-2.676397538,-0.313662991,122.5751046
-8.964842287,-2.272615731,-3.912711135,-2.912408845,-9.523109001,-8.967730191,-4.758276802,-3.06949329,-1.075108774,-4.460189242,-7.129022598,0.218505073,-1.909312949,-0.089867522,243.9786372
-7.207345169,-1.608086191,-2.042072261,-1.713233837,-9.36156919,-7.757348721,-3.893035683,-1.806768623,0.280296485,-3.479113043,-6.158740176,0.72928697,-1.515021346,0.213150999,90.09920972
-6.984252676,-2.172938706,-2.225817069,-1.920926141,-8.361230408,-7.845802423,-3.867175249,-1.796644899,-0.206759589,-3.832749872,-6.259615507,-0.022463111,-2.521845302,-0.241618094,131.1258199
-8.828460576,-2.313664599,-4.362554324,-2.89121596,-9.648589735,-8.962870421,-4.66071554,-2.902609056,-1.191342996,-4.741625711,-7.182482861,0.164290603,-1.913116387,-0.175320418,242.4092536
-7.336201734,-1.881189231,-3.154944443,-2.12903638,-8.345859211,-8.392706413,-4.06179514,-2.303707382,-0.496605752,-4.100556021,-6.435292346,-0.462603157,-2.643854975,-0.464037241,144.9476734
-7.377512388,-1.979028175,-2.334118565,-1.856316116,-9.143031428,-8.087370599,-4.132267424,-2.134080872,0.071897882,-3.72433572,-6.325610409,-0.333415477,-3.774844902,-0.422804637,101.577621
-6.981539965,-1.653196927,-1.939664087,-1.698129198,-8.918825865,-7.886146907,-3.993692052,-1.940782627,0.184805433,-3.491834368,-6.113799468,-0.280360796,-3.928883752,-0.39507753,79.69228775
-7.607507144,-1.953617769,-2.403424538,-2.051042335,-9.479714689,-8.088889253,-4.330269965,-2.149495295,-0.188768699,-3.816092819,-6.438946703,0.115752506,-3.408292688,-0.281544016,89.07022413
-7.955643859,-1.972852874,-2.591150816,-2.231473714,-9.721268523,-8.26932101,-4.406349356,-2.324023849,-0.389514006,-3.964430032,-6.605069479,0.390756238,-2.850112628,-0.23063811,92.97915029
-9.548809466,-2.287744376,-3.896805464,-3.167232244,-10.95480611,-9.010537978,-4.871534612,-3.024425166,-1.26821772,-4.498280257,-7.297857151,0.291408562,-1.747159669,0.047275104,195.3870288
-8.843041002,-2.219835234,-4.48916493,-2.946685871,-9.237369646,-8.994351763,-4.684839657,-3.082982382,-1.35373988,-4.486128218,-7.13298777,0.311512631,-0.97996668,-0.056646079,216.083867
-7.599036085,-1.905957872,-3.133061364,-2.253008056,-8.808347612,-8.462285547,-4.417636632,-2.507547256,-0.608497053,-4.104999173,-6.549187038,-0.288060246,-3.087038162,-0.330263232,131.7601427
-7.974602787,-1.828106716,-2.198270903,-2.203427091,-9.848298954,-8.115755125,-4.162875884,-2.192782802,-0.295197536,-3.926988354,-6.5872948,-0.475869157,-4.173839021,-0.354402288,36.23420519
-7.100516372,-1.633503897,-2.000369723,-1.888137765,-8.655502044,-7.730968481,-3.666601229,-1.625985341,-0.088391816,-3.588758012,-6.216145412,-0.593437228,-3.873429648,-0.359290289,34.89344879
-7.400016579,-1.477876175,-2.102450825,-1.979693998,-9.054490233,-7.88675775,-3.885726919,-1.940388496,-0.122433298,-3.694234943,-6.326215648,-0.450356849,-3.8124148,-0.41319293,36.07129847
-7.302927095,-1.650372606,-1.988476626,-1.933771668,-8.95231394,-7.892647028,-3.791255226,-1.841496128,-0.056268609,-3.702812333,-6.310824285,-0.637361507,-4.109340948,-0.400049177,34.79918184
-6.942622749,-1.744445427,-2.018583296,-1.866379431,-8.482516673,-7.689164989,-3.62744817,-1.632476541,-0.111532382,-3.664112839,-6.194810903,-0.384530198,-3.487259682,-0.193482598,37.8510775
-7.78774173,-1.979575175,-2.270526072,-2.168474628,-9.48122916,-7.896194149,-4.153327437,-2.109017019,-0.264470536,-3.8772808,-6.523970554,-0.414620445,-3.879763166,-0.461153247,36.8451017
-6.926471898,-1.705770599,-1.909180666,-1.759848806,-8.637731806,-7.635734634,-3.656602643,-1.602191269,0.07149338,-3.473602162,-6.103389348,-0.57432076,-3.750973757,-0.432651205,37.73729931
-7.453161404,-1.756579341,-2.042351234,-1.950316464,-9.199821484,-7.91779369,-3.88377391,-1.938998669,-0.056595756,-3.717143428,-6.346438363,-0.754057901,-4.556142427,-0.475143433,39.66827749
-6.193944819,-1.712633298,-1.31042144,-1.398055445,-7.983404696,-7.196124015,-3.3432531,-1.285292576,0.445437863,-3.090182942,-5.755838762,-0.37573382,-3.194526234,-0.197709214,44.56509126
