log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.233437205,-1.374463255,-2.65784764,-1.492456681,-7.868860847,-7.515168378,-3.418791384,-1.41591278,0.228085176,-3.37813385,-5.843566048,-0.741980869,-3.855476713,-0.515503026,20.28702403
-6.56196377,-1.627759614,-2.263887028,-1.628951811,-8.143980127,-7.67226378,-3.450763319,-1.555020528,0.146574714,-3.466361776,-5.992357854,-0.536759377,-3.24508738,-0.400238021,21.21783921
-6.48882897,-1.468582756,-2.453355877,-1.667326807,-8.117819635,-7.437447738,-3.374609612,-1.347137202,-0.113237406,-3.547239851,-5.995176041,-0.18599697,-2.756828766,-0.263077246,106.9527878
-7.211678925,-2.149887505,-2.63016206,-1.991348447,-8.871067143,-7.988795115,-3.951281901,-1.902398974,-0.41819744,-3.878922891,-6.344183249,-0.379876122,-3.379606634,-0.453527015,87.86256276
-6.005479786,-1.309433467,-1.684503382,-1.185047626,-7.683168376,-7.26997851,-3.272647036,-1.31486235,0.726242613,-2.981820003,-5.612478357,-0.570369363,-2.989826823,-0.472735321,17.20258982
-7.985544538,-2.065748903,-2.864636261,-2.275390668,-9.569784207,-8.284545146,-4.378620491,-2.310495532,-0.4972031,-4.012449322,-6.633603365,0.640100997,-2.138790454,-0.375933232,90.75989586
-8.191433126,-2.327918052,-4.054742735,-2.644268358,-9.030945954,-8.71427707,-4.332022944,-2.584212502,-1.401761745,-4.724451049,-6.905262862,0.167721524,-2.290004359,-0.182400311,205.7283678
-8.195160469,-2.601273531,-3.630682114,-2.678249696,-9.297435247,-8.480263541,-4.232313882,-2.353114923,-1.288785818,-4.45936784,-6.915934265,0.157469373,-1.650057564,-0.157906164,179.2071437
-7.733774782,-2.194293677,-2.605080932,-2.18672655,-9.255668365,-8.20430518,-4.215888448,-2.184427604,-0.362329264,-4.03064504,-6.570655501,-0.145445008,-3.548166852,-0.388976022,97.60553487
-8.067084349,-2.183498064,-3.170134175,-2.3849085,-9.657575513,-8.345719083,-4.354261725,-2.332998805,-0.637745683,-4.138443804,-6.721132204,-0.133779999,-3.430989167,-0.358087956,75.94292818
-7.641392018,-2.155570561,-3.044828971,-2.224811447,-9.059749196,-8.302464023,-4.211211956,-2.253857642,-0.59192668,-4.094177598,-6.553921935,0.10979409,-2.90025383,-0.196392971,102.9601331
-6.638018226,-1.759316861,-1.806453902,-1.503874993,-8.484504665,-7.508928363,-3.589075769,-1.49498558,0.423803089,-3.33329309,-5.949828403,-0.18308298,-2.544204042,-0.313662991,122.5751046
-8.865917984,-2.458924436,-3.890897898,-2.846390567,-9.461257635,-8.967730191,-4.642075038,-3.004155505,-0.993140539,-4.426060244,-7.083600739,0.135373539,-1.812898851,-0.267436994,243.9786372
-7.369962914,-1.680731517,-2.427934032,-1.838200425,-9.471737815,-7.757348721,-3.893035683,-1.806768623,0.143971259,-3.529073884,-6.229155023,0.934306386,-1.245361058,0.213150999,90.09920972
-6.961853107,-2.143279093,-2.366614406,-1.847223666,-8.405067958,-7.845802423,-3.867175249,-1.796644899,-0.060115582,-3.733733176,-6.211718882,-0.025074991,-2.524457183,-0.241618094,131.1258199
-8.748317274,-2.482779643,-4.253856586,-2.857796309,-9.588266684,-8.946392943,-4.66071554,-2.878195402,-1.245989393,-4.735941103,-7.139425442,0.248438984,-1.724823211,-0.175320418,242.4092536
-7.247533097,-2.041366317,-3.393566408,-2.089912651,-8.315145537,-8.374127214,-4.06179514,-2.250376031,-0.517634528,-4.080615819,-6.393758209,-0.48341397,-2.664665788,-0.464037241,144.9476734
-7.488689351,-2.036323261,-2.718572156,-1.927967003,-9.260492602,-8.087370599,-4.132267424,-2.134080872,-0.001407913,-3.746316162,-6.368632701,-0.350236259,-3.791665683,-0.457917192,101.577621
-7.06255604,-1.7472624,-2.288666291,-1.744649524,-9.031688411,-7.886146907,-3.993692052,-1.940782627,0.1365586,-3.504906832,-6.13969276,-0.087837714,-3.636266122,-0.39507753,79.69228775
-7.671151223,-2.020204258,-2.749350608,-2.068014852,-9.557827194,-8.088889253,-4.330269965,-2.149495295,-0.180958393,-3.857599744,-6.471592005,0.128604928,-3.395440266,-0.281544016,89.07022413
-7.939429222,-2.108996733,-2.972555896,-2.247346911,-9.701198478,-8.26932101,-4.406349356,-2.324023849,-0.431224214,-3.980526997,-6.608293482,0.371595009,-2.869273857,-0.190820667,92.97915029
-8.737389685,-2.574519066,-4.192784685,-2.910507908,-9.825693613,-8.718821428,-4.485883665,-2.653081831,-1.211386261,-4.4521383,-7.121474567,0.193367498,-1.789718398,-0.17871788,195.3870288
-8.806331298,-2.416952291,-4.751025953,-2.924316922,-9.107183166,-8.994351763,-4.683866891,-3.082982382,-1.345505281,-4.487485991,-7.120119296,0.268811764,-1.022667547,-0.056646079,216.083867
-7.782756472,-2.081648492,-3.394961526,-2.340670607,-9.016190779,-8.462285547,-4.417636632,-2.507547256,-0.639913886,-4.124802779,-6.633747579,-0.262792265,-3.061770181,-0.330263232,131.7601427
