log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-3.050495854,-0.787846375,-4.480559002,1.213177833,0.673072834,-0.688046135,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-2.482408376,-0.297806084,-3.576025066,1.702849673,0.868758632,-0.341875329,1.326701154,-0.84636022
-2.570831796,-1.5616507,-0.767787177,-3.090439385,-0.482687163,-4.236295951,1.518519548,0.701008045,-0.362494257,2.029192109,-0.765275552
-2.999730512,-1.601050735,-0.882734423,-3.585217461,-0.665986208,-4.636555731,1.334444505,0.44304363,-0.596682799,1.943803867,-0.855217399
-2.504733556,-1.016406467,-0.348675066,-2.171395357,-0.194041228,-3.4923395,1.807832164,1.089762398,-0.159915669,1.235593834,-0.799693273
-2.807341891,-2.28209058,-1.664509741,-4.085010955,-1.444155719,-6.184736719,0.556154866,0.212712021,-0.102775287,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.639196035,-0.165952995,-3.627203943,1.834805414,0.927735228,0.121896246,2.313294181,-1.169505501
-1.900355043,-1.120936596,-0.346411373,-2.2717661,-0.114934904,-3.453780819,1.886465955,1.095261043,0.500217622,2.253355318,-0.368852079
-3.402721844,-2.178355013,-1.638198022,-4.204810169,-1.454339839,-6.14250397,0.546088497,0.134790155,-1.067010579,1.989474446,-0.849356609
-3.297209169,-2.271903875,-1.549971521,-4.225017287,-1.206133551,-5.722096255,0.795116828,0.127825209,-0.752914232,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.842050949,-1.14705278,-5.603155766,0.853397674,0.322042568,-0.639166077,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-2.176141783,-0.000308103,-3.291589036,2.000262955,1.147404809,0.287603694,2.088402273,-0.077378312
-1.948272389,-1.310656396,-0.365589368,-1.869447235,0.146708215,-2.957171414,2.148125327,1.321962397,0.585893713,2.387351801,-0.797251491
-2.240437058,-2.09000184,-1.81002399,-4.135831257,-1.379197076,-6.057147122,0.621864575,0.202897481,0.104271875,1.954720982,-1.339755605
-2.499382192,-1.666108583,-0.689657296,-2.509602033,0.002857802,-3.242458232,2.003421186,0.988351862,0.039962211,2.117688217,-0.471972778
-1.973262195,-1.3481225,-0.469965358,-1.898322659,0.290896498,-2.730785461,2.292019242,1.322645242,0.577348407,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.246839365,0.690647277,-1.895412759,2.691415499,1.631921643,0.450675585,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.761579554,-4.057881161,-1.186878138,-5.623415523,0.813533405,0.209963151,-0.620614095,2.006798037,-0.968517099
-3.565352843,-2.326808432,-1.791129558,-4.549108209,-1.168282492,-5.592480198,0.832071689,-0.025915788,-0.962176639,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-4.912483356,-1.391771683,-6.078598771,0.608607761,-0.201809438,-0.931828002,1.949732545,-1.191650014
-3.240868866,-2.461802149,-2.094365613,-4.742582531,-1.408206886,-6.110620088,0.592698133,-0.113169084,-0.591002972,1.968385573,-1.161867283
-2.032135251,-1.345508907,-0.599844598,-2.533766477,-0.207507825,-3.631182497,1.793821141,0.943709762,0.3935353,2.290895729,-0.189687274
-1.29147931,-0.813579024,0.031693943,-0.944474935,0.794506261,-1.693267346,2.795304899,1.796689973,1.222607394,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.244594106,0.232100892,-2.836774286,2.232656555,1.129150966,-0.011088787,2.119784057,-1.067956892
-3.697969864,-2.292984846,-1.884565908,-4.668356435,-1.474581613,-6.247904513,0.525932914,-0.07279437,-0.979448122,1.559118739,-1.31337182
-3.27999242,-1.757397101,-1.750578821,-3.453637088,-1.206080666,-5.720858378,0.794629731,0.527784769,-0.841335782,1.542743896,-0.925650976
-3.360505202,-1.962940025,-1.7257396,-4.295588335,-1.427501183,-6.169462078,0.572843688,0.107425487,-0.929819135,1.557161776,-1.333244135
-3.471979441,-2.034027328,-1.614368383,-4.146088436,-1.319210784,-5.930689802,0.681448819,0.183199515,-1.091124558,1.541569033,-1.198918669
-3.102729483,-1.79411025,-1.203929674,-3.444964989,-0.709845108,-4.755563614,1.290897473,0.542567339,-0.543954502,1.578078247,-0.998389417
-3.465142721,-2.087723409,-1.581216523,-4.402125603,-1.297503116,-5.898107264,0.702815349,0.057493591,-1.002704964,1.56637976,-1.120899741
-3.176652998,-1.914175155,-1.156438348,-3.479987469,-0.859046815,-5.03077647,1.141572536,0.52334105,-0.791842584,1.576770816,-1.04360968
-3.802084526,-2.105082275,-1.858928957,-3.990096184,-1.356939431,-6.027844836,0.643586366,0.258393723,-1.037798355,1.598443343,-0.879072387
-2.818792414,-1.603448219,-1.008079841,-3.202321874,-0.763618561,-4.81639797,1.237072789,0.656719927,-0.370910207,1.6489948,-0.67541001
-3.772826424,-2.194833674,-1.641149642,-4.322017023,-1.203753238,-5.713998656,0.79731771,0.086304799,-1.142112173,1.653859725,-1.257455669
-1.544811732,-0.42711444,0.402304983,0.21454037,1.041615762,-0.838223724,3.042025249,2.205397625,0.941976908,1.186404644,0.476794994
-2.470162607,-0.79019451,-0.496577677,-0.987990629,0.31153479,-2.273146875,2.311722094,1.62299837,0.187857423,1.18451082,-0.190625824
-2.823695602,-1.52433719,-0.71499361,-2.99056318,-0.550904908,-4.392875213,1.4495381,0.766976241,-0.346038187,1.619843743,-0.580345867
-1.676147347,-1.195266603,-0.522599022,-2.267096894,-0.316107023,-3.791564902,1.684864383,1.081374134,0.887523602,2.567711278,-0.025076837
-2.65573655,-1.806526896,-1.058090801,-3.627429857,-0.759171244,-4.734274853,1.241863548,0.410348753,-0.156992429,1.878393432,-0.884856017
-2.958933143,-1.244340932,-0.872305611,-2.773091961,-0.629885284,-4.285283801,1.373349831,0.717743415,-0.402503551,1.384459972,-1.000883159
-3.175243049,-1.427122966,-1.247105134,-2.958303538,-0.66379974,-4.048785534,1.33830343,0.621892635,-0.680022062,1.378897739,-1.117702245
-2.606968021,-1.580105735,-0.592398908,-2.975057017,-0.251228781,-3.767645573,1.749581802,0.763713381,-0.209253451,1.550118719,-0.585881801
-2.744502478,-1.207771438,-0.741460881,-2.121632173,-0.172947277,-3.058406129,1.829545003,0.983281882,-0.214102207,1.424989117,-0.691934884
-2.919756344,-1.294446779,-1.025755138,-3.09709214,-0.424742211,-4.155559621,1.576015271,0.705451299,-0.602437294,1.481911533,-1.175638973
-1.958928283,-0.833610212,0.133204141,-1.355856036,0.602226302,-2.094028607,2.6026962,1.563666595,0.425156412,1.475487225,0.080761351
-2.722596237,-1.376041122,-0.543500311,-2.537383865,-0.046302873,-3.385356676,1.954549327,0.957788096,-0.28900644,1.472653282,-0.676955847
-3.353436109,-1.839305022,-1.725200821,-3.600907603,-1.039070217,-5.217235042,0.964511122,0.262897956,-0.943402619,1.454274209,-1.325524836
-2.480856695,-0.965921746,-0.608724446,-1.84999663,-0.020355405,-3.28764124,1.983100607,1.144370102,-0.090274724,1.462549843,-0.311226142
-2.364613267,-0.915332498,-0.238651387,-2.292608618,-0.167157838,-3.58549465,1.833173758,1.076695878,-0.289939993,1.905670826,-0.930132514
-3.336406272,-2.127851162,-1.802575523,-4.498826846,-1.490825726,-6.291748916,0.510029459,-0.006633589,-0.75844422,1.551444525,-1.255915092
-2.988440032,-1.78970466,-1.225287085,-3.648912878,-1.008329592,-5.281610888,0.992183503,0.424623485,-0.578797792,1.547853496,-0.88367145
-3.321459554,-2.156247348,-1.542699008,-4.437363798,-1.323892486,-5.929985948,0.676856401,0.036502021,-0.737389067,1.542799533,-1.27699169
-3.306581141,-1.908139196,-1.574557081,-3.905937816,-1.34582128,-5.968331844,0.654691922,0.297809014,-0.788548339,1.541216454,-1.008653199
-3.024124289,-1.798004022,-1.201914824,-3.797718096,-0.993416919,-5.265193134,1.007477225,0.351975099,-0.799482764,1.552960758,-1.013808535
-3.12712055,-1.761243293,-1.466922264,-3.61350763,-1.170876969,-5.656813209,0.830310059,0.429363776,-0.729641794,1.614541298,-1.159076031
-2.268964453,-1.221276814,-0.282782094,-2.608428349,-0.103931145,-3.482005846,1.896292282,0.941536042,0.009378623,1.744154903,-0.019374483
-2.960756707,-1.891963501,-0.931705294,-3.826368707,-0.748797286,-4.782086064,1.251686163,0.348216955,-0.669600625,1.742780694,-0.476912113
-3.167142233,-1.871207887,-1.409745306,-3.874172596,-1.087322633,-5.478578947,0.913494759,0.320523831,-0.845925467,1.52796806,-1.146901522
-2.785936049,-1.530179393,-0.752786841,-3.260550877,-0.658907656,-4.547491634,1.34208132,0.614592767,-0.482133128,1.921572359,-0.94158862
-2.571864656,-1.558923276,-0.663724891,-3.245688853,-0.494718679,-4.237049921,1.505832145,0.618622695,-0.262320407,1.880803539,-0.482563015
-2.771901558,-1.647803862,-0.950936515,-2.866069654,-0.623140325,-4.474240093,1.380882719,0.770914465,-0.470133857,1.45868742,-1.023078395
-2.355338901,-1.454547072,-0.624459609,-2.369788397,-0.194443129,-3.441329667,1.809181115,1.002536981,0.052446765,1.403505297,-0.647570071
-2.931434651,-1.800230237,-0.981151893,-3.366643571,-0.716494328,-4.73476538,1.284819738,0.532500826,-0.68010841,1.463069459,-1.261625484
-2.565133189,-1.332299447,-0.487779013,-2.664943837,-0.259621349,-3.835529775,1.74057471,0.925023429,-0.170023411,1.477773436,-0.714103652
-3.156191486,-1.539037659,-1.31489934,-3.250103243,-1.080211146,-5.417507216,0.921680081,0.597908226,-0.819435918,1.483196685,-0.997285313
-2.662568054,-1.498654137,-0.868936132,-2.902419574,-0.508167967,-4.314026699,1.493012172,0.798163539,-0.18110247,1.649680279,-0.789186636
-3.127389455,-2.047173041,-1.299527839,-3.770108137,-0.937728316,-5.147075467,1.063467912,0.368578841,-0.758217415,1.655680312,-1.10199539
-3.341186654,-2.248790977,-1.684462496,-4.959808501,-1.802895034,-6.532698052,0.198893651,-0.302612406,-0.585505827,1.515356787,-1.012909089
-1.437185681,-0.23934705,0.465805138,-0.075897,1.023980639,-1.174890291,3.02449133,2.161689599,1.12272834,1.139754525,0.230363944
-2.197247369,-0.737403302,-0.135757751,-1.134171256,0.412617398,-2.351251691,2.413243745,1.623780973,0.304551841,1.129067841,-0.392486634
