log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-3.597115707,-1.393038919,-5.728705792,0.608583811,0.37864947,-0.95081472,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-3.292734624,-0.701158902,-4.443167117,1.299843944,0.469206811,-0.684508707,1.326701154,-0.84636022
-2.944477443,-1.5616507,-0.900001728,-3.27593387,-0.678866511,-4.501960808,1.321978572,0.538260924,-0.736273758,2.029192109,-0.765275552
-2.999730512,-1.601050735,-0.882734423,-3.757759964,-0.80516298,-4.778173478,1.196291845,0.288958942,-0.75722161,1.943803867,-0.855217399
-2.504733556,-1.016406467,-0.348675066,-2.659992186,-0.496548247,-4.029992445,1.503901518,0.785139077,-0.401841544,1.235593834,-0.799693273
-2.807341891,-2.28209058,-1.664509741,-4.158380711,-1.538244282,-6.245477011,0.462437838,0.118992648,-0.312199182,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.883033809,-2.711295157,-0.278549995,-3.721320749,1.722463131,0.828271261,0.032477692,2.313294181,-1.169505501
-1.900355043,-1.172812093,-0.455596708,-2.443686573,-0.331317726,-3.743062204,1.67001901,0.934056648,0.360236392,2.253355318,-0.368852079
-3.402721844,-2.178355013,-1.638198022,-4.344165654,-1.590493577,-6.264257586,0.410454832,-0.002352852,-1.313401551,1.989474446,-0.849356609
-3.611707966,-2.271903875,-1.617915492,-4.360923794,-1.351434979,-5.880422491,0.649998561,-0.007601899,-0.831826759,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.951242618,-1.277300557,-5.728545931,0.72361546,0.19888779,-0.784377315,2.012669095,-1.114053068
-2.436218843,-1.395058312,-0.464879768,-2.377286565,-0.170934995,-3.476876416,1.830373261,0.977174765,0.105549418,2.088402273,-0.077378312
-2.127818022,-1.336072206,-0.606919951,-2.09523256,-0.060139469,-3.266894512,1.941029344,1.156239074,0.391282535,2.387351801,-0.797251491
-2.244308317,-2.09000184,-1.81002399,-4.254777602,-1.509281421,-6.188195088,0.492753071,0.078899575,-0.101005511,1.954720982,-1.339755605
-2.499382192,-1.666108583,-0.689657296,-2.565425104,-0.080220741,-3.286365579,1.920436478,0.898992696,-0.097596528,2.117688217,-0.471972778
-2.077406989,-1.3481225,-0.469965358,-1.994662834,0.159933065,-2.863740799,2.161812729,1.210710063,0.438396881,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.317363735,0.592201466,-1.959657581,2.59329649,1.533977956,0.358160328,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.796692109,-4.120019648,-1.367740481,-5.84813052,0.633801672,0.116444783,-0.768966808,2.006798037,-0.968517099
-3.648522957,-2.326808432,-1.791129558,-4.627288144,-1.293607492,-5.700816469,0.707192616,-0.131083346,-1.187387692,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-4.990871709,-1.508483711,-6.183534749,0.492410088,-0.30250945,-1.071497777,1.949732545,-1.191650014
-3.240868866,-2.500969098,-2.209104044,-4.87627564,-1.573531778,-6.304256875,0.427250063,-0.244351442,-0.767643996,1.968385573,-1.161867283
-2.038568231,-1.459336233,-0.722938648,-2.777550235,-0.458466264,-4.003647008,1.543204989,0.758349184,0.19558725,2.290895729,-0.189687274
-1.29147931,-0.813579024,0.031693943,-1.11536625,0.590225178,-1.955230278,2.590858835,1.646309112,1.113274364,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.280351955,0.141639709,-2.897523674,2.142866616,1.060272565,-0.083053565,2.119784057,-1.067956892
-3.697969864,-2.485341214,-1.884565908,-4.781526707,-1.560586444,-6.305516371,0.439962273,-0.193085205,-1.031497665,1.559118739,-1.31337182
-3.27999242,-1.757397101,-1.750578821,-3.538060755,-1.319992201,-5.814055548,0.680560821,0.420457466,-0.964340379,1.542743896,-0.925650976
-3.36205795,-1.962940025,-1.7257396,-4.376447295,-1.542259444,-6.266393691,0.458140755,0.003668401,-1.093666488,1.557161776,-1.333244135
-3.471979441,-2.034027328,-1.614368383,-4.22659058,-1.410482285,-5.991193258,0.589970455,0.080311891,-1.231824019,1.541569033,-1.198918669
-3.102729483,-1.79411025,-1.203929674,-3.620370665,-0.840614671,-4.883635078,1.160097391,0.391548514,-0.734057902,1.578078247,-0.998389417
-3.465142721,-2.291188143,-1.581216523,-4.576684236,-1.401818718,-5.986194626,0.598620022,-0.092180373,-1.126444738,1.56637976,-1.120899741
-3.176652998,-1.914175155,-1.156438348,-3.555909695,-0.959298889,-5.104726399,1.041129251,0.425168013,-0.900805794,1.576770816,-1.04360968
-3.802084526,-2.246398122,-1.865259693,-4.146316258,-1.492987351,-6.180071406,0.50792728,0.115229539,-1.207888694,1.598443343,-0.879072387
-2.818792414,-1.603448219,-1.008079841,-3.382965377,-0.91573077,-4.983357479,1.086234197,0.499758345,-0.608214574,1.6489948,-0.67541001
-3.772826424,-2.218227137,-1.705979705,-4.565950048,-1.395427496,-5.980491711,0.605492504,-0.093337402,-1.251533505,1.653859725,-1.257455669
-1.544811732,-0.42711444,0.333140234,0.149765122,0.915683377,-0.880489608,2.91640062,2.069697354,0.765270302,1.186404644,0.476794994
-2.470162607,-0.79019451,-0.496577677,-1.043543706,0.20430704,-2.305570711,2.205559601,1.504138812,0.055338257,1.18451082,-0.190625824
-2.823695602,-1.52433719,-0.71499361,-3.087074984,-0.641638281,-4.456884534,1.359055666,0.658608334,-0.488409501,1.619843743,-0.580345867
-1.676147347,-1.421222761,-0.522599022,-2.861054106,-0.620085596,-4.219012255,1.382638517,0.779320753,0.721119451,2.567711278,-0.025076837
