log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-2.651971923,-0.27136414,-4.052234126,1.729009173,1.075378753,-0.246508446,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-1.964751153,0.252124093,-3.041986799,2.25227837,1.392392064,0.133734297,1.326701154,-0.84636022
-2.472349699,-1.5616507,-0.767787177,-2.740553291,-0.081605196,-3.806276162,1.918727108,1.055787215,0.258924562,2.029192109,-0.765275552
-2.940483231,-1.601050735,-0.882734423,-3.032504307,-0.224099678,-4.124515995,1.776246366,0.91086955,-0.159747346,1.943803867,-0.855217399
-2.419457459,-1.00179685,-0.221768326,-1.669260204,0.406474035,-2.771898316,2.406547404,1.567101711,0.390481206,1.235593834,-0.799693273
-2.778891452,-2.28209058,-1.664509741,-3.921675668,-1.203855274,-6.030144582,0.796331431,0.456494435,0.362464835,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.49345462,0.077865037,-3.469296964,2.078017075,1.16276165,0.393797746,2.313294181,-1.169505501
-1.5860579,-1.113813627,-0.214739592,-1.683062844,0.409510972,-2.780016108,2.40971591,1.579977372,1.105749765,2.253355318,-0.368852079
-3.223054175,-2.178355013,-1.638198022,-3.922770204,-1.180855584,-5.967243227,0.819316197,0.457645558,-0.570501954,1.989474446,-0.849356609
-3.297209169,-2.271903875,-1.477046211,-3.670705225,-0.768644122,-5.19957153,1.231708392,0.578354796,-0.335300278,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.617024347,-0.805948113,-5.280462019,1.194341478,0.611121103,-0.323894834,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-1.851412435,0.390335856,-2.875078407,2.390650451,1.49833368,0.630832322,2.088402273,-0.077378312
-1.926056991,-1.244908485,-0.245424423,-1.327987282,0.647016366,-2.342106816,2.647488526,1.763836296,0.995362218,2.387351801,-0.797251491
-2.171911425,-2.09000184,-1.765125769,-3.954086779,-1.015672764,-5.701365084,0.984686329,0.458692899,0.591746457,1.954720982,-1.339755605
-2.499382192,-1.514972481,-0.665142662,-2.068122133,0.405558974,-2.800117697,2.405803219,1.390824007,0.4506536,2.117688217,-0.471972778
-1.973262195,-1.3481225,-0.469965358,-1.685206011,0.597102255,-2.469519756,2.597562047,1.596732041,0.860828534,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.106559539,0.924500276,-1.744880691,2.924811479,1.856907611,0.70161437,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.761579554,-3.902124642,-0.814038653,-5.255559353,1.186215042,0.458423031,-0.144757968,2.006798037,-0.968517099
-3.548428407,-2.326808432,-1.791129558,-4.202629145,-0.839868131,-5.319385536,1.160282043,0.334727249,-0.528694542,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-4.58359993,-1.081565141,-5.830776509,0.918622384,0.141948906,-0.506318047,1.949732545,-1.191650014
-3.100783779,-2.44546649,-2.091196931,-4.352151899,-1.106745908,-5.856700396,0.8935457,0.258904826,-0.201443228,1.968385573,-1.161867283
-1.60416813,-1.101175524,-0.178510336,-1.591951055,0.537040861,-2.439125346,2.537124959,1.584820826,1.019468652,2.290895729,-0.189687274
-1.29147931,-0.813579024,0.031693943,-0.724552393,1.110646838,-1.434517676,3.110891775,2.076769603,1.632466711,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.146419995,0.440385215,-2.724815797,2.440540704,1.322826895,0.255988446,2.119784057,-1.067956892
-3.308976281,-1.623655864,-1.544537969,-2.953249713,-0.568510649,-4.442645429,1.431646311,0.812565973,-0.464424454,1.559118739,-1.31337182
-2.814751846,-1.05283184,-1.189357135,-2.027745606,-0.25076576,-3.854868886,1.749333164,1.307139237,-0.110015943,1.542743896,-0.925650976
-3.198403601,-1.724546415,-1.7257396,-3.075552114,-0.660377562,-4.767815149,1.339849319,0.824926433,-0.404277399,1.557161776,-1.333244135
-3.218540463,-1.795211624,-1.331323551,-2.62854145,-0.417677623,-4.206772262,1.582452236,1.019918061,-0.408196379,1.541569033,-1.198918669
-2.476449146,-1.605547114,-0.935855485,-2.15914768,0.023655062,-3.470987692,2.023852479,1.274407875,0.180090607,1.578078247,-0.998389417
-3.308437236,-1.498681731,-1.415831292,-2.632496768,-0.436639522,-4.181684193,1.563559268,0.972548994,-0.371173782,1.56637976,-1.120899741
-2.700059761,-1.44817827,-0.872212372,-2.277552356,-0.124483466,-3.684190979,1.875573237,1.220365328,-0.039265655,1.576770816,-1.04360968
-3.220384455,-1.483947992,-1.35787872,-2.154798568,-0.314631774,-3.921767822,1.685556657,1.207851504,-0.295090351,1.598443343,-0.879072387
-2.302203374,-1.41268056,-0.806785974,-1.841385276,-0.006593871,-3.482164243,1.993556666,1.402396777,0.332335216,1.6489948,-0.67541001
-3.206941867,-1.925222152,-1.468243456,-2.909019105,-0.504366579,-4.456658202,1.495801233,0.866087836,-0.498643089,1.653859725,-1.257455669
-1.544811732,-0.42711444,0.402304983,0.259098029,1.24163435,-0.785044689,3.241740923,2.3775872,1.201635294,1.186404644,0.476794994
-2.470162607,-0.79019451,-0.496577677,-0.944329546,0.519693527,-2.221830402,2.519911816,1.798170167,0.431358804,1.18451082,-0.190625824
-2.458463525,-0.962582706,-0.71499361,-1.437488224,0.07628841,-3.285052377,2.076444931,1.581292318,0.249210926,1.619843743,-0.580345867
-1.481175246,-0.992044011,-0.257092072,-1.676828151,0.326712234,-2.900359978,2.327209916,1.569577958,1.45976563,2.567711278,-0.025076837
-2.563569804,-1.806526896,-1.034439461,-2.964424088,-0.109730109,-3.784713096,1.890839999,0.928112453,0.307040889,1.878393432,-0.884856017
