log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-2.696968263,-0.371598727,-4.115512373,1.628712519,0.99760428,-0.34789135,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-2.044345693,0.136355146,-3.124690212,2.13667354,1.280527865,0.025430583,1.326701154,-0.84636022
-2.472507888,-1.5616507,-0.767787177,-2.843240065,-0.217315092,-3.957136716,1.783328345,0.945866376,0.088452903,2.029192109,-0.765275552
-2.940483231,-1.601050735,-0.882734423,-3.232408695,-0.348996954,-4.257501399,1.651193303,0.757618432,-0.273499758,1.943803867,-0.855217399
-2.419457459,-1.00179685,-0.221768326,-1.754062225,0.265861975,-2.910150305,2.266616241,1.458243277,0.267386902,1.235593834,-0.799693273
-2.778891452,-2.28209058,-1.664509741,-3.972075837,-1.270431314,-6.067363254,0.729995292,0.38012552,0.276235637,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.519093196,0.021128113,-3.495239644,2.021392098,1.106462779,0.301093628,2.313294181,-1.169505501
-1.5860579,-1.113813627,-0.214739592,-1.792779199,0.281406518,-2.900771736,2.281701007,1.461448863,0.949332541,2.253355318,-0.368852079
-3.402721844,-2.178355013,-1.638198022,-4.045191526,-1.266408626,-6.025508554,0.733765944,0.341623292,-0.753426489,1.989474446,-0.849356609
-3.297209169,-2.271903875,-1.504018105,-3.798693421,-0.897542715,-5.341748054,1.102839672,0.455534548,-0.462066383,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.670897883,-0.887889274,-5.341114066,1.112573913,0.531403787,-0.401105861,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-1.936026226,0.291294886,-2.957104356,2.291791541,1.400022264,0.523537515,2.088402273,-0.077378312
-1.948272389,-1.244908485,-0.245424423,-1.431877197,0.514063376,-2.487049679,2.514714309,1.657472636,0.894464448,2.387351801,-0.797251491
-2.171911425,-2.09000184,-1.765125769,-4.027966117,-1.115175224,-5.789122293,0.88552884,0.365191486,0.499689092,1.954720982,-1.339755605
-2.499382192,-1.565945762,-0.665142662,-2.272050451,0.222858842,-3.05621274,2.223477851,1.233605944,0.305431777,2.117688217,-0.471972778
-1.973262195,-1.3481225,-0.469965358,-1.747911957,0.499109433,-2.559741964,2.499829808,1.514375063,0.780961025,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.131350682,0.87379743,-1.764804636,2.874135332,1.80139606,0.633191078,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.761579554,-3.953287981,-0.894609298,-5.31042579,1.105836519,0.378181242,-0.26740068,2.006798037,-0.968517099
-3.548428407,-2.326808432,-1.791129558,-4.320842291,-0.938014196,-5.40323934,1.062198617,0.22012462,-0.577803025,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-4.679772543,-1.176651767,-5.908174173,0.823820485,0.038789296,-0.635517117,1.949732545,-1.191650014
-3.100783779,-2.461802149,-2.094365613,-4.514502322,-1.229940412,-5.989634778,0.770625185,0.124131965,-0.325225217,1.968385573,-1.161867283
-1.60416813,-1.101175524,-0.178510336,-1.714665749,0.400413987,-2.568889842,2.400898723,1.453988745,0.870925122,2.290895729,-0.189687274
-1.29147931,-0.813579024,0.031693943,-0.769602306,1.035403515,-1.484222275,3.035895279,2.006289792,1.523392072,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.171214994,0.380695189,-2.752373529,2.381001861,1.267308236,0.187113732,2.119784057,-1.067956892
-3.308976281,-1.623655864,-1.544537969,-2.982968421,-0.629995336,-4.45845345,1.370346352,0.733442251,-0.5358033,1.559118739,-1.31337182
-2.814751846,-1.05283184,-1.189357135,-2.056379002,-0.337857984,-3.891865022,1.662403467,1.233712218,-0.248376313,1.542743896,-0.925650976
-3.360505202,-1.724546415,-1.7257396,-3.165559694,-0.763289582,-4.823503175,1.237199462,0.701819368,-0.599459247,1.557161776,-1.333244135
-3.243338061,-1.795211624,-1.331323551,-2.703349852,-0.521945947,-4.256205386,1.47855386,0.901196787,-0.531854761,1.541569033,-1.198918669
-2.738819382,-1.605547114,-0.935855485,-2.313530215,-0.137758859,-3.632636782,1.862978537,1.114482268,-0.039212491,1.578078247,-0.998389417
-3.308437236,-1.498681731,-1.415831292,-2.674162678,-0.527805283,-4.21871855,1.472419247,0.877287764,-0.512772681,1.56637976,-1.120899741
-2.793602679,-1.44817827,-0.872212372,-2.369576917,-0.236807458,-3.748542753,1.763488862,1.097534185,-0.231340423,1.576770816,-1.04360968
-3.220384455,-1.483947992,-1.35787872,-2.213823827,-0.437104256,-3.975735218,1.563314736,1.090527091,-0.412850844,1.598443343,-0.879072387
-2.302203374,-1.50056879,-0.852518103,-2.00038472,-0.207517567,-3.687351289,1.793016033,1.226021317,0.14405986,1.6489948,-0.67541001
-3.206941867,-1.925222152,-1.468243456,-3.085478198,-0.662067356,-4.584408668,1.338192003,0.680657203,-0.679311116,1.653859725,-1.257455669
-1.544811732,-0.42711444,0.402304983,0.250883875,1.19195007,-0.794171054,3.19201509,2.331109015,1.147723686,1.186404644,0.476794994
-2.470162607,-0.79019451,-0.496577677,-0.954645112,0.464422746,-2.232687835,2.46449592,1.749997056,0.364980534,1.18451082,-0.190625824
-2.458463525,-0.962582706,-0.71499361,-1.502036516,-0.04033114,-3.354999535,1.960006628,1.464428079,0.111906371,1.619843743,-0.580345867
-1.481383224,-1.124530128,-0.257092072,-1.908011266,0.108130025,-3.224304245,2.109206645,1.398189381,1.288121242,2.567711278,-0.025076837
-2.563569804,-1.806526896,-1.058090801,-3.140913523,-0.292037746,-4.025014592,1.708889174,0.783777571,0.21629358,1.878393432,-0.884856017
-2.644070044,-1.221543919,-0.801079423,-2.117871137,0.117595303,-3.098317267,2.117912218,1.245658098,0.140451342,1.384459972,-1.000883159
-2.977846198,-1.339541287,-0.883893855,-2.492616613,-0.027180755,-3.348511202,1.973699567,1.053645119,-0.180016518,1.378897739,-1.117702245
-2.318927944,-1.297846971,-0.340200837,-1.50902438,0.500750069,-2.198353046,2.50223334,1.469424791,0.401073275,1.550118719,-0.585881801
-2.405980223,-1.207771438,-0.676299914,-1.606706678,0.495437282,-2.313477541,2.495871647,1.482116269,0.330518057,1.424989117,-0.691934884
-2.890850716,-1.294446779,-0.905790152,-2.500946125,0.018977611,-3.4425645,2.019869659,1.102880546,-0.147521067,1.481911533,-1.175638973
