log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.51488702,-1.845572036,-2.043912472,-4.420460147,-2.129909576,-7.014410286,-0.126092872,-0.256144554,-1.272074553,1.307218344,-1.258082506
-3.132249485,-1.784001203,-0.944393727,-4.049038511,-1.39356393,-5.376546854,0.612390765,-0.105958333,-1.161843557,1.326701154,-0.84636022
-3.228050681,-1.663133662,-0.92706321,-4.18817354,-1.428136966,-5.468455529,0.579396202,-0.175377577,-1.464049394,2.029192109,-0.765275552
-3.417543603,-2.235723656,-1.382340869,-4.711761762,-1.463876307,-5.630712625,0.539433468,-0.385437097,-1.148204261,1.943803867,-0.855217399
-2.555426843,-1.406087846,-0.684676212,-3.663642957,-1.216923769,-5.015653492,0.78448183,0.06550937,-0.987087818,1.235593834,-0.799693273
-2.807341891,-2.28209058,-1.664509741,-4.60302549,-1.895836269,-6.486267799,0.106208555,-0.337119765,-0.575940632,1.957893989,-1.322277435
-2.457725883,-1.873920808,-1.145011323,-3.461798627,-0.955774876,-4.583166786,1.048245503,0.217704985,-0.541338147,2.313294181,-1.169505501
-2.419066535,-1.63862508,-0.879751544,-3.566187095,-1.188325469,-4.916929097,0.815241426,0.139744437,-0.542478033,2.253355318,-0.368852079
-4.130924359,-2.537309347,-2.402157889,-5.37348938,-2.523612792,-7.758212566,-0.518526147,-0.764085225,-2.258512,1.989474446,-0.849356609
-3.611707966,-2.544166799,-1.716611365,-5.247684166,-1.979088883,-6.610644225,0.022928663,-0.689431806,-1.271117969,1.880487338,-1.043665878
-3.01004792,-2.242139738,-1.450012275,-4.945815588,-1.725557413,-6.083199639,0.2769877,-0.541109523,-1.129695947,2.012669095,-1.114053068
-2.644348993,-1.395058312,-0.53125507,-3.165153986,-0.814109868,-4.154240485,1.19051098,0.316510349,-0.587597868,2.088402273,-0.077378312
-2.228798658,-1.347705041,-0.701199534,-2.721529291,-0.733788139,-4.185893931,1.2706329,0.622355987,-0.13127562,2.387351801,-0.797251491
-2.244308317,-2.09000184,-1.926415903,-4.8548426,-2.081202087,-6.880377321,-0.076168287,-0.472631868,-0.351302827,1.954720982,-1.339755605
-2.499382192,-1.666108583,-0.689657296,-3.130954203,-0.75686302,-4.054623819,1.24969551,0.358882836,-0.602819948,2.117688217,-0.471972778
-2.137455601,-1.464818434,-0.751553571,-2.597020712,-0.458489151,-3.587069546,1.549556963,0.68746753,-0.125502865,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.912081191,0.029464901,-2.65183588,2.034369731,1.012995868,-0.20232243,2.161211249,-0.570225129
-3.441429425,-2.216709746,-1.97017147,-4.703849702,-2.097862615,-6.768703071,-0.095254711,-0.437738648,-1.055307661,2.006798037,-0.968517099
-3.785060593,-2.326808432,-1.83657684,-4.978922014,-1.817552349,-6.22743347,0.185231303,-0.547390908,-1.684794299,1.901416294,-1.198348822
-3.901641511,-2.504026272,-2.21665284,-5.330301487,-2.017156587,-6.674754457,-0.012383253,-0.717246993,-1.574214227,1.949732545,-1.191650014
-3.240868866,-2.763682205,-2.248378801,-5.413209897,-2.104756119,-6.864568612,-0.099746266,-0.76017411,-1.199401485,1.968385573,-1.161867283
-2.694641903,-1.972126261,-1.232113142,-4.070331168,-1.375347033,-5.342470678,0.626730364,-0.082410554,-0.768181477,2.290895729,-0.189687274
-1.29147931,-0.813579024,-0.137729316,-1.649689878,-0.284274735,-3.306738523,1.720668809,1.132120072,0.737691466,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.576620115,-0.267234859,-3.219811166,1.735420504,0.678024114,-0.454797901,2.119784057,-1.067956892
-3.697969864,-2.598944208,-1.884565908,-5.262558064,-1.964201512,-6.645665189,0.039427444,-0.662820474,-1.327947985,1.559118739,-1.31337182
-3.568434877,-1.757397101,-1.76932763,-4.223533297,-1.948381124,-6.579443803,0.055715251,-0.178838151,-1.507494057,1.542743896,-0.925650976
-3.36205795,-1.962940025,-1.7257396,-4.694799414,-1.899339692,-6.524460394,0.104549546,-0.398068749,-1.581732774,1.557161776,-1.333244135
-3.471979441,-2.110664474,-1.614368383,-4.949050204,-1.92407591,-6.525078163,0.079266374,-0.535359244,-1.536372377,1.541569033,-1.198918669
-3.102729483,-1.869475499,-1.242481988,-4.423078516,-1.375979633,-5.451183394,0.626560305,-0.2444731,-1.24435885,1.578078247,-0.998389417
-3.465142721,-2.341878635,-1.581216523,-5.012589019,-1.790551065,-6.299434799,0.213699882,-0.547810169,-1.447493528,1.56637976,-1.120899741
-3.176652998,-1.954866067,-1.156438348,-4.098656583,-1.363602648,-5.442390003,0.640224143,-0.086802607,-1.283062361,1.576770816,-1.04360968
-3.802084526,-2.246398122,-1.865259693,-5.005248162,-2.020061908,-6.765428319,-0.017812783,-0.54472608,-1.625918506,1.598443343,-0.879072387
-2.919188885,-1.626009681,-1.188304823,-4.112520186,-1.440617626,-5.571425484,0.563190387,-0.113492073,-0.998034356,1.6489948,-0.67541001
-3.825619747,-2.218227137,-1.816182371,-5.320785725,-1.98493129,-6.659234665,0.017129174,-0.729379721,-1.721786555,1.653859725,-1.257455669
-2.027356317,-0.677109771,-0.011010627,-1.764899893,-0.297582119,-3.236466457,1.705316973,1.079035846,-0.181077246,1.186404644,0.476794994
-2.710644143,-1.145490201,-0.842679515,-3.026725794,-1.096709442,-4.868047344,0.906362424,0.439056585,-0.932778892,1.18451082,-0.190625824
-2.823695602,-1.52433719,-0.71499361,-3.474215851,-0.9946478,-4.686159283,1.008261416,0.235640348,-1.040805357,1.619843743,-0.580345867
-2.357698894,-1.794031645,-1.519912685,-3.782185768,-1.517846577,-5.767510695,0.485977264,0.073494914,-0.18193376,2.567711278,-0.025076837
-3.286356115,-2.234870292,-1.487929882,-5.177655165,-1.869417112,-6.39214894,0.133635224,-0.658812361,-1.374843655,1.878393432,-0.884856017
-3.419542725,-2.081300194,-1.841726097,-4.868044899,-2.028331994,-6.754285703,-0.023934239,-0.487901344,-1.516017265,1.384459972,-1.000883159
