log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-2.755394652,-0.464447063,-4.191316827,1.536001463,0.932128808,-0.422353398,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-2.128820945,0.053589546,-3.192344442,2.054452166,1.186351121,-0.060134942,1.326701154,-0.84636022
-2.570831796,-1.5616507,-0.767787177,-2.949894532,-0.30007714,-4.051469954,1.700250166,0.858863771,-0.056673497,2.029192109,-0.765275552
-2.999730512,-1.601050735,-0.882734423,-3.317413243,-0.439556216,-4.373238786,1.560986401,0.678720538,-0.365708266,1.943803867,-0.855217399
-2.419457459,-1.00179685,-0.221768326,-1.833715882,0.171895613,-2.999535998,2.172314961,1.374313862,0.168563467,1.235593834,-0.799693273
-2.778891452,-2.28209058,-1.664509741,-3.999576505,-1.317356713,-6.098663119,0.682799666,0.335659055,0.189230489,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.546646669,-0.033176611,-3.534000311,1.966969129,1.061369374,0.236878234,2.313294181,-1.169505501
-1.5860579,-1.113813627,-0.214739592,-1.900969695,0.204296478,-2.966636865,2.204465097,1.366997706,0.868526526,2.253355318,-0.368852079
-3.402721844,-2.178355013,-1.638198022,-4.094105402,-1.318801683,-6.058341061,0.681400191,0.281538545,-0.839853921,1.989474446,-0.849356609
-3.297209169,-2.271903875,-1.504018105,-3.940783211,-0.981554793,-5.447997481,1.019042036,0.35693459,-0.574178315,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.714286763,-0.964500023,-5.418835125,1.036084378,0.476911366,-0.474394488,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-1.981833165,0.231415814,-3.00897848,2.231843378,1.340937781,0.473414207,2.088402273,-0.077378312
-1.948272389,-1.244908485,-0.245424423,-1.598728,0.403571068,-2.63597921,2.404285306,1.543865403,0.807681882,2.387351801,-0.797251491
