log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-2.634666379,-0.223981062,-4.014265759,1.776148903,1.106239029,-0.206398292,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-1.935812711,0.293593618,-3.012566987,2.293679478,1.434718231,0.181575602,1.326701154,-0.84636022
-2.472349699,-1.5616507,-0.767787177,-2.714576188,-0.040251637,-3.766274601,1.959960154,1.092159969,0.30863394,2.029192109,-0.765275552
-2.940483231,-1.601050735,-0.882734423,-2.945664352,-0.154111292,-4.025015943,1.846109351,0.977687649,-0.116695279,1.943803867,-0.855217399
-2.419457459,-1.00179685,-0.221768326,-1.621164759,0.457208869,-2.724344603,2.457283126,1.615806145,0.491104862,1.235593834,-0.799693273
-2.778891452,-2.28209058,-1.664509741,-3.887604904,-1.174664423,-6.01341924,0.825486619,0.49716808,0.376028518,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.480125549,0.106242661,-3.452432467,2.106433828,1.189340424,0.439063,2.313294181,-1.169505501
-1.519551478,-1.113813627,-0.214739592,-1.659129329,0.443430847,-2.761175676,2.443545067,1.614575539,1.264276492,2.253355318,-0.368852079
-3.168855409,-2.178355013,-1.638198022,-3.880167509,-1.142443323,-5.940132484,0.857713287,0.502430407,-0.48142159,1.989474446,-0.849356609
-2.909088679,-1.828733745,-1.102850393,-2.920342761,-0.459834752,-4.066804842,1.541163587,0.813582416,-0.208768354,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.589735334,-0.773373616,-5.259479951,1.226746157,0.647745383,-0.298596798,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-1.797260261,0.452340661,-2.799877297,2.452649666,1.550470505,0.67725773,2.088402273,-0.077378312
-1.926056991,-1.244908485,-0.245424423,-1.218294197,0.731521023,-2.21758119,2.731722905,1.840201201,1.077731604,2.387351801,-0.797251491
-2.171911425,-2.09000184,-1.707738031,-3.912183278,-0.958331048,-5.62629683,1.041946984,0.503165909,0.603712873,1.954720982,-1.339755605
-2.499382192,-1.514972481,-0.665142662,-2.027773438,0.458194663,-2.753347983,2.458411987,1.43608208,0.484755676,2.117688217,-0.471972778
-1.973262195,-1.3481225,-0.469965358,-1.663095117,0.627021425,-2.450761915,2.627501986,1.630140926,0.943274186,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.099468814,0.945479617,-1.737705471,2.945668608,1.877195032,0.725308813,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.761579554,-3.88067411,-0.777640186,-5.231031977,1.222410514,0.492047231,-0.125741607,2.006798037,-0.968517099
-3.113168977,-1.528852446,-1.280660741,-3.365797124,-0.68090195,-4.709701291,1.320480711,0.555462567,-0.445539767,1.901416294,-1.198348822
