log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-2.670580441,-0.327391163,-4.092831252,1.672965044,1.040856286,-0.288111069,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-2.002910277,0.192297008,-3.08917171,2.192606014,1.340173667,0.085080758,1.326701154,-0.84636022
-2.472349699,-1.5616507,-0.767787177,-2.797877254,-0.1502903,-3.887452137,1.850190417,1.000514741,0.200658755,2.029192109,-0.765275552
-2.940483231,-1.601050735,-0.882734423,-3.134030733,-0.28508585,-4.193193695,1.715127569,0.836955817,-0.204934805,1.943803867,-0.855217399
-2.419457459,-1.00179685,-0.221768326,-1.700985559,0.348535123,-2.822361437,2.349031496,1.52136979,0.343083411,1.235593834,-0.799693273
-2.778891452,-2.28209058,-1.664509741,-3.944325489,-1.232957468,-6.0445536,0.767152186,0.420835035,0.331409531,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.509747281,0.049043633,-3.483250629,2.049205812,1.131464558,0.353740946,2.313294181,-1.169505501
-1.5860579,-1.113813627,-0.214739592,-1.749568292,0.358857703,-2.821240715,2.359294669,1.516497332,1.027046346,2.253355318,-0.368852079
-3.343605724,-2.178355013,-1.638198022,-3.956743602,-1.212021585,-5.983644175,0.788364425,0.413584328,-0.668337058,1.989474446,-0.849356609
-3.297209169,-2.271903875,-1.504018105,-3.729495436,-0.847557729,-5.304723516,1.152906713,0.520129512,-0.386260681,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.640235153,-0.845363537,-5.310710896,1.154872159,0.574931281,-0.351495097,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-1.904972113,0.342281919,-2.914502747,2.342480443,1.44250107,0.578131972,2.088402273,-0.077378312
-1.948272389,-1.244908485,-0.245424423,-1.377569024,0.593804837,-2.388558434,2.594025751,1.710972184,0.939775537,2.387351801,-0.797251491
-2.171911425,-2.09000184,-1.765125769,-3.994285781,-1.0536971,-5.731015519,0.9468207,0.4117255,0.558792334,1.954720982,-1.339755605
-2.499382192,-1.514972481,-0.665142662,-2.146032018,0.326499556,-2.900719478,2.326788064,1.324688408,0.401622867,2.117688217,-0.471972778
-1.973262195,-1.3481225,-0.469965358,-1.699946621,0.56489326,-2.491962891,2.565550853,1.569016386,0.818809601,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.116313139,0.900904821,-1.753966174,2.901296608,1.832917242,0.67040186,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.761579554,-3.923730377,-0.844314706,-5.271103682,1.155974285,0.42296837,-0.192548599,2.006798037,-0.968517099
-3.548428407,-2.326808432,-1.791129558,-4.259163765,-0.884707097,-5.356623715,1.11543694,0.280190033,-0.550745963,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-4.633000647,-1.122435619,-5.862590119,0.87791478,0.09045362,-0.562226325,1.949732545,-1.191650014
-3.100783779,-2.461802149,-2.094365613,-4.438930587,-1.148428179,-5.88674005,0.851912033,0.191068744,-0.261788725,1.968385573,-1.161867283
-1.60416813,-1.101175524,-0.178510336,-1.676379928,0.45007036,-2.540920579,2.450639765,1.508731703,0.961202149,2.290895729,-0.189687274
-1.29147931,-0.813579024,0.031693943,-0.742042351,1.077522155,-1.454498221,3.077813721,2.045505289,1.576049643,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.151780946,0.419368886,-2.732086562,2.419649912,1.305056137,0.218494675,2.119784057,-1.067956892
-3.308976281,-1.623655864,-1.544537969,-2.963252295,-0.591799372,-4.447106666,1.408370766,0.780063154,-0.487316973,1.559118739,-1.31337182
-2.814751846,-1.05283184,-1.189357135,-2.038187249,-0.286159354,-3.866923488,1.714256838,1.277317905,-0.167417567,1.542743896,-0.925650976
-3.198403601,-1.724546415,-1.7257396,-3.106390726,-0.701004855,-4.787501371,1.299334186,0.775695765,-0.500722645,1.557161776,-1.333244135
-3.218540463,-1.795211624,-1.331323551,-2.654754533,-0.456483397,-4.221612823,1.54357886,0.972634236,-0.462852559,1.541569033,-1.198918669
-2.738819382,-1.605547114,-0.935855485,-2.225641575,-0.041913185,-3.529150865,1.958249156,1.202724321,0.056846924,1.578078247,-0.998389417
-3.308437236,-1.498681731,-1.415831292,-2.648134787,-0.47173165,-4.19363341,1.528955359,0.932005078,-0.443229917,1.56637976,-1.120899741
-2.793602679,-1.44817827,-0.872212372,-2.323410691,-0.170180586,-3.708721093,1.829869157,1.161947602,-0.116933406,1.576770816,-1.04360968
-3.220384455,-1.483947992,-1.35787872,-2.181542475,-0.372905914,-3.949721275,1.627457298,1.15507929,-0.353159717,1.598443343,-0.879072387
-2.302203374,-1.485446895,-0.852518103,-1.887741876,-0.094509305,-3.56875996,1.90658683,1.338700236,0.233056578,1.6489948,-0.67541001
