log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.51488702,-1.739900925,-2.043912472,-3.956720529,-1.82422636,-6.661006562,0.179099245,0.110839201,-1.079526498,1.307218344,-1.258082506
-3.132249485,-1.784001203,-0.944393727,-3.795910372,-0.959764262,-4.841431573,1.041312771,0.188297652,-0.893963618,1.326701154,-0.84636022
-3.064467534,-1.5616507,-0.900001728,-3.533965851,-0.899395066,-4.732984966,1.101429122,0.313588875,-0.967111178,2.029192109,-0.765275552
-3.037722129,-1.751275533,-1.086745571,-4.244187671,-1.086093067,-5.175406934,0.916400726,-0.015724112,-0.998694733,1.943803867,-0.855217399
-2.555426843,-1.3287043,-0.684676212,-3.322094278,-0.888018517,-4.711737595,1.113831303,0.415474986,-0.570324047,1.235593834,-0.799693273
-2.807341891,-2.28209058,-1.664509741,-4.272888862,-1.668522203,-6.332939859,0.332474696,-0.023269461,-0.47727662,1.957893989,-1.322277435
-2.457725883,-1.603413203,-0.938311995,-2.874614165,-0.447654101,-3.864238399,1.553604231,0.645555329,-0.173531901,2.313294181,-1.169505501
-1.900355043,-1.512033543,-0.624804195,-2.989398144,-0.728484443,-4.375853165,1.274391099,0.606107342,0.03579292,2.253355318,-0.368852079
-3.52530765,-2.315034046,-1.638198022,-4.638432273,-1.806343717,-6.440488751,0.194009281,-0.252218957,-1.695889266,1.989474446,-0.849356609
-3.611707966,-2.368796889,-1.638935159,-4.65358148,-1.579633327,-6.144025793,0.422067772,-0.251541279,-0.992959138,1.880487338,-1.043665878
-3.01004792,-2.239234808,-1.450012275,-4.271257364,-1.45509841,-5.882324154,0.546468947,-0.055247547,-0.932555922,2.012669095,-1.114053068
-2.605152014,-1.395058312,-0.53125507,-2.820616115,-0.443414953,-3.816820384,1.558291105,0.675241831,-0.21494795,2.088402273,-0.077378312
-2.127818022,-1.347705041,-0.670916912,-2.412995303,-0.329349399,-3.675321703,1.672408063,0.916416149,0.216940069,2.387351801,-0.797251491
-2.244308317,-2.09000184,-1.926415903,-4.469336789,-1.786912955,-6.595779705,0.215391069,-0.118874677,-0.241237185,1.954720982,-1.339755605
-2.499382192,-1.666108583,-0.689657296,-2.77116719,-0.297846476,-3.503323025,1.703057297,0.702236445,-0.300995492,2.117688217,-0.471972778
-2.077406989,-1.3481225,-0.623070453,-2.163865411,-0.020726148,-3.03560981,1.980838959,1.034322311,0.225832348,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.408057033,0.457808622,-2.06007383,2.459154723,1.406509449,0.231037095,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.801052719,-4.245189111,-1.674538848,-6.306027392,0.328583262,-0.045516122,-0.883569512,2.006798037,-0.968517099
-3.785060593,-2.326808432,-1.791129558,-4.72511879,-1.430693882,-5.778623189,0.569878136,-0.268153078,-1.426617783,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-5.120927879,-1.745410598,-6.453308664,0.256223952,-0.456445047,-1.26691908,1.949732545,-1.191650014
-3.240868866,-2.638782666,-2.209104044,-5.107235951,-1.763358706,-6.488182759,0.237640857,-0.447040508,-0.966871878,1.968385573,-1.161867283
-2.099276342,-1.645438096,-0.802796363,-3.272608347,-0.814766076,-4.54730039,1.188830225,0.425121285,-0.100329406,2.290895729,-0.189687274
-1.29147931,-0.813579024,-0.064431333,-1.337083186,0.302104143,-2.344772302,2.303539088,1.444233479,0.978029571,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.387118567,-0.027816622,-3.044230942,1.973792262,0.918274516,-0.222457886,2.119784057,-1.067956892
-3.697969864,-2.589556194,-1.884565908,-4.891437445,-1.684999503,-6.391002764,0.316189201,-0.332207595,-1.101334692,1.559118739,-1.31337182
-3.568434877,-1.757397101,-1.750578821,-3.788883293,-1.502744909,-5.997461776,0.498721399,0.206300394,-1.22408906,1.542743896,-0.925650976
-3.36205795,-1.962940025,-1.7257396,-4.504574492,-1.70395689,-6.400839499,0.296871026,-0.150320452,-1.310959832,1.557161776,-1.333244135
-3.471979441,-2.034027328,-1.614368383,-4.403982393,-1.539828409,-6.080555741,0.46126698,-0.105276842,-1.355082757,1.541569033,-1.198918669
-3.102729483,-1.79411025,-1.242481988,-3.897747067,-1.06383568,-5.158800565,0.937468158,0.162134174,-1.004596269,1.578078247,-0.998389417
-3.465142721,-2.301103662,-1.581216523,-4.704287521,-1.513690674,-6.053606305,0.487581662,-0.243309213,-1.229067458,1.56637976,-1.120899741
-3.176652998,-1.91827514,-1.156438348,-3.736822683,-1.081309846,-5.190704825,0.919543114,0.249838628,-1.047246077,1.576770816,-1.04360968
-3.802084526,-2.246398122,-1.865259693,-4.455844514,-1.700563302,-6.425014524,0.300911025,-0.12995579,-1.434641897,1.598443343,-0.879072387
-2.919188885,-1.603448219,-1.188304823,-3.627359517,-1.140198673,-5.263655569,0.86107876,0.287558936,-0.751845767,1.6489948,-0.67541001
-3.772826424,-2.218227137,-1.705979705,-4.867758079,-1.591372768,-6.180067003,0.409317722,-0.337375432,-1.411862295,1.653859725,-1.257455669
-2.027356317,-0.677109771,-0.011010627,-1.537369284,0.077312012,-2.835273231,2.078568834,1.339709304,0.156380871,1.186404644,0.476794994
-2.710644143,-1.145490201,-0.842679515,-2.831246404,-0.701021758,-4.396850358,1.29969487,0.687838264,-0.584072468,1.18451082,-0.190625824
