log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-3.597115707,0.410054871,-2.317529138,2.411109032,0.37864947,-0.95081472,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-3.292734624,0.232692498,-2.627026025,2.233944607,0.469206811,-0.684508707,1.326701154,0.723899826
-2.944477443,-1.5616507,0.320535766,-3.27593387,0.394257478,-2.345050281,2.394964854,0.538260924,-0.736273758,2.029192109,0.665391192
-2.999730512,-1.601050735,0.057070814,-3.757759964,-0.03316776,-3.16253748,1.967989349,0.288958942,-0.75722161,1.943803867,0.494932516
-2.504733556,-1.016406467,0.759492584,-2.659992186,0.516964825,-1.973529667,2.519880137,0.785139077,-0.401841544,1.235593834,0.848597647
-2.807341891,-2.28209058,-0.457402102,-4.158380711,-0.147816027,-3.461525676,1.853476091,0.118992648,-0.312199182,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.711295157,0.303818863,-2.494622908,2.304747443,0.828271261,0.032477692,2.313294181,0.329325273
-1.900355043,-1.172812093,-0.113766792,-2.443686573,-0.101486594,-3.218992418,1.901090985,0.934056648,0.360236392,2.253355318,0.969909258
-3.402721844,-2.178355013,-0.342211856,-4.344165654,-0.125004073,-3.365122863,1.876038132,-0.002352852,-1.313401551,1.989474446,0.931856973
-3.611707966,-2.271903875,-0.460676149,-4.360923794,-0.260027377,-3.663719832,1.741612841,-0.007601899,-0.831826759,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.335804295,-3.951242618,0.015112118,-3.09871344,2.015656864,0.19888779,-0.784377315,2.012669095,0.653663471
-2.436218843,-1.395058312,0.205636852,-2.377286565,0.314530408,-2.501782871,2.315577794,0.977174765,0.105549418,2.088402273,1.066919694
-2.127818022,-1.336072206,-0.185302157,-2.09523256,0.329540418,-2.482257584,2.331287303,1.156239074,0.391282535,2.387351801,0.324616065
-2.244308317,-2.09000184,-0.315121053,-4.254777602,-0.291670889,-3.752564943,1.709503964,0.078899575,-0.101005511,1.954720982,0.318328009
-2.499382192,-1.666108583,-0.024262214,-2.565425104,0.386974606,-2.357220512,2.387453324,0.898992696,-0.097596528,2.117688217,0.924783769
