log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-2.651971923,0.899987788,-1.802447589,2.900122948,1.075378753,-0.246508446,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-1.964751153,1.023418218,-1.542659437,3.023680383,1.392392064,0.133734297,1.326701154,0.723899826
-2.472349699,-1.5616507,0.320535766,-2.740553291,0.761880094,-2.094512135,2.762016722,1.055787215,0.258924562,2.029192109,0.665391192
-2.940483231,-1.601050735,0.057070814,-3.032504307,0.56608915,-2.50855813,2.56656853,0.91086955,-0.159747346,1.943803867,0.494932516
-2.419457459,-1.00179685,0.759492584,-1.669260204,1.214423294,-1.154288649,3.214637286,1.567101711,0.390481206,1.235593834,0.848597647
-2.778891452,-2.28209058,-0.457402102,-3.921675668,0.235860375,-3.168723709,2.236076533,0.456494435,0.362464835,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.49345462,0.603668995,-2.317960947,2.603884171,1.16276165,0.393797746,2.313294181,0.329325273
-1.5860579,-1.113813627,0.149975629,-1.683062844,0.769380753,-2.040064441,2.769599898,1.579977372,1.105749765,2.253355318,0.969909258
-3.223054175,-2.178355013,-0.342211856,-3.922770204,0.346904181,-2.943687672,2.347219809,0.457645558,-0.570501954,1.989474446,0.931856973
-3.297209169,-2.271903875,-0.449860082,-3.670705225,0.306924338,-3.022659213,2.307204591,0.578354796,-0.335300278,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.617024347,0.432136103,-2.764971808,2.432361103,0.611121103,-0.323894834,2.012669095,0.653663471
-2.361121063,-1.395058312,0.226241079,-1.851412435,0.834232392,-1.980521706,2.834631027,1.49833368,0.630832322,2.088402273,1.066919694
-1.926056991,-1.244908485,0.044350321,-1.327987282,0.827428369,-2.00043407,2.827803949,1.763836296,0.995362218,2.387351801,0.324616065
-2.171911425,-2.09000184,-0.315121053,-3.954086779,0.125324353,-3.401057089,2.125566586,0.458692899,0.591746457,1.954720982,0.318328009
-2.499382192,-1.514972481,0.093420488,-2.068122133,0.879806699,-1.890503143,2.879958309,1.390824007,0.4506536,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.177594685,-1.685206011,0.712363931,-2.228319505,2.712559814,1.596732041,0.860828534,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.106559539,1.179087615,-1.267773583,3.179325884,1.856907611,0.70161437,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-3.902124642,0.277550615,-3.043024441,2.277794223,0.458423031,-0.144757968,2.006798037,0.554009673
-3.548428407,-2.326808432,-0.295283829,-4.202629145,0.327544135,-2.995280521,2.327899579,0.334727249,-0.528694542,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.58359993,0.082047812,-3.492818672,2.082406589,0.141948906,-0.506318047,1.949732545,0.556770845
