log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-2.696968263,0.843225505,-1.8280758,2.843524211,0.99760428,-0.34789135,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-2.044345693,0.910583952,-1.637535709,2.911022593,1.280527865,0.025430583,1.326701154,0.723899826
-2.472507888,-1.5616507,0.320535766,-2.843240065,0.686197438,-2.140212246,2.686382039,0.945866376,0.088452903,2.029192109,0.665391192
-2.940483231,-1.601050735,0.057070814,-3.232408695,0.426501822,-2.670357543,2.426909021,0.757618432,-0.273499758,1.943803867,0.494932516
-2.419457459,-1.00179685,0.759492584,-1.754062225,1.125793826,-1.209699479,3.126001823,1.458243277,0.267386902,1.235593834,0.848597647
-2.778891452,-2.28209058,-0.457402102,-3.972075837,0.156149014,-3.223161332,2.156388425,0.38012552,0.276235637,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.519093196,0.555516077,-2.334717466,2.555735746,1.106462779,0.301093628,2.313294181,0.329325273
-1.5860579,-1.113813627,0.149975629,-1.792779199,0.64237638,-2.158231631,2.64293812,1.461448863,0.949332541,2.253355318,0.969909258
-3.402721844,-2.178355013,-0.342211856,-4.045191526,0.233938973,-3.05425686,2.234321417,0.341623292,-0.753426489,1.989474446,0.931856973
-3.297209169,-2.271903875,-0.449860082,-3.798693421,0.18962074,-3.1380645,2.189739204,0.455534548,-0.462066383,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.670897883,0.35507121,-2.814154442,2.355339094,0.531403787,-0.401105861,2.012669095,0.653663471
-2.361121063,-1.395058312,0.226241079,-1.936026226,0.731173855,-2.070880076,2.731591492,1.400022264,0.523537515,2.088402273,1.066919694
-1.948272389,-1.244908485,0.044350321,-1.431877197,0.735527017,-2.074518053,2.735919946,1.657472636,0.894464448,2.387351801,0.324616065
-2.171911425,-2.09000184,-0.315121053,-4.027966117,0.033872092,-3.472112942,2.034201247,0.365191486,0.499689092,1.954720982,0.318328009
-2.499382192,-1.565945762,0.093420488,-2.272050451,0.772733689,-1.990006104,2.773002575,1.233605944,0.305431777,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.177594685,-1.747911957,0.632807822,-2.288250711,2.633179391,1.514375063,0.780961025,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.131350682,1.125186978,-1.292606797,3.125554674,1.80139606,0.633191078,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-3.953287981,0.188191259,-3.103952813,2.188322152,0.378181242,-0.26740068,2.006798037,0.554009673
-3.548428407,-2.326808432,-0.295283829,-4.320842291,0.208615315,-3.119922508,2.209038744,0.22012462,-0.577803025,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.679772543,-0.019518029,-3.588828823,1.980807575,0.038789296,-0.635517117,1.949732545,0.556770845
-3.100783779,-2.461802149,-0.621448695,-4.514502322,0.021043808,-3.517844671,2.021402462,0.124131965,-0.325225217,1.968385573,0.664527078
-1.60416813,-1.101175524,0.133215997,-1.714665749,0.545387882,-2.299713866,2.54583204,1.453988745,0.870925122,2.290895729,0.899775015
-1.29147931,-0.813579024,0.109587313,-0.769602306,1.099314107,-1.357647444,3.099737862,2.006289792,1.523392072,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.171214994,0.576773165,-2.303481108,2.577079929,1.267308236,0.187113732,2.119784057,0.391612276
-3.308976281,-1.623655864,0.244095975,-2.982968421,0.499552283,-2.291473467,2.499853804,0.733442251,-0.5358033,1.559118739,0.399317383
-2.814751846,-1.05283184,0.909907333,-2.056379002,0.98728121,-1.347983304,2.987406522,1.233712218,-0.248376313,1.542743896,0.723250167
-3.360505202,-1.724546415,0.296791045,-3.165559694,0.557118704,-2.292563453,2.557375071,0.701819368,-0.599459247,1.557161776,0.447321575
-3.243338061,-1.795211624,0.162998838,-2.703349852,0.644100298,-2.112684743,2.644588568,0.901196787,-0.531854761,1.541569033,0.440039164
-2.738819382,-1.605547114,0.21454721,-2.313530215,0.740064873,-1.94218609,2.740736234,1.114482268,-0.039212491,1.578078247,0.565906204
-3.308437236,-1.498681731,0.377540005,-2.674162678,0.624073336,-2.041141177,2.62442724,0.877287764,-0.512772681,1.56637976,0.61226822
-2.793602679,-1.44817827,0.438904208,-2.369576917,0.861240233,-1.677675822,2.861625875,1.097534185,-0.231340423,1.576770816,0.71926314
-3.220384455,-1.483947992,0.445029722,-2.213823827,0.806458799,-1.65510478,2.806883146,1.090527091,-0.412850844,1.598443343,0.801938693
-2.302203374,-1.50056879,0.496882453,-2.00038472,0.991007074,-1.383724995,2.991323701,1.226021317,0.14405986,1.6489948,0.966541666
-3.206941867,-1.925222152,-0.01158487,-3.085478198,0.438994611,-2.513475865,2.439849061,0.680657203,-0.679311116,1.653859725,0.362845783
-1.544811732,-0.42711444,1.357588339,0.250883875,1.934222387,0.535928804,3.93428788,2.331109015,1.147723686,1.186404644,1.957002158
-2.470162607,-0.79019451,1.079054791,-0.954645112,1.471846082,-0.358141564,3.472024138,1.749997056,0.364980534,1.18451082,1.463635398
-2.458463525,-0.962582706,1.003748109,-1.502036516,1.292573857,-0.651517081,3.292814362,1.464428079,0.111906371,1.619843743,1.261020931
-1.481383224,-1.124530128,-0.122061792,-1.908011266,0.283206759,-2.87202311,2.284140842,1.398189381,1.288121242,2.567711278,0.596361087
-2.563569804,-1.806526896,0.077578011,-3.140913523,0.349068934,-2.825077191,2.349222784,0.783777571,0.21629358,1.878393432,0.348754755
-2.644070044,-1.221543919,0.567128052,-2.117871137,0.90030305,-1.646744443,2.90064912,1.245658098,0.140451342,1.384459972,0.582683685
-2.977846198,-1.339541287,0.541398191,-2.492616613,0.783663642,-1.875287511,2.783904349,1.053645119,-0.180016518,1.378897739,0.513105277
-2.318927944,-1.297846971,0.018916283,-1.50902438,0.777868646,-1.757261802,2.778701157,1.469424791,0.401073275,1.550118719,0.718887369
-2.405980223,-1.207771438,0.780012174,-1.606706678,1.021196636,-1.4188051,3.021566274,1.482116269,0.330518057,1.424989117,0.880593302
-2.890850716,-1.294446779,0.658592598,-2.500946125,0.725924092,-2.067075205,2.726269347,1.102880546,-0.147521067,1.481911533,0.241454089
-1.635507125,-0.621210583,0.858032538,-0.143133281,1.506939713,-0.406922005,3.507210987,2.206205547,1.12507205,1.475487225,1.262515335
-2.5707887,-1.291983108,0.398639785,-1.613924399,0.908297924,-1.636043429,2.908657019,1.490642129,0.29544828,1.472653282,0.663775371
-3.191477593,-1.740550031,0.07216654,-2.961052655,0.484306833,-2.409885131,2.484570577,0.786251896,-0.553724976,1.454274209,0.367388579
-2.119501672,-0.868964088,1.052923975,-1.210932208,1.347083961,-0.666335516,3.34743352,1.662065687,0.439611103,1.462549843,1.330007438
-2.364613267,-0.915332498,0.752293775,-2.143592132,0.873389226,-1.734522129,2.873753724,1.2846855,0.045872613,1.905670826,0.660125845
-3.336406272,-1.908312828,0.065613173,-3.293218184,0.377755992,-2.493691767,2.378040547,0.581114504,-0.524649656,1.551444525,0.584679122
-2.83962056,-1.519365412,0.258273779,-2.289254136,0.825178555,-1.581394751,2.825452555,1.073526837,-0.08866313,1.547853496,0.909779113
-3.253537643,-1.875271372,0.018013361,-3.195120952,0.463036218,-2.435272401,2.46323251,0.648361885,-0.38484006,1.542799533,0.498591261
-2.967206761,-1.613097337,0.245822189,-2.483313083,0.782081095,-1.68958337,2.782770172,0.980050413,-0.371316304,1.541216454,0.85718482
-2.805576425,-1.5464889,0.328876544,-2.379023799,0.834746259,-1.604466962,2.835029899,1.045115278,-0.247091265,1.552960758,0.815429053
-3.110539162,-1.761243293,0.354895043,-2.913239463,0.61401304,-2.199279038,2.614414954,0.833521137,-0.37104067,1.614541298,0.546997307
-2.268964453,-1.221276814,0.346260071,-2.279385609,0.813075725,-1.914678069,2.813840257,1.233319582,0.382587955,1.744154903,1.633652586
-2.960756707,-1.891963501,-0.069123299,-3.466470497,0.367173365,-2.80186856,2.368135448,0.648091679,-0.44671499,1.742780694,1.225873268
-2.565490427,-1.553382822,0.299044226,-2.611645512,0.789335393,-1.795866396,2.790121394,0.960131766,-0.235942506,1.52796806,0.666392629
-2.558248614,-1.530179393,-0.03656335,-2.869404278,0.4733622,-2.581043676,2.473630546,0.932253684,-0.135515382,1.921572359,0.640869978
-2.518105535,-1.558923276,-0.076170473,-2.934019433,0.43302838,-2.67764691,2.433706217,0.907594059,0.111708014,1.880803539,0.904161516
-2.525523417,-1.454933211,0.44584507,-2.323919571,0.911473263,-1.675141713,2.911885845,1.173280621,0.032184448,1.45868742,0.611325014
-2.317225299,-1.329393115,0.337815226,-1.597892863,1.003005118,-1.445494515,3.003448789,1.513957045,0.580462576,1.403505297,0.711507314
-2.646365894,-1.690356181,0.023805066,-2.644827807,0.652185227,-2.179193576,2.652667202,1.00854344,-0.135982609,1.463069459,0.352579288
-2.243733443,-1.231475926,0.341998739,-1.736090633,1.073461028,-1.338163461,3.074031127,1.447169625,0.368473264,1.477773436,0.70255522
-2.892318026,-1.539037659,0.369967921,-2.144928437,0.935734692,-1.563137115,2.936132251,1.223493439,-0.158207219,1.483196685,0.646317703
-2.225900636,-1.35307156,0.575134984,-2.026750827,0.934071251,-1.542868134,2.934385439,1.274268497,0.418056068,1.649680279,0.833526604
-3.098598499,-1.792509716,0.057512991,-2.733899632,0.591889702,-2.09810412,2.592548503,0.867381645,-0.323750298,1.655680312,0.576108562
-2.958468811,-1.964350466,-0.203659482,-3.766771226,0.175058305,-3.028952251,2.175399102,0.388769472,-0.265607163,1.515356787,0.643916739
-1.09557819,-0.23934705,1.644050424,0.184177549,1.984063494,0.492168351,3.984144028,2.440756557,1.487093815,1.139754525,1.810532611
-1.946354236,-0.737403302,1.073775504,-0.921216727,1.471879358,-0.549033108,3.472115807,1.876368285,0.654106043,1.129067841,1.204087812
-2.390416127,-0.95462583,0.66235754,-1.392741669,1.316105742,-0.850433793,3.316194516,1.649385721,0.373982567,1.543651272,1.02283119
-3.283981035,-1.727491279,0.031918728,-3.531169488,0.319521055,-2.782309204,2.32034444,0.542301638,-0.697224091,2.042133786,0.350673084
-2.71574387,-1.566041491,-0.139746423,-2.827719018,0.421568609,-2.681430004,2.421689268,0.961301387,0.011721164,1.828542451,0.787794928
-1.699585567,-0.953755692,0.413497347,-1.719483728,0.920262932,-1.586965183,2.920779075,1.46911513,0.759619549,1.446670092,0.733801838
-2.29701169,-1.244958745,0.228493296,-2.404284745,0.592955231,-2.338560283,2.593848608,1.156127725,0.168435363,1.673462931,0.753983357
-2.233574497,-1.354690189,0.076872814,-2.30164412,0.561913085,-2.338424393,2.56234401,1.166277021,0.205176083,1.522148582,0.334629393
-3.079427378,-1.739531847,-0.012960935,-3.31024257,0.416229439,-2.679562503,2.41635936,0.708242797,-0.493737978,1.949727994,0.756576299
-3.181718454,-2.167817589,-0.383266169,-3.825299709,0.153742086,-3.219389804,2.154037167,0.452137816,-0.504387242,1.937151559,0.349090236
-2.718019919,-1.432268535,0.244810427,-2.502191452,0.620924864,-2.139098946,2.621135866,1.02760264,-0.28870945,1.436159412,0.717514533
-1.461240556,-1.179430925,-0.237579974,-1.923169903,0.12681651,-3.030252537,2.127256991,1.341812701,1.255856669,2.503770265,0.753317201
-3.108030938,-1.680244923,0.097455363,-2.916543933,0.504208312,-2.355234108,2.504614032,0.803771528,-0.458487836,1.367383122,0.447562611
-1.681222583,-0.622419751,1.025262797,-0.621192043,1.518098291,-0.390573479,3.518309588,1.977009511,0.95859575,1.457662143,1.31938302
-3.107987088,-1.619057309,0.00288766,-2.937241876,0.396134894,-2.597069593,2.396539946,0.771208016,-0.472387334,1.48684408,0.331788355
