log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-2.670580441,0.877090039,-1.811190448,2.877268402,1.040856286,-0.288111069,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-2.002910277,0.969188107,-1.589354396,2.969402178,1.340173667,0.085080758,1.326701154,0.723899826
-2.472349699,-1.5616507,0.320535766,-2.797877254,0.726108831,-2.116719197,2.726310359,1.000514741,0.200658755,2.029192109,0.665391192
-2.940483231,-1.601050735,0.057070814,-3.134030733,0.500859089,-2.586073352,2.501148204,0.836955817,-0.204934805,1.943803867,0.494932516
-2.419457459,-1.00179685,0.759492584,-1.700985559,1.174533144,-1.178027317,3.174766002,1.52136979,0.343083411,1.235593834,0.848597647
-2.778891452,-2.28209058,-0.457402102,-3.944325489,0.197372646,-3.195503423,2.197660551,0.420835035,0.331409531,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.509747281,0.58090919,-2.325470836,2.581073201,1.131464558,0.353740946,2.313294181,0.329325273
-1.5860579,-1.113813627,0.149975629,-1.749568292,0.71518736,-2.089201045,2.715321045,1.516497332,1.027046346,2.253355318,0.969909258
-3.343605724,-2.178355013,-0.342211856,-3.956743602,0.298077977,-2.987006062,2.298165562,0.413584328,-0.668337058,1.989474446,0.931856973
-3.297209169,-2.271903875,-0.449860082,-3.729495436,0.252939204,-3.072345422,2.253092725,0.520129512,-0.386260681,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.640235153,0.396117303,-2.787866118,2.396211145,0.574931281,-0.351495097,2.012669095,0.653663471
-2.361121063,-1.395058312,0.226241079,-1.904972113,0.787430871,-2.020886043,2.787791125,1.44250107,0.578131972,2.088402273,1.066919694
-1.948272389,-1.244908485,0.044350321,-1.377569024,0.785988436,-2.032601257,2.786104615,1.710972184,0.939775537,2.387351801,0.324616065
-2.171911425,-2.09000184,-0.315121053,-3.994285781,0.075370625,-3.445145305,2.075685474,0.4117255,0.558792334,1.954720982,0.318328009
-2.499382192,-1.514972481,0.093420488,-2.146032018,0.83317519,-1.931500853,2.833365182,1.324688408,0.401622867,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.177594685,-1.699946621,0.688322555,-2.240538232,2.688576662,1.569016386,0.818809601,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.116313139,1.15409801,-1.278789183,3.154501432,1.832917242,0.67040186,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-3.923730377,0.237227339,-3.068930596,2.237544066,0.42296837,-0.192548599,2.006798037,0.554009673
-3.548428407,-2.326808432,-0.295283829,-4.259163765,0.26865469,-3.062427874,2.268844625,0.280190033,-0.550745963,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.633000647,0.02827186,-3.546058904,2.028632388,0.09045362,-0.562226325,1.949732545,0.556770845
-3.100783779,-2.461802149,-0.621448695,-4.438930587,0.090026263,-3.43909706,2.090167665,0.191068744,-0.261788725,1.968385573,0.664527078
-1.60416813,-1.101175524,0.133215997,-1.676379928,0.626849528,-2.217581316,2.627192719,1.508731703,0.961202149,2.290895729,0.899775015
-1.29147931,-0.813579024,0.109587313,-0.742042351,1.134053651,-1.335639484,3.134353711,2.045505289,1.576049643,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.151780946,0.608766982,-2.290163648,2.609032386,1.305056137,0.218494675,2.119784057,0.391612276
-3.308976281,-1.623655864,0.244095975,-2.963252295,0.543622297,-2.271973974,2.543839748,0.780063154,-0.487316973,1.559118739,0.399317383
-2.814751846,-1.05283184,0.909907333,-2.038187249,1.030794311,-1.329743241,3.031049588,1.277317905,-0.167417567,1.542743896,0.723250167
-3.198403601,-1.724546415,0.296791045,-3.106390726,0.62472489,-2.238581008,2.624916175,0.775695765,-0.500722645,1.557161776,0.447321575
-3.218540463,-1.795211624,0.162998838,-2.654754533,0.728470786,-2.028754823,2.729259573,0.972634236,-0.462852559,1.541569033,0.440039164
