log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-2.844508384,0.724236606,-1.916883668,2.724852153,0.838440368,-0.53074304,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-2.203625735,0.733536179,-1.792921624,2.734201749,1.082595904,-0.153754316,1.326701154,0.723899826
-2.570831796,-1.5616507,0.320535766,-3.005266421,0.580698641,-2.204987057,2.581165079,0.792746021,-0.210285878,2.029192109,0.665391192
-2.999730512,-1.601050735,0.057070814,-3.441217437,0.260337275,-2.83823593,2.260654049,0.572056135,-0.452121561,1.943803867,0.494932516
-2.419457459,-1.00179685,0.759492584,-1.920278836,0.966861748,-1.338429655,2.967277483,1.277869296,-0.003380983,1.235593834,0.848597647
-2.778891452,-2.28209058,-0.457402102,-4.030961021,0.046038106,-3.298734375,2.046442024,0.28376907,0.066281201,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.581826723,0.481428606,-2.366576805,2.481705542,1.004844359,0.189611204,2.313294181,0.329325273
-1.807526937,-1.113813627,0.104694458,-2.119254345,0.386006772,-2.499877494,2.386879812,1.22823911,0.601396199,2.253355318,0.969909258
-3.402721844,-2.178355013,-0.342211856,-4.137646787,0.113334472,-3.145560375,2.113824737,0.219299198,-0.939286255,1.989474446,0.931856973
-3.297209169,-2.271903875,-0.460676149,-4.053949642,-0.001128857,-3.377734394,1.999147275,0.256587252,-0.66551068,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.772057365,0.238182372,-2.901498839,2.238533785,0.407273333,-0.54495483,2.012669095,0.653663471
-2.361121063,-1.395058312,0.205636852,-2.035810807,0.58109225,-2.213548459,2.581387286,1.269960246,0.417444503,2.088402273,1.066919694
-1.948272389,-1.244908485,0.044350321,-1.690510258,0.589246874,-2.212781988,2.589627287,1.457817295,0.726535785,2.387351801,0.324616065
-2.179667444,-2.09000184,-0.315121053,-4.092747009,-0.076963988,-3.553778795,1.923431683,0.268267617,0.279173217,1.954720982,0.318328009
-2.499382192,-1.568106856,-0.001711869,-2.416225704,0.606255107,-2.168885797,2.606679526,1.085128561,0.176349906,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.177594685,-1.832304302,0.51455581,-2.377166851,2.514972004,1.401994489,0.673073389,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.181221343,1.036113266,-1.346837322,3.036528379,1.715615276,0.534399733,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-4.011355265,0.091330369,-3.156672159,2.091533879,0.279288271,-0.486521011,2.006798037,0.554009673
-3.548428407,-2.326808432,-0.295283829,-4.458563883,0.048040849,-3.280107845,2.048333783,0.073423269,-0.780121971,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.837463073,-0.173463624,-3.73924019,1.827073744,-0.115778832,-0.820973773,1.949732545,0.556770845
-3.240868866,-2.461802149,-0.628657092,-4.661589141,-0.134777626,-3.686185659,1.865629744,-0.023412262,-0.478139545,1.968385573,0.664527078
-1.983085896,-1.211360248,-0.054218269,-2.119134213,0.247102607,-2.71928323,2.247772233,1.175045321,0.480652759,2.290895729,0.899775015
-1.29147931,-0.813579024,0.109587313,-0.878531391,0.95667447,-1.479124639,2.956959311,1.877317216,1.328809512,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.20155623,0.510107998,-2.328923194,2.510450894,1.198378895,0.054799907,2.119784057,0.391612276
-3.308976281,-1.623655864,0.244095975,-3.227946142,0.235849893,-2.531309112,2.238244688,0.453644352,-0.754750516,1.559118739,0.399317383
-2.846090494,-1.05283184,0.909907333,-2.485397462,0.699309951,-1.680635297,2.702417506,0.895438089,-0.551450106,1.542743896,0.723250167
-3.360505202,-1.724546415,0.296791045,-3.429418166,0.319053475,-2.552418283,2.320910614,0.446506813,-0.760544953,1.557161776,0.447321575
-3.446005813,-1.818250683,0.162998838,-3.075573136,0.357449148,-2.485418981,2.358775655,0.579447352,-0.803345564,1.541569033,0.440039164
-3.022710931,-1.79411025,0.21454721,-3.153796409,0.406627504,-2.562237131,2.407370326,0.700328222,-0.361437014,1.578078247,0.565906204
-3.362266714,-1.498681731,0.377540005,-2.913628613,0.348798733,-2.300131929,2.350642488,0.592831372,-0.715575756,1.56637976,0.61226822
-2.793602679,-1.44817827,0.438904208,-2.714646851,0.597795207,-1.978331638,2.598283507,0.810814626,-0.50363197,1.576770816,0.71926314
-3.220384455,-1.572329379,0.336933585,-2.750016878,0.37439085,-2.285099054,2.375314926,0.637820005,-0.749020023,1.598443343,0.801938693
-2.794995529,-1.603448219,0.395439582,-3.056507312,0.659554651,-2.050858049,2.660041128,0.777353643,-0.145928451,1.6489948,0.966541666
-3.759338364,-2.194833674,-0.075747852,-4.205809389,0.109542563,-3.133674361,2.110275133,0.197943528,-1.049027995,1.653859725,0.362845783
-1.544811732,-0.42711444,1.357588339,0.23928294,1.877377098,0.522587375,3.877570885,2.269830292,1.064158306,1.186404644,1.957002158
-2.470162607,-0.79019451,1.079054791,-0.972901712,1.3950655,-0.380321255,3.395342535,1.676489331,0.280605393,1.18451082,1.463635398
-2.555186051,-1.512640923,0.526635588,-2.610978229,0.740749662,-1.877456442,2.744224635,0.92210028,-0.190728518,1.619843743,1.261020931
-1.482433885,-1.195266603,-0.336865623,-2.129449839,-0.038981471,-3.374883031,1.962295087,1.205573689,1.077543893,2.567711278,0.596361087
-2.631884078,-1.806526896,0.077578011,-3.455179341,0.186374419,-2.980867135,2.18684841,0.552034543,0.022535382,1.878393432,0.348754755
-2.847094351,-1.221543919,0.567128052,-2.389658447,0.740535906,-1.777888475,2.74141621,0.988977289,-0.172226092,1.384459972,0.582683685
-2.977846198,-1.339541287,0.541398191,-2.793178637,0.650346765,-1.963858539,2.650582763,0.797006436,-0.494260556,1.378897739,0.513105277
-2.606968021,-1.580105735,0.018916283,-2.78071482,0.310294524,-2.777995507,2.311246437,0.905078596,-0.006267161,1.550118719,0.718887369
-2.691125835,-1.207771438,0.780012174,-1.86879589,0.858557156,-1.555989448,2.859133836,1.215821562,0.037219626,1.424989117,0.880593302
-2.919756344,-1.294446779,0.658592598,-2.735835163,0.580858338,-2.194912003,2.58167541,0.899499442,-0.374510669,1.481911533,0.241454089
-1.776812311,-0.708508489,0.807612152,-0.427747151,1.248193634,-0.711951566,3.249291452,1.931089664,0.826281629,1.475487225,1.262515335
