log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-3.050495854,0.611055139,-2.033281201,2.61191497,0.673072834,-0.688046135,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-2.482408376,0.547306293,-2.062300997,2.548528246,0.868758632,-0.341875329,1.326701154,0.723899826
-2.570831796,-1.5616507,0.320535766,-3.090439385,0.50904703,-2.251253099,2.509395214,0.701008045,-0.362494257,2.029192109,0.665391192
-2.999730512,-1.601050735,0.057070814,-3.585217461,0.137497658,-2.969281913,2.138175004,0.44304363,-0.596682799,1.943803867,0.494932516
-2.504733556,-1.016406467,0.759492584,-2.171395357,0.799407677,-1.53261326,2.801045601,1.089762398,-0.159915669,1.235593834,0.848597647
-2.807341891,-2.28209058,-0.457402102,-4.085010955,-0.035751218,-3.367439729,1.964987615,0.212712021,-0.102775287,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.639196035,0.399213822,-2.432986229,2.399508642,0.927735228,0.121896246,2.313294181,0.329325273
-1.900355043,-1.120936596,0.048882833,-2.2717661,0.184018137,-2.786209633,2.184784007,1.095261043,0.500217622,2.253355318,0.969909258
-3.402721844,-2.178355013,-0.342211856,-4.204810169,0.016166662,-3.230163504,2.016727144,0.134790155,-1.067010579,1.989474446,0.931856973
-3.297209169,-2.271903875,-0.460676149,-4.225017287,-0.12517314,-3.536161535,1.875172964,0.127825209,-0.752914232,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.842050949,0.158071532,-2.962119679,2.15871416,0.322042568,-0.639166077,2.012669095,0.653663471
-2.361121063,-1.395058312,0.205636852,-2.176141783,0.468595284,-2.333572276,2.469718567,1.147404809,0.287603694,2.088402273,1.066919694
-1.948272389,-1.310656396,-0.023839292,-1.869447235,0.470350189,-2.340768366,2.470982816,1.321962397,0.585893713,2.387351801,0.324616065
-2.240437058,-2.09000184,-0.315121053,-4.135831257,-0.158665377,-3.615369464,1.841872158,0.202897481,0.104271875,1.954720982,0.318328009
-2.499382192,-1.666108583,-0.012481613,-2.509602033,0.507625384,-2.257276729,2.508180015,0.988351862,0.039962211,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.18454383,-1.898322659,0.415029924,-2.48242512,2.415647345,1.322645242,0.577348407,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.246839365,0.960327149,-1.406006182,2.961237201,1.631921643,0.450675585,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-4.057881161,0.029880425,-3.189767548,2.030244481,0.209963151,-0.620614095,2.006798037,0.554009673
-3.565352843,-2.326808432,-0.295283829,-4.549108209,-0.058046948,-3.382079331,1.942813018,-0.025915788,-0.962176639,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.912483356,-0.25828567,-3.80866369,1.742262553,-0.201809438,-0.931828002,1.949732545,0.556770845
-3.240868866,-2.461802149,-0.628657092,-4.742582531,-0.231097926,-3.777681243,1.769194273,-0.113169084,-0.591002972,1.968385573,0.664527078
-2.032135251,-1.345508907,-0.182244472,-2.533766477,-0.034827654,-3.224273547,1.966207393,0.943709762,0.3935353,2.290895729,0.899775015
-1.29147931,-0.813579024,0.109587313,-0.944474935,0.870255842,-1.551738273,2.871358359,1.796689973,1.222607394,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.244594106,0.448762109,-2.360856228,2.449057316,1.129150966,-0.011088787,2.119784057,0.391612276
-3.697969864,-2.292984846,-0.253853198,-4.668356435,-0.233142597,-3.748487464,1.768149668,-0.07279437,-0.979448122,1.559118739,0.399317383
-3.27999242,-1.757397101,0.202207143,-3.453637088,0.354405975,-2.591301935,2.354606545,0.527784769,-0.841335782,1.542743896,0.723250167
-3.360505202,-1.962940025,-0.025054498,-4.295588335,0.04380928,-3.176347734,2.045371652,0.107425487,-0.929819135,1.557161776,0.447321575
