log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.51488702,-1.845572036,0.164129598,-4.420460147,-0.233759866,-3.141024597,1.767635851,-0.256144554,-1.272074553,1.307218344,0.6623701
-3.132249485,-1.784001203,-0.057119915,-4.049038511,-0.397052506,-3.487404886,1.608163012,-0.105958333,-1.161843557,1.326701154,0.723899826
-3.228050681,-1.663133662,-0.067584433,-4.18817354,-0.332951139,-3.353859238,1.671219202,-0.175377577,-1.464049394,2.029192109,0.665391192
-3.417543603,-2.235723656,-0.629695986,-4.711761762,-0.871657072,-4.46388059,1.132908177,-0.385437097,-1.148204261,1.943803867,0.494932516
-2.555426843,-1.406087846,0.181143278,-3.663642957,-0.273762394,-3.201883206,1.730243257,0.06550937,-0.987087818,1.235593834,0.848597647
-2.807341891,-2.28209058,-0.457402102,-4.60302549,-0.630337656,-3.934878441,1.374482625,-0.337119765,-0.575940632,1.957893989,0.451309114
-2.457725883,-1.873920808,-0.325984743,-3.461798627,-0.437383914,-3.439548834,1.571342911,0.217704985,-0.541338147,2.313294181,0.329325273
-2.419066535,-1.63862508,-0.68738388,-3.566187095,-1.081802985,-4.784283086,0.923867342,0.139744437,-0.542478033,2.253355318,0.969909258
-4.130924359,-2.537309347,-0.505297926,-5.37348938,-0.918687889,-4.405087694,1.085110731,-0.764085225,-2.258512,1.989474446,0.931856973
-3.611707966,-2.544166799,-0.797035558,-5.247684166,-0.980080314,-4.58977945,1.023001844,-0.689431806,-1.271117969,1.880487338,0.591137487
-3.01004792,-2.242139738,-0.414021318,-4.945815588,-0.797091914,-4.124159974,1.20990265,-0.541109523,-1.129695947,2.012669095,0.653663471
-2.644348993,-1.395058312,0.205636852,-3.165153986,-0.37868149,-3.273112061,1.62392385,0.316510349,-0.587597868,2.088402273,1.066919694
-2.228798658,-1.347705041,-0.254556375,-2.721529291,-0.451942276,-3.563735702,1.555522373,0.622355987,-0.13127562,2.387351801,0.324616065
-2.244308317,-2.09000184,-0.315121053,-4.8548426,-0.805205443,-4.249958633,1.198460317,-0.472631868,-0.351302827,1.954720982,0.318328009
-2.499382192,-1.666108583,-0.037222473,-3.130954203,-0.33471422,-3.206138769,1.67020659,0.358882836,-0.602819948,2.117688217,0.924783769
-2.137455601,-1.464818434,-0.459752945,-2.597020712,-0.339217185,-3.310835278,1.664539116,0.68746753,-0.125502865,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.912081191,0.368893538,-2.013241422,2.373171085,1.012995868,-0.20232243,2.161211249,0.754400077
