log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-2.634666379,0.919185845,-1.795597329,2.919348752,1.106239029,-0.206398292,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-1.935812711,1.061695254,-1.515285403,3.061872861,1.434718231,0.181575602,1.326701154,0.723899826
-2.472349699,-1.5616507,0.320535766,-2.714576188,0.794955121,-2.074069632,2.795244496,1.092159969,0.30863394,2.029192109,0.665391192
-2.940483231,-1.601050735,0.057070814,-2.945664352,0.624813703,-2.441490401,2.625005228,0.977687649,-0.116695279,1.943803867,0.494932516
-2.419457459,-1.00179685,0.759492584,-1.621164759,1.24536147,-1.136531181,3.24551496,1.615806145,0.491104862,1.235593834,0.848597647
-2.778891452,-2.28209058,-0.457402102,-3.887604904,0.276989534,-3.133783357,2.277272514,0.49716808,0.376028518,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.480125549,0.624998676,-2.311047841,2.625067992,1.189340424,0.439063,2.313294181,0.329325273
-1.519551478,-1.113813627,0.149975629,-1.659129329,0.816757551,-2.00216226,2.816983377,1.614575539,1.264276492,2.253355318,0.969909258
-3.168855409,-2.178355013,-0.342211856,-3.880167509,0.390449011,-2.904553838,2.390690814,0.502430407,-0.48142159,1.989474446,0.931856973
-2.909088679,-1.828733745,-0.36807993,-2.920342761,0.454130414,-2.592823779,2.455224555,0.813582416,-0.208768354,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.589735334,0.467697777,-2.740460447,2.467995331,0.647745383,-0.298596798,2.012669095,0.653663471
-2.361121063,-1.395058312,0.226241079,-1.797260261,0.880231285,-1.937637636,2.880524561,1.550470505,0.67725773,2.088402273,1.066919694
-1.926056991,-1.244908485,0.044350321,-1.218294197,0.883860234,-1.939084086,2.884021015,1.840201201,1.077731604,2.387351801,0.324616065
-2.171911425,-2.09000184,-0.315121053,-3.912183278,0.166458997,-3.365394765,2.166577755,0.503165909,0.603712873,1.954720982,0.318328009
-2.499382192,-1.514972481,0.093420488,-2.027773438,0.919067594,-1.860102981,2.919192935,1.43608208,0.484755676,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.177594685,-1.663095117,0.741471038,-2.211598217,2.741712239,1.630140926,0.943274186,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.099468814,1.197744935,-1.261283243,3.198004244,1.877195032,0.725308813,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-3.88067411,0.311956078,-3.021550162,2.312128498,0.492047231,-0.125741607,2.006798037,0.554009673
-3.113168977,-1.528852446,0.211260389,-3.365797124,0.502050595,-2.376482533,2.503231803,0.555462567,-0.445539767,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.501229709,0.140096088,-3.421204687,2.140527664,0.20393781,-0.467478307,1.949732545,0.556770845
-3.100783779,-2.427017444,-0.531203962,-4.273553143,0.213122904,-3.288022801,2.213401416,0.319763545,-0.141105211,1.968385573,0.664527078
-1.499196091,-1.101175524,0.133215997,-1.512983091,0.758048619,-2.08141434,2.758493155,1.648976715,1.189300932,2.290895729,0.899775015
-1.29147931,-0.813579024,0.109587313,-0.698871283,1.195040071,-1.30046932,3.195135367,2.112524492,1.663361526,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.142966279,0.641705473,-2.281943051,2.641909291,1.337120764,0.282669739,2.119784057,0.391612276
-3.308976281,-1.623655864,0.244095975,-2.945359117,0.610690676,-2.247282137,2.61081359,0.839530126,-0.437830792,1.559118739,0.399317383
-2.814751846,-1.05283184,0.909907333,-2.021219601,1.091823632,-1.307098787,3.091874228,1.329492516,-0.076784216,1.542743896,0.723250167
-3.198403601,-1.724546415,0.296791045,-3.050541445,0.710065243,-2.183823828,2.710235143,0.865077443,-0.349169424,1.557161776,0.447321575
-3.218540463,-1.795211624,0.162998838,-2.604178375,0.826578398,-1.954758664,2.826994493,1.062515549,-0.362944047,1.541569033,0.440039164
-2.432668905,-1.605547114,0.21454721,-2.115063219,0.930879388,-1.756816632,2.931100791,1.327333844,0.269236465,1.578078247,0.565906204
-3.308437236,-1.498681731,0.377540005,-2.623163468,0.75600646,-1.975925324,2.756129205,1.002403412,-0.33050249,1.56637976,0.61226822
-2.700059761,-1.44817827,0.438904208,-2.252787545,1.0434549,-1.519700407,3.043766031,1.261879518,0.024997781,1.576770816,0.71926314
-3.220384455,-1.483947992,0.445029722,-2.128907563,0.982803339,-1.544633492,2.983055565,1.256625508,-0.24607248,1.598443343,0.801938693
-2.154423521,-1.41268056,0.496882453,-1.805874376,1.203482011,-1.175621597,3.203625212,1.454371944,0.428079913,1.6489948,0.966541666
-3.049190704,-1.925222152,-0.01158487,-2.844666318,0.668602069,-2.266077981,2.668996387,0.934286395,-0.401315433,1.653859725,0.362845783
-1.544811732,-0.42711444,1.357588339,0.262164438,1.998287073,0.550499983,3.998382865,2.395767017,1.226710445,1.186404644,1.957002158
-2.470162607,-0.79019451,1.079054791,-0.940970325,1.538414037,-0.342271762,3.538507386,1.816137159,0.456503848,1.18451082,1.463635398
-2.458463525,-0.962582706,1.003748109,-1.410726056,1.43936173,-0.579593761,3.439486325,1.628825192,0.285710818,1.619843743,1.261020931
-1.481175246,-0.990656869,-0.122061792,-1.483511677,0.566448101,-2.491004153,2.566981635,1.677257224,1.511539882,2.567711278,0.596361087
-2.563569804,-1.695883842,0.12495708,-2.591912732,0.565964352,-2.487442568,2.566243504,1.070621176,0.380102289,1.878393432,0.348754755
-2.451604044,-1.221543919,0.567128052,-1.919226733,1.010485731,-1.583227576,3.010620347,1.449186133,0.450657825,1.384459972,0.582683685
