log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.51488702,-1.739900925,0.39636245,-3.956720529,0.155897819,-2.632970052,2.156902873,0.110839201,-1.079526498,1.307218344,0.6623701
-3.132249485,-1.784001203,-0.057119915,-3.795910372,-0.06505625,-3.141269911,1.936565675,0.188297652,-0.893963618,1.326701154,0.723899826
-3.064467534,-1.5616507,0.320535766,-3.533965851,0.165958523,-2.629922153,2.16782237,0.313588875,-0.967111178,2.029192109,0.665391192
-3.037722129,-1.751275533,-0.11362729,-4.244187671,-0.395579996,-3.752332112,1.606312824,-0.015724112,-0.998694733,1.943803867,0.494932516
-2.555426843,-1.3287043,0.345129777,-3.322094278,0.076887771,-2.811741732,2.081209151,0.415474986,-0.570324047,1.235593834,0.848597647
-2.807341891,-2.28209058,-0.457402102,-4.272888862,-0.299361176,-3.587023401,1.702388674,-0.023269461,-0.47727662,1.957893989,0.451309114
-2.457725883,-1.603413203,-0.119954589,-2.874614165,0.132052444,-2.629371405,2.133508784,0.645555329,-0.173531901,2.313294181,0.329325273
-1.900355043,-1.512033543,-0.37292369,-2.989398144,-0.536679812,-3.975674703,1.465701474,0.606107342,0.03579292,2.253355318,0.969909258
-3.52530765,-2.315034046,-0.342211856,-4.638432273,-0.356169395,-3.603167293,1.644153412,-0.252218957,-1.695889266,1.989474446,0.931856973
-3.611707966,-2.368796889,-0.460676149,-4.65358148,-0.509317123,-3.965191694,1.492696875,-0.251541279,-0.992959138,1.880487338,0.591137487
-3.01004792,-2.239234808,-0.365312488,-4.271257364,-0.22212771,-3.359120155,1.778782539,-0.055247547,-0.932555922,2.012669095,0.653663471
-2.605152014,-1.395058312,0.205636852,-2.820616115,0.050481678,-2.835366572,2.052322583,0.675241831,-0.21494795,2.088402273,1.066919694
-2.127818022,-1.347705041,-0.185302157,-2.412995303,0.05898953,-2.848867779,2.059711972,0.916416149,0.216940069,2.387351801,0.324616065
-2.244308317,-2.09000184,-0.315121053,-4.469336789,-0.502003376,-3.980329521,1.500037418,-0.118874677,-0.241237185,1.954720982,0.318328009
-2.499382192,-1.666108583,-0.024262214,-2.77116719,0.195631391,-2.524091785,2.19638961,0.702236445,-0.300995492,2.117688217,0.924783769
-2.077406989,-1.3481225,-0.232909747,-2.163865411,0.096894907,-2.781168032,2.098736871,1.034322311,0.225832348,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.408057033,0.689329522,-1.644840357,2.691016385,1.406509449,0.231037095,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-4.245189111,-0.217645345,-3.364452573,1.78381665,-0.045516122,-0.883569512,2.006798037,0.554009673
-3.785060593,-2.326808432,-0.295283829,-4.72511879,-0.282097241,-3.526066161,1.718284658,-0.268153078,-1.426617783,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-5.120927879,-0.515263858,-4.009433287,1.485693175,-0.456445047,-1.26691908,1.949732545,0.556770845
-3.240868866,-2.638782666,-0.770531103,-5.107235951,-0.568211767,-4.132602442,1.432727662,-0.447040508,-0.966871878,1.968385573,0.664527078
-2.099276342,-1.645438096,-0.559946826,-3.272608347,-0.664245071,-4.202613411,1.339536659,0.425121285,-0.100329406,2.290895729,0.899775015
-1.29147931,-0.813579024,0.030978238,-1.337083186,0.415520078,-2.132457184,2.417152722,1.444233479,0.978029571,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.387118567,0.243893095,-2.501813823,2.244732445,0.918274516,-0.222457886,2.119784057,0.391612276
-3.697969864,-2.589556194,-0.578974616,-4.891437445,-0.58652353,-4.188060547,1.415082115,-0.332207595,-1.101334692,1.559118739,0.399317383
-3.568434877,-1.757397101,0.202207143,-3.788883293,0.02776614,-2.922972076,2.029032691,0.206300394,-1.22408906,1.542743896,0.723250167
-3.36205795,-1.962940025,-0.025054498,-4.504574492,-0.206869822,-3.367772189,1.793408884,-0.150320452,-1.310959832,1.557161776,0.447321575
